Epoch 1/500, Train Loss: 1.6079, Train Accuracy: 0.4432, Val Loss: 1.4341, Val Accuracy: 0.5027
Epoch 2/500, Train Loss: 1.2593, Train Accuracy: 0.5787, Val Loss: 1.2401, Val Accuracy: 0.5082
Epoch 3/500, Train Loss: 1.0747, Train Accuracy: 0.5814, Val Loss: 1.1841, Val Accuracy: 0.4973
Epoch 4/500, Train Loss: 1.0147, Train Accuracy: 0.5869, Val Loss: 1.1561, Val Accuracy: 0.5027
Epoch 5/500, Train Loss: 0.9841, Train Accuracy: 0.5951, Val Loss: 1.1312, Val Accuracy: 0.5519
Epoch 6/500, Train Loss: 0.9696, Train Accuracy: 0.5951, Val Loss: 1.1195, Val Accuracy: 0.5628
Epoch 7/500, Train Loss: 0.9492, Train Accuracy: 0.6101, Val Loss: 1.1073, Val Accuracy: 0.5738
Epoch 8/500, Train Loss: 0.9392, Train Accuracy: 0.6252, Val Loss: 1.1208, Val Accuracy: 0.5628
Epoch 9/500, Train Loss: 0.9249, Train Accuracy: 0.6265, Val Loss: 1.0951, Val Accuracy: 0.5792
Epoch 10/500, Train Loss: 0.9155, Train Accuracy: 0.6320, Val Loss: 1.1007, Val Accuracy: 0.5738
Epoch 11/500, Train Loss: 0.9062, Train Accuracy: 0.6320, Val Loss: 1.1070, Val Accuracy: 0.5738
Epoch 12/500, Train Loss: 0.9013, Train Accuracy: 0.6389, Val Loss: 1.0911, Val Accuracy: 0.5738
Epoch 13/500, Train Loss: 0.8888, Train Accuracy: 0.6361, Val Loss: 1.1014, Val Accuracy: 0.5628
Epoch 14/500, Train Loss: 0.8822, Train Accuracy: 0.6416, Val Loss: 1.0956, Val Accuracy: 0.5628
Epoch 15/500, Train Loss: 0.8712, Train Accuracy: 0.6525, Val Loss: 1.0846, Val Accuracy: 0.5792
Epoch 16/500, Train Loss: 0.8693, Train Accuracy: 0.6457, Val Loss: 1.0821, Val Accuracy: 0.5738
Epoch 17/500, Train Loss: 0.8596, Train Accuracy: 0.6512, Val Loss: 1.0790, Val Accuracy: 0.5683
Epoch 18/500, Train Loss: 0.8519, Train Accuracy: 0.6566, Val Loss: 1.0725, Val Accuracy: 0.5902
Epoch 19/500, Train Loss: 0.8456, Train Accuracy: 0.6676, Val Loss: 1.1013, Val Accuracy: 0.5738
Epoch 20/500, Train Loss: 0.8351, Train Accuracy: 0.6648, Val Loss: 1.0730, Val Accuracy: 0.5574
Epoch 21/500, Train Loss: 0.8280, Train Accuracy: 0.6621, Val Loss: 1.0884, Val Accuracy: 0.5738
Epoch 22/500, Train Loss: 0.8259, Train Accuracy: 0.6648, Val Loss: 1.0758, Val Accuracy: 0.5792
Epoch 23/500, Train Loss: 0.8150, Train Accuracy: 0.6758, Val Loss: 1.0971, Val Accuracy: 0.5683
Epoch 24/500, Train Loss: 0.8074, Train Accuracy: 0.6840, Val Loss: 1.0821, Val Accuracy: 0.5792
Epoch 25/500, Train Loss: 0.8058, Train Accuracy: 0.6758, Val Loss: 1.0768, Val Accuracy: 0.5683
Epoch 26/500, Train Loss: 0.8005, Train Accuracy: 0.6744, Val Loss: 1.0847, Val Accuracy: 0.5792
Epoch 27/500, Train Loss: 0.7896, Train Accuracy: 0.6867, Val Loss: 1.0866, Val Accuracy: 0.5956
Epoch 28/500, Train Loss: 0.7851, Train Accuracy: 0.6785, Val Loss: 1.0950, Val Accuracy: 0.5792
Epoch 29/500, Train Loss: 0.7788, Train Accuracy: 0.6977, Val Loss: 1.1015, Val Accuracy: 0.5847
Epoch 30/500, Train Loss: 0.7745, Train Accuracy: 0.6908, Val Loss: 1.1033, Val Accuracy: 0.5683
Epoch 31/500, Train Loss: 0.7755, Train Accuracy: 0.6826, Val Loss: 1.0838, Val Accuracy: 0.5956
Epoch 32/500, Train Loss: 0.7606, Train Accuracy: 0.6990, Val Loss: 1.0885, Val Accuracy: 0.5902
Epoch 33/500, Train Loss: 0.7552, Train Accuracy: 0.6854, Val Loss: 1.1012, Val Accuracy: 0.5738
Epoch 34/500, Train Loss: 0.7534, Train Accuracy: 0.7073, Val Loss: 1.1107, Val Accuracy: 0.5902
Epoch 35/500, Train Loss: 0.7490, Train Accuracy: 0.6977, Val Loss: 1.0952, Val Accuracy: 0.5902
Epoch 36/500, Train Loss: 0.7446, Train Accuracy: 0.6949, Val Loss: 1.1099, Val Accuracy: 0.5738
Epoch 37/500, Train Loss: 0.7392, Train Accuracy: 0.7018, Val Loss: 1.1182, Val Accuracy: 0.5847
Epoch 38/500, Train Loss: 0.7316, Train Accuracy: 0.7086, Val Loss: 1.1012, Val Accuracy: 0.5902
Epoch 39/500, Train Loss: 0.7262, Train Accuracy: 0.7114, Val Loss: 1.1209, Val Accuracy: 0.5847
Epoch 40/500, Train Loss: 0.7267, Train Accuracy: 0.7141, Val Loss: 1.1093, Val Accuracy: 0.5847
Epoch 41/500, Train Loss: 0.7182, Train Accuracy: 0.7182, Val Loss: 1.1033, Val Accuracy: 0.5683
Epoch 42/500, Train Loss: 0.7116, Train Accuracy: 0.7127, Val Loss: 1.1189, Val Accuracy: 0.5847
Epoch 43/500, Train Loss: 0.7025, Train Accuracy: 0.7209, Val Loss: 1.1201, Val Accuracy: 0.5792
Epoch 44/500, Train Loss: 0.7003, Train Accuracy: 0.7278, Val Loss: 1.1244, Val Accuracy: 0.5683
Epoch 45/500, Train Loss: 0.6956, Train Accuracy: 0.7250, Val Loss: 1.1436, Val Accuracy: 0.5628
Epoch 46/500, Train Loss: 0.6923, Train Accuracy: 0.7291, Val Loss: 1.1281, Val Accuracy: 0.5738
Epoch 47/500, Train Loss: 0.6853, Train Accuracy: 0.7291, Val Loss: 1.1322, Val Accuracy: 0.5683
Epoch 48/500, Train Loss: 0.6791, Train Accuracy: 0.7196, Val Loss: 1.1377, Val Accuracy: 0.5792
Epoch 49/500, Train Loss: 0.6765, Train Accuracy: 0.7360, Val Loss: 1.1454, Val Accuracy: 0.5738
Epoch 50/500, Train Loss: 0.6733, Train Accuracy: 0.7168, Val Loss: 1.1433, Val Accuracy: 0.5792
Epoch 51/500, Train Loss: 0.6636, Train Accuracy: 0.7373, Val Loss: 1.1528, Val Accuracy: 0.5738
Epoch 52/500, Train Loss: 0.6622, Train Accuracy: 0.7401, Val Loss: 1.1648, Val Accuracy: 0.5683
Epoch 53/500, Train Loss: 0.6615, Train Accuracy: 0.7346, Val Loss: 1.1426, Val Accuracy: 0.5574
Epoch 54/500, Train Loss: 0.6546, Train Accuracy: 0.7332, Val Loss: 1.1432, Val Accuracy: 0.5519
Epoch 55/500, Train Loss: 0.6453, Train Accuracy: 0.7428, Val Loss: 1.1570, Val Accuracy: 0.5683
