Epoch 1/500, Train Loss: 1.5844, Train Accuracy: 0.4350, Val Loss: 1.4742, Val Accuracy: 0.3443
Epoch 2/500, Train Loss: 1.2472, Train Accuracy: 0.4706, Val Loss: 1.2964, Val Accuracy: 0.4372
Epoch 3/500, Train Loss: 1.0911, Train Accuracy: 0.5732, Val Loss: 1.2291, Val Accuracy: 0.5301
Epoch 4/500, Train Loss: 1.0332, Train Accuracy: 0.5882, Val Loss: 1.1916, Val Accuracy: 0.5574
Epoch 5/500, Train Loss: 1.0027, Train Accuracy: 0.5992, Val Loss: 1.1619, Val Accuracy: 0.5574
Epoch 6/500, Train Loss: 0.9779, Train Accuracy: 0.6088, Val Loss: 1.1420, Val Accuracy: 0.5792
Epoch 7/500, Train Loss: 0.9592, Train Accuracy: 0.6293, Val Loss: 1.1218, Val Accuracy: 0.6066
Epoch 8/500, Train Loss: 0.9467, Train Accuracy: 0.6306, Val Loss: 1.1116, Val Accuracy: 0.5902
Epoch 9/500, Train Loss: 0.9313, Train Accuracy: 0.6443, Val Loss: 1.1204, Val Accuracy: 0.6011
Epoch 10/500, Train Loss: 0.9189, Train Accuracy: 0.6197, Val Loss: 1.0801, Val Accuracy: 0.5847
Epoch 11/500, Train Loss: 0.9080, Train Accuracy: 0.6416, Val Loss: 1.1049, Val Accuracy: 0.6066
Epoch 12/500, Train Loss: 0.8996, Train Accuracy: 0.6375, Val Loss: 1.0935, Val Accuracy: 0.5956
Epoch 13/500, Train Loss: 0.8863, Train Accuracy: 0.6443, Val Loss: 1.0710, Val Accuracy: 0.5847
Epoch 14/500, Train Loss: 0.8745, Train Accuracy: 0.6484, Val Loss: 1.0736, Val Accuracy: 0.5956
Epoch 15/500, Train Loss: 0.8681, Train Accuracy: 0.6539, Val Loss: 1.0730, Val Accuracy: 0.5956
Epoch 16/500, Train Loss: 0.8548, Train Accuracy: 0.6662, Val Loss: 1.0590, Val Accuracy: 0.5902
Epoch 17/500, Train Loss: 0.8503, Train Accuracy: 0.6621, Val Loss: 1.0824, Val Accuracy: 0.5902
Epoch 18/500, Train Loss: 0.8450, Train Accuracy: 0.6457, Val Loss: 1.0906, Val Accuracy: 0.5847
Epoch 19/500, Train Loss: 0.8365, Train Accuracy: 0.6621, Val Loss: 1.0523, Val Accuracy: 0.6011
Epoch 20/500, Train Loss: 0.8213, Train Accuracy: 0.6662, Val Loss: 1.0654, Val Accuracy: 0.6011
Epoch 21/500, Train Loss: 0.8183, Train Accuracy: 0.6703, Val Loss: 1.0463, Val Accuracy: 0.5956
Epoch 22/500, Train Loss: 0.8124, Train Accuracy: 0.6703, Val Loss: 1.0750, Val Accuracy: 0.5956
Epoch 23/500, Train Loss: 0.8050, Train Accuracy: 0.6785, Val Loss: 1.0484, Val Accuracy: 0.6011
Epoch 24/500, Train Loss: 0.7982, Train Accuracy: 0.6867, Val Loss: 1.0622, Val Accuracy: 0.6066
Epoch 25/500, Train Loss: 0.7915, Train Accuracy: 0.6758, Val Loss: 1.0550, Val Accuracy: 0.5902
Epoch 26/500, Train Loss: 0.7859, Train Accuracy: 0.6867, Val Loss: 1.0687, Val Accuracy: 0.5902
Epoch 27/500, Train Loss: 0.7800, Train Accuracy: 0.6813, Val Loss: 1.0508, Val Accuracy: 0.5902
Epoch 28/500, Train Loss: 0.7719, Train Accuracy: 0.6922, Val Loss: 1.0786, Val Accuracy: 0.5956
Epoch 29/500, Train Loss: 0.7672, Train Accuracy: 0.6813, Val Loss: 1.0525, Val Accuracy: 0.6011
Epoch 30/500, Train Loss: 0.7649, Train Accuracy: 0.6963, Val Loss: 1.0608, Val Accuracy: 0.6066
Epoch 31/500, Train Loss: 0.7600, Train Accuracy: 0.6977, Val Loss: 1.1191, Val Accuracy: 0.5902
Epoch 32/500, Train Loss: 0.7557, Train Accuracy: 0.6977, Val Loss: 1.0587, Val Accuracy: 0.5956
Epoch 33/500, Train Loss: 0.7492, Train Accuracy: 0.7031, Val Loss: 1.0556, Val Accuracy: 0.6011
Epoch 34/500, Train Loss: 0.7421, Train Accuracy: 0.7059, Val Loss: 1.0837, Val Accuracy: 0.6011
Epoch 35/500, Train Loss: 0.7394, Train Accuracy: 0.7168, Val Loss: 1.1008, Val Accuracy: 0.5956
Epoch 36/500, Train Loss: 0.7281, Train Accuracy: 0.7045, Val Loss: 1.0941, Val Accuracy: 0.5902
Epoch 37/500, Train Loss: 0.7245, Train Accuracy: 0.7141, Val Loss: 1.0612, Val Accuracy: 0.6066
Epoch 38/500, Train Loss: 0.7204, Train Accuracy: 0.7031, Val Loss: 1.0761, Val Accuracy: 0.5902
Epoch 39/500, Train Loss: 0.7140, Train Accuracy: 0.7086, Val Loss: 1.0777, Val Accuracy: 0.6011
Epoch 40/500, Train Loss: 0.7087, Train Accuracy: 0.7209, Val Loss: 1.1074, Val Accuracy: 0.5902
Epoch 41/500, Train Loss: 0.7023, Train Accuracy: 0.7223, Val Loss: 1.0906, Val Accuracy: 0.5956
Epoch 42/500, Train Loss: 0.6958, Train Accuracy: 0.7237, Val Loss: 1.0992, Val Accuracy: 0.5902
Epoch 43/500, Train Loss: 0.6962, Train Accuracy: 0.7237, Val Loss: 1.1076, Val Accuracy: 0.6011
Epoch 44/500, Train Loss: 0.6906, Train Accuracy: 0.7250, Val Loss: 1.1182, Val Accuracy: 0.6011
Epoch 45/500, Train Loss: 0.6839, Train Accuracy: 0.7223, Val Loss: 1.0890, Val Accuracy: 0.5902
Epoch 46/500, Train Loss: 0.6782, Train Accuracy: 0.7237, Val Loss: 1.0992, Val Accuracy: 0.5902
Epoch 47/500, Train Loss: 0.6730, Train Accuracy: 0.7264, Val Loss: 1.1257, Val Accuracy: 0.5956
Epoch 48/500, Train Loss: 0.6697, Train Accuracy: 0.7291, Val Loss: 1.0896, Val Accuracy: 0.5956
Epoch 49/500, Train Loss: 0.6603, Train Accuracy: 0.7332, Val Loss: 1.1267, Val Accuracy: 0.6011
Epoch 50/500, Train Loss: 0.6610, Train Accuracy: 0.7387, Val Loss: 1.1003, Val Accuracy: 0.6011
Epoch 51/500, Train Loss: 0.6541, Train Accuracy: 0.7319, Val Loss: 1.1069, Val Accuracy: 0.5902
Epoch 52/500, Train Loss: 0.6518, Train Accuracy: 0.7305, Val Loss: 1.1138, Val Accuracy: 0.5902
Epoch 53/500, Train Loss: 0.6453, Train Accuracy: 0.7483, Val Loss: 1.1363, Val Accuracy: 0.5956
Epoch 54/500, Train Loss: 0.6389, Train Accuracy: 0.7428, Val Loss: 1.1143, Val Accuracy: 0.5902
Epoch 55/500, Train Loss: 0.6420, Train Accuracy: 0.7401, Val Loss: 1.1066, Val Accuracy: 0.5956
Epoch 56/500, Train Loss: 0.6329, Train Accuracy: 0.7579, Val Loss: 1.1480, Val Accuracy: 0.5956
Epoch 57/500, Train Loss: 0.6292, Train Accuracy: 0.7456, Val Loss: 1.1514, Val Accuracy: 0.5847
Epoch 58/500, Train Loss: 0.6336, Train Accuracy: 0.7469, Val Loss: 1.1488, Val Accuracy: 0.5902
Epoch 59/500, Train Loss: 0.6181, Train Accuracy: 0.7510, Val Loss: 1.1250, Val Accuracy: 0.5956
Epoch 60/500, Train Loss: 0.6150, Train Accuracy: 0.7592, Val Loss: 1.1290, Val Accuracy: 0.5956
Epoch 61/500, Train Loss: 0.6087, Train Accuracy: 0.7456, Val Loss: 1.1511, Val Accuracy: 0.5847
Epoch 62/500, Train Loss: 0.6059, Train Accuracy: 0.7633, Val Loss: 1.1120, Val Accuracy: 0.6175
Epoch 63/500, Train Loss: 0.6007, Train Accuracy: 0.7688, Val Loss: 1.1525, Val Accuracy: 0.5956
Epoch 64/500, Train Loss: 0.5898, Train Accuracy: 0.7674, Val Loss: 1.1503, Val Accuracy: 0.6011
Epoch 65/500, Train Loss: 0.5881, Train Accuracy: 0.7592, Val Loss: 1.2021, Val Accuracy: 0.5847
Epoch 66/500, Train Loss: 0.5967, Train Accuracy: 0.7674, Val Loss: 1.1766, Val Accuracy: 0.5847
