Epoch 1/100, Train Loss: 1.5970, Train Accuracy: 0.4309, Val Loss: 1.4449, Val Accuracy: 0.3989
Epoch 2/100, Train Loss: 1.2539, Train Accuracy: 0.5103, Val Loss: 1.2732, Val Accuracy: 0.4426
Epoch 3/100, Train Loss: 1.1021, Train Accuracy: 0.5705, Val Loss: 1.1939, Val Accuracy: 0.5027
Epoch 4/100, Train Loss: 1.0316, Train Accuracy: 0.5978, Val Loss: 1.1480, Val Accuracy: 0.5137
Epoch 5/100, Train Loss: 0.9989, Train Accuracy: 0.6019, Val Loss: 1.1218, Val Accuracy: 0.5628
Epoch 6/100, Train Loss: 0.9723, Train Accuracy: 0.6101, Val Loss: 1.0948, Val Accuracy: 0.5956
Epoch 7/100, Train Loss: 0.9531, Train Accuracy: 0.6238, Val Loss: 1.0896, Val Accuracy: 0.5956
Epoch 8/100, Train Loss: 0.9335, Train Accuracy: 0.6389, Val Loss: 1.0777, Val Accuracy: 0.6011
Epoch 9/100, Train Loss: 0.9239, Train Accuracy: 0.6361, Val Loss: 1.0670, Val Accuracy: 0.5847
Epoch 10/100, Train Loss: 0.9134, Train Accuracy: 0.6416, Val Loss: 1.0802, Val Accuracy: 0.6066
Epoch 11/100, Train Loss: 0.8975, Train Accuracy: 0.6416, Val Loss: 1.0602, Val Accuracy: 0.5792
Epoch 12/100, Train Loss: 0.8939, Train Accuracy: 0.6457, Val Loss: 1.0616, Val Accuracy: 0.5792
Epoch 13/100, Train Loss: 0.8776, Train Accuracy: 0.6566, Val Loss: 1.0637, Val Accuracy: 0.5847
Epoch 14/100, Train Loss: 0.8691, Train Accuracy: 0.6635, Val Loss: 1.0533, Val Accuracy: 0.5847
Epoch 15/100, Train Loss: 0.8613, Train Accuracy: 0.6566, Val Loss: 1.0509, Val Accuracy: 0.6066
Epoch 16/100, Train Loss: 0.8534, Train Accuracy: 0.6553, Val Loss: 1.0566, Val Accuracy: 0.5902
Epoch 17/100, Train Loss: 0.8422, Train Accuracy: 0.6553, Val Loss: 1.0456, Val Accuracy: 0.5792
Epoch 18/100, Train Loss: 0.8337, Train Accuracy: 0.6676, Val Loss: 1.0611, Val Accuracy: 0.5956
Epoch 19/100, Train Loss: 0.8287, Train Accuracy: 0.6703, Val Loss: 1.0539, Val Accuracy: 0.5956
