Epoch 1/100, Train Loss: 1.7709, Train Accuracy: 0.2517, Val Loss: 1.7445, Val Accuracy: 0.3716
Epoch 2/100, Train Loss: 1.7258, Train Accuracy: 0.4692, Val Loss: 1.7072, Val Accuracy: 0.4426
Epoch 3/100, Train Loss: 1.6837, Train Accuracy: 0.5116, Val Loss: 1.6698, Val Accuracy: 0.4372
Epoch 4/100, Train Loss: 1.6424, Train Accuracy: 0.5103, Val Loss: 1.6322, Val Accuracy: 0.4372
Epoch 5/100, Train Loss: 1.5965, Train Accuracy: 0.5089, Val Loss: 1.5938, Val Accuracy: 0.4481
Epoch 6/100, Train Loss: 1.5599, Train Accuracy: 0.5089, Val Loss: 1.5548, Val Accuracy: 0.4372
Epoch 7/100, Train Loss: 1.5106, Train Accuracy: 0.5075, Val Loss: 1.5170, Val Accuracy: 0.4372
Epoch 8/100, Train Loss: 1.4628, Train Accuracy: 0.5116, Val Loss: 1.4793, Val Accuracy: 0.4426
Epoch 9/100, Train Loss: 1.4188, Train Accuracy: 0.5280, Val Loss: 1.4426, Val Accuracy: 0.4699
Epoch 10/100, Train Loss: 1.3708, Train Accuracy: 0.5294, Val Loss: 1.4089, Val Accuracy: 0.4809
Epoch 11/100, Train Loss: 1.3301, Train Accuracy: 0.5321, Val Loss: 1.3780, Val Accuracy: 0.4863
Epoch 12/100, Train Loss: 1.2866, Train Accuracy: 0.5363, Val Loss: 1.3509, Val Accuracy: 0.4863
Epoch 13/100, Train Loss: 1.2550, Train Accuracy: 0.5431, Val Loss: 1.3260, Val Accuracy: 0.4973
Epoch 14/100, Train Loss: 1.2176, Train Accuracy: 0.5458, Val Loss: 1.3042, Val Accuracy: 0.5027
Epoch 15/100, Train Loss: 1.1987, Train Accuracy: 0.5636, Val Loss: 1.2849, Val Accuracy: 0.5082
Epoch 16/100, Train Loss: 1.1702, Train Accuracy: 0.5732, Val Loss: 1.2681, Val Accuracy: 0.5027
Epoch 17/100, Train Loss: 1.1502, Train Accuracy: 0.5787, Val Loss: 1.2538, Val Accuracy: 0.4973
Epoch 18/100, Train Loss: 1.1269, Train Accuracy: 0.5718, Val Loss: 1.2422, Val Accuracy: 0.5027
Epoch 19/100, Train Loss: 1.1225, Train Accuracy: 0.5759, Val Loss: 1.2309, Val Accuracy: 0.5082
Epoch 20/100, Train Loss: 1.0960, Train Accuracy: 0.5773, Val Loss: 1.2223, Val Accuracy: 0.5082
Epoch 21/100, Train Loss: 1.0739, Train Accuracy: 0.5773, Val Loss: 1.2134, Val Accuracy: 0.5137
Epoch 22/100, Train Loss: 1.0741, Train Accuracy: 0.5841, Val Loss: 1.2060, Val Accuracy: 0.5137
Epoch 23/100, Train Loss: 1.0637, Train Accuracy: 0.5855, Val Loss: 1.2003, Val Accuracy: 0.5137
Epoch 24/100, Train Loss: 1.0510, Train Accuracy: 0.5882, Val Loss: 1.1932, Val Accuracy: 0.5137
Epoch 25/100, Train Loss: 1.0432, Train Accuracy: 0.5910, Val Loss: 1.1882, Val Accuracy: 0.5191
Epoch 26/100, Train Loss: 1.0378, Train Accuracy: 0.5923, Val Loss: 1.1820, Val Accuracy: 0.5301
Epoch 27/100, Train Loss: 1.0343, Train Accuracy: 0.5937, Val Loss: 1.1776, Val Accuracy: 0.5301
Epoch 28/100, Train Loss: 1.0161, Train Accuracy: 0.5923, Val Loss: 1.1731, Val Accuracy: 0.5301
Epoch 29/100, Train Loss: 1.0244, Train Accuracy: 0.5910, Val Loss: 1.1703, Val Accuracy: 0.5355
Epoch 30/100, Train Loss: 1.0037, Train Accuracy: 0.5964, Val Loss: 1.1647, Val Accuracy: 0.5464
Epoch 31/100, Train Loss: 1.0106, Train Accuracy: 0.6019, Val Loss: 1.1610, Val Accuracy: 0.5464
Epoch 32/100, Train Loss: 1.0053, Train Accuracy: 0.6047, Val Loss: 1.1580, Val Accuracy: 0.5519
Epoch 33/100, Train Loss: 0.9829, Train Accuracy: 0.6033, Val Loss: 1.1555, Val Accuracy: 0.5574
Epoch 34/100, Train Loss: 0.9970, Train Accuracy: 0.6088, Val Loss: 1.1537, Val Accuracy: 0.5574
Epoch 35/100, Train Loss: 0.9896, Train Accuracy: 0.6211, Val Loss: 1.1499, Val Accuracy: 0.5574
Epoch 36/100, Train Loss: 0.9747, Train Accuracy: 0.6252, Val Loss: 1.1460, Val Accuracy: 0.5792
Epoch 37/100, Train Loss: 0.9697, Train Accuracy: 0.6252, Val Loss: 1.1438, Val Accuracy: 0.5792
Epoch 38/100, Train Loss: 0.9702, Train Accuracy: 0.6279, Val Loss: 1.1411, Val Accuracy: 0.5738
Epoch 39/100, Train Loss: 0.9662, Train Accuracy: 0.6265, Val Loss: 1.1396, Val Accuracy: 0.5738
Epoch 40/100, Train Loss: 0.9689, Train Accuracy: 0.6320, Val Loss: 1.1353, Val Accuracy: 0.5792
Epoch 41/100, Train Loss: 0.9765, Train Accuracy: 0.6402, Val Loss: 1.1334, Val Accuracy: 0.5902
Epoch 42/100, Train Loss: 0.9532, Train Accuracy: 0.6361, Val Loss: 1.1313, Val Accuracy: 0.5792
Epoch 43/100, Train Loss: 0.9620, Train Accuracy: 0.6375, Val Loss: 1.1310, Val Accuracy: 0.5847
