Epoch 1/100, Train Loss: 1.8078, Train Accuracy: 0.2312, Val Loss: 1.8181, Val Accuracy: 0.2240
Epoch 2/100, Train Loss: 1.7863, Train Accuracy: 0.2927, Val Loss: 1.7995, Val Accuracy: 0.2787
Epoch 3/100, Train Loss: 1.7657, Train Accuracy: 0.3625, Val Loss: 1.7805, Val Accuracy: 0.3333
Epoch 4/100, Train Loss: 1.7434, Train Accuracy: 0.4049, Val Loss: 1.7609, Val Accuracy: 0.3388
Epoch 5/100, Train Loss: 1.7212, Train Accuracy: 0.4268, Val Loss: 1.7402, Val Accuracy: 0.3443
Epoch 6/100, Train Loss: 1.6974, Train Accuracy: 0.4350, Val Loss: 1.7187, Val Accuracy: 0.3388
Epoch 7/100, Train Loss: 1.6716, Train Accuracy: 0.4378, Val Loss: 1.6955, Val Accuracy: 0.3443
Epoch 8/100, Train Loss: 1.6457, Train Accuracy: 0.4501, Val Loss: 1.6713, Val Accuracy: 0.3552
Epoch 9/100, Train Loss: 1.6178, Train Accuracy: 0.4487, Val Loss: 1.6460, Val Accuracy: 0.3661
Epoch 10/100, Train Loss: 1.5873, Train Accuracy: 0.4487, Val Loss: 1.6197, Val Accuracy: 0.3661
Epoch 11/100, Train Loss: 1.5565, Train Accuracy: 0.4487, Val Loss: 1.5927, Val Accuracy: 0.3716
Epoch 12/100, Train Loss: 1.5257, Train Accuracy: 0.4446, Val Loss: 1.5650, Val Accuracy: 0.3716
Epoch 13/100, Train Loss: 1.4932, Train Accuracy: 0.4460, Val Loss: 1.5377, Val Accuracy: 0.3770
Epoch 14/100, Train Loss: 1.4610, Train Accuracy: 0.4487, Val Loss: 1.5115, Val Accuracy: 0.3770
Epoch 15/100, Train Loss: 1.4295, Train Accuracy: 0.4528, Val Loss: 1.4859, Val Accuracy: 0.3770
Epoch 16/100, Train Loss: 1.3981, Train Accuracy: 0.4542, Val Loss: 1.4614, Val Accuracy: 0.3934
Epoch 17/100, Train Loss: 1.3686, Train Accuracy: 0.4542, Val Loss: 1.4386, Val Accuracy: 0.3989
Epoch 18/100, Train Loss: 1.3408, Train Accuracy: 0.4569, Val Loss: 1.4167, Val Accuracy: 0.4044
Epoch 19/100, Train Loss: 1.3149, Train Accuracy: 0.4651, Val Loss: 1.3965, Val Accuracy: 0.4153
Epoch 20/100, Train Loss: 1.2916, Train Accuracy: 0.4761, Val Loss: 1.3782, Val Accuracy: 0.4262
Epoch 21/100, Train Loss: 1.2682, Train Accuracy: 0.4884, Val Loss: 1.3597, Val Accuracy: 0.4481
Epoch 22/100, Train Loss: 1.2462, Train Accuracy: 0.5062, Val Loss: 1.3439, Val Accuracy: 0.4699
Epoch 23/100, Train Loss: 1.2274, Train Accuracy: 0.5144, Val Loss: 1.3299, Val Accuracy: 0.4754
Epoch 24/100, Train Loss: 1.2097, Train Accuracy: 0.5198, Val Loss: 1.3166, Val Accuracy: 0.4809
Epoch 25/100, Train Loss: 1.1930, Train Accuracy: 0.5308, Val Loss: 1.3041, Val Accuracy: 0.4809
Epoch 26/100, Train Loss: 1.1782, Train Accuracy: 0.5335, Val Loss: 1.2925, Val Accuracy: 0.4918
Epoch 27/100, Train Loss: 1.1627, Train Accuracy: 0.5363, Val Loss: 1.2817, Val Accuracy: 0.4863
Epoch 28/100, Train Loss: 1.1500, Train Accuracy: 0.5499, Val Loss: 1.2718, Val Accuracy: 0.4918
Epoch 29/100, Train Loss: 1.1398, Train Accuracy: 0.5486, Val Loss: 1.2638, Val Accuracy: 0.4973
Epoch 30/100, Train Loss: 1.1275, Train Accuracy: 0.5540, Val Loss: 1.2548, Val Accuracy: 0.4973
Epoch 31/100, Train Loss: 1.1197, Train Accuracy: 0.5568, Val Loss: 1.2473, Val Accuracy: 0.5082
Epoch 32/100, Train Loss: 1.1094, Train Accuracy: 0.5609, Val Loss: 1.2397, Val Accuracy: 0.5082
Epoch 33/100, Train Loss: 1.0995, Train Accuracy: 0.5691, Val Loss: 1.2321, Val Accuracy: 0.5082
Epoch 34/100, Train Loss: 1.0912, Train Accuracy: 0.5746, Val Loss: 1.2263, Val Accuracy: 0.5082
Epoch 35/100, Train Loss: 1.0824, Train Accuracy: 0.5773, Val Loss: 1.2192, Val Accuracy: 0.5082
Epoch 36/100, Train Loss: 1.0761, Train Accuracy: 0.5787, Val Loss: 1.2135, Val Accuracy: 0.5082
Epoch 37/100, Train Loss: 1.0697, Train Accuracy: 0.5800, Val Loss: 1.2079, Val Accuracy: 0.5082
Epoch 38/100, Train Loss: 1.0642, Train Accuracy: 0.5800, Val Loss: 1.2032, Val Accuracy: 0.5027
Epoch 39/100, Train Loss: 1.0573, Train Accuracy: 0.5828, Val Loss: 1.1970, Val Accuracy: 0.5082
Epoch 40/100, Train Loss: 1.0509, Train Accuracy: 0.5828, Val Loss: 1.1929, Val Accuracy: 0.5082
Epoch 41/100, Train Loss: 1.0463, Train Accuracy: 0.5828, Val Loss: 1.1890, Val Accuracy: 0.5082
Epoch 42/100, Train Loss: 1.0404, Train Accuracy: 0.5814, Val Loss: 1.1846, Val Accuracy: 0.5082
Epoch 43/100, Train Loss: 1.0375, Train Accuracy: 0.5855, Val Loss: 1.1803, Val Accuracy: 0.5082
