2024-11-29 18:44:04,642 INFO    Thread-38 :7244 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-11-29 18:44:04,643 INFO    Thread-38 :7244 [wandb_setup.py:_flush():79] Configure stats pid to 7244
2024-11-29 18:44:04,643 INFO    Thread-38 :7244 [wandb_setup.py:_flush():79] Loading settings from C:\Users\U\.config\wandb\settings
2024-11-29 18:44:04,643 INFO    Thread-38 :7244 [wandb_setup.py:_flush():79] Loading settings from C:\Users\U\Desktop\Wine Quality Prediction\wandb\settings
2024-11-29 18:44:04,643 INFO    Thread-38 :7244 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'project': 'Wine Quality Prediction', 'entity': 'arnav0708-indraprastha-institute-of-information-technology', 'root_dir': 'C:\\Users\\U\\Desktop\\Wine Quality Prediction', 'run_id': '04ad8h5b', 'sweep_param_path': 'C:\\Users\\U\\Desktop\\Wine Quality Prediction\\wandb\\sweep-hzexd4o0\\config-04ad8h5b.yaml', 'sweep_id': 'hzexd4o0'}
2024-11-29 18:44:04,646 INFO    Thread-38 :7244 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-29 18:44:04,646 INFO    Thread-38 :7244 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'src\\train\\train.py', 'program_abspath': 'c:\\Users\\U\\Desktop\\Wine Quality Prediction\\src\\train\\train.py', 'program': 'c:\\Users\\U\\Desktop\\Wine Quality Prediction\\src\\train\\train.py'}
2024-11-29 18:44:04,646 INFO    Thread-38 :7244 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-29 18:44:04,646 INFO    Thread-38 :7244 [wandb_init.py:_log_setup():533] Logging user logs to C:\Users\U\Desktop\Wine Quality Prediction\wandb\run-20241129_184404-04ad8h5b\logs\debug.log
2024-11-29 18:44:04,646 INFO    Thread-38 :7244 [wandb_init.py:_log_setup():534] Logging internal logs to C:\Users\U\Desktop\Wine Quality Prediction\wandb\run-20241129_184404-04ad8h5b\logs\debug-internal.log
2024-11-29 18:44:04,646 INFO    Thread-38 :7244 [wandb_init.py:init():619] calling init triggers
2024-11-29 18:44:04,646 INFO    Thread-38 :7244 [wandb_init.py:init():626] wandb.init called with sweep_config: {'batch_size': 64, 'dropout': 0.5, 'epochs': 10, 'hidden_size': 128, 'learning_rate': 0.0005}
config: {}
2024-11-29 18:44:04,646 INFO    Thread-38 :7244 [wandb_init.py:init():669] starting backend
2024-11-29 18:44:04,646 INFO    Thread-38 :7244 [wandb_init.py:init():673] sending inform_init request
2024-11-29 18:44:04,653 INFO    Thread-38 :7244 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-11-29 18:44:04,653 INFO    Thread-38 :7244 [wandb_init.py:init():686] backend started and connected
2024-11-29 18:44:04,664 INFO    Thread-38 :7244 [wandb_run.py:_config_callback():1387] config_cb None None {'batch_size': 64, 'dropout': 0.5, 'epochs': 10, 'hidden_size': 128, 'learning_rate': 0.0005}
2024-11-29 18:44:04,665 INFO    Thread-38 :7244 [wandb_init.py:init():781] updated telemetry
2024-11-29 18:44:04,697 INFO    Thread-38 :7244 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-29 18:44:05,156 INFO    Thread-38 :7244 [wandb_init.py:init():867] starting run threads in backend
2024-11-29 18:44:05,334 INFO    Thread-38 :7244 [wandb_run.py:_console_start():2456] atexit reg
2024-11-29 18:44:05,335 INFO    Thread-38 :7244 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-11-29 18:44:05,335 INFO    Thread-38 :7244 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-11-29 18:44:05,335 INFO    Thread-38 :7244 [wandb_run.py:_redirect():2395] Redirects installed.
2024-11-29 18:44:05,336 INFO    Thread-38 :7244 [wandb_init.py:init():911] run started, returning control to user process
2024-11-29 18:44:05,343 INFO    Thread-38 :7244 [wandb_watch.py:_watch():71] Watching
2024-11-29 18:44:05,658 INFO    Thread-38 :7244 [wandb_run.py:_finish():2155] finishing run arnav0708-indraprastha-institute-of-information-technology/Wine Quality Prediction/04ad8h5b
2024-11-29 18:44:05,658 INFO    Thread-38 :7244 [wandb_run.py:_atexit_cleanup():2420] got exitcode: 0
2024-11-29 18:44:05,658 INFO    Thread-38 :7244 [wandb_run.py:_restore():2402] restore
2024-11-29 18:44:05,658 INFO    Thread-38 :7244 [wandb_run.py:_restore():2408] restore done
2024-11-29 18:44:08,736 INFO    Thread-38 :7244 [wandb_run.py:_footer_history_summary_info():3960] rendering history
2024-11-29 18:44:08,737 INFO    Thread-38 :7244 [wandb_run.py:_footer_history_summary_info():3992] rendering summary
2024-11-29 18:44:08,745 INFO    Thread-38 :7244 [wandb_run.py:_footer_sync_info():3921] logging synced files
