Epoch 1/100, Train Loss: 1.6532, Train Accuracy: 0.2654, Val Loss: 1.3932, Val Accuracy: 0.3552
Epoch 2/100, Train Loss: 1.1928, Train Accuracy: 0.4802, Val Loss: 1.2032, Val Accuracy: 0.4208
Epoch 3/100, Train Loss: 1.0629, Train Accuracy: 0.5431, Val Loss: 1.1266, Val Accuracy: 0.4754
Epoch 4/100, Train Loss: 1.0042, Train Accuracy: 0.5732, Val Loss: 1.0891, Val Accuracy: 0.5246
Epoch 5/100, Train Loss: 0.9768, Train Accuracy: 0.6047, Val Loss: 1.0533, Val Accuracy: 0.5628
Epoch 6/100, Train Loss: 0.9581, Train Accuracy: 0.6265, Val Loss: 1.0547, Val Accuracy: 0.5738
Epoch 7/100, Train Loss: 0.9437, Train Accuracy: 0.6224, Val Loss: 1.0276, Val Accuracy: 0.5738
Epoch 8/100, Train Loss: 0.9363, Train Accuracy: 0.6320, Val Loss: 1.0323, Val Accuracy: 0.5792
Epoch 9/100, Train Loss: 0.9266, Train Accuracy: 0.6361, Val Loss: 1.0298, Val Accuracy: 0.5792
Epoch 10/100, Train Loss: 0.9201, Train Accuracy: 0.6443, Val Loss: 1.0276, Val Accuracy: 0.5683
Epoch 11/100, Train Loss: 0.9155, Train Accuracy: 0.6375, Val Loss: 1.0360, Val Accuracy: 0.5683
Epoch 12/100, Train Loss: 0.9068, Train Accuracy: 0.6361, Val Loss: 1.0255, Val Accuracy: 0.5956
Epoch 13/100, Train Loss: 0.9015, Train Accuracy: 0.6402, Val Loss: 1.0298, Val Accuracy: 0.5738
Epoch 14/100, Train Loss: 0.8956, Train Accuracy: 0.6402, Val Loss: 1.0372, Val Accuracy: 0.5792
Epoch 15/100, Train Loss: 0.8917, Train Accuracy: 0.6484, Val Loss: 1.0298, Val Accuracy: 0.5956
Epoch 16/100, Train Loss: 0.8884, Train Accuracy: 0.6471, Val Loss: 1.0267, Val Accuracy: 0.5847
Epoch 17/100, Train Loss: 0.8823, Train Accuracy: 0.6512, Val Loss: 1.0258, Val Accuracy: 0.5902
Epoch 18/100, Train Loss: 0.8794, Train Accuracy: 0.6457, Val Loss: 1.0149, Val Accuracy: 0.6011
Epoch 19/100, Train Loss: 0.8751, Train Accuracy: 0.6566, Val Loss: 1.0213, Val Accuracy: 0.5902
Epoch 20/100, Train Loss: 0.8709, Train Accuracy: 0.6594, Val Loss: 1.0229, Val Accuracy: 0.5902
Epoch 21/100, Train Loss: 0.8687, Train Accuracy: 0.6566, Val Loss: 1.0153, Val Accuracy: 0.6066
Epoch 22/100, Train Loss: 0.8630, Train Accuracy: 0.6553, Val Loss: 1.0337, Val Accuracy: 0.5956
Epoch 23/100, Train Loss: 0.8618, Train Accuracy: 0.6539, Val Loss: 1.0321, Val Accuracy: 0.6011
Epoch 24/100, Train Loss: 0.8611, Train Accuracy: 0.6689, Val Loss: 1.0216, Val Accuracy: 0.6120
Epoch 25/100, Train Loss: 0.8552, Train Accuracy: 0.6594, Val Loss: 1.0145, Val Accuracy: 0.5902
Epoch 26/100, Train Loss: 0.8519, Train Accuracy: 0.6648, Val Loss: 1.0476, Val Accuracy: 0.5902
Epoch 27/100, Train Loss: 0.8513, Train Accuracy: 0.6621, Val Loss: 1.0281, Val Accuracy: 0.5792
Epoch 28/100, Train Loss: 0.8468, Train Accuracy: 0.6731, Val Loss: 1.0258, Val Accuracy: 0.5792
Epoch 29/100, Train Loss: 0.8435, Train Accuracy: 0.6703, Val Loss: 1.0454, Val Accuracy: 0.5738
Epoch 30/100, Train Loss: 0.8442, Train Accuracy: 0.6662, Val Loss: 1.0319, Val Accuracy: 0.6011
Epoch 31/100, Train Loss: 0.8399, Train Accuracy: 0.6772, Val Loss: 1.0380, Val Accuracy: 0.5792
Epoch 32/100, Train Loss: 0.8380, Train Accuracy: 0.6813, Val Loss: 1.0484, Val Accuracy: 0.5792
Epoch 33/100, Train Loss: 0.8350, Train Accuracy: 0.6758, Val Loss: 1.0422, Val Accuracy: 0.5792
Epoch 34/100, Train Loss: 0.8328, Train Accuracy: 0.6826, Val Loss: 1.0281, Val Accuracy: 0.5902
Epoch 35/100, Train Loss: 0.8311, Train Accuracy: 0.6744, Val Loss: 1.0407, Val Accuracy: 0.5847
Epoch 36/100, Train Loss: 0.8290, Train Accuracy: 0.6744, Val Loss: 1.0396, Val Accuracy: 0.5683
Epoch 37/100, Train Loss: 0.8268, Train Accuracy: 0.6895, Val Loss: 1.0395, Val Accuracy: 0.5683
Epoch 38/100, Train Loss: 0.8266, Train Accuracy: 0.6881, Val Loss: 1.0578, Val Accuracy: 0.5574
Epoch 39/100, Train Loss: 0.8234, Train Accuracy: 0.6840, Val Loss: 1.0584, Val Accuracy: 0.5847
Epoch 40/100, Train Loss: 0.8180, Train Accuracy: 0.6826, Val Loss: 1.0637, Val Accuracy: 0.5792
Epoch 41/100, Train Loss: 0.8162, Train Accuracy: 0.6895, Val Loss: 1.0342, Val Accuracy: 0.5792
Epoch 42/100, Train Loss: 0.8144, Train Accuracy: 0.6881, Val Loss: 1.0447, Val Accuracy: 0.5847
Epoch 43/100, Train Loss: 0.8136, Train Accuracy: 0.6908, Val Loss: 1.0582, Val Accuracy: 0.5792
Epoch 44/100, Train Loss: 0.8136, Train Accuracy: 0.6867, Val Loss: 1.0544, Val Accuracy: 0.5738
Epoch 45/100, Train Loss: 0.8112, Train Accuracy: 0.6854, Val Loss: 1.0631, Val Accuracy: 0.5902
Epoch 46/100, Train Loss: 0.8124, Train Accuracy: 0.6908, Val Loss: 1.0602, Val Accuracy: 0.5792
Epoch 47/100, Train Loss: 0.8093, Train Accuracy: 0.6826, Val Loss: 1.0645, Val Accuracy: 0.5792
Epoch 48/100, Train Loss: 0.8059, Train Accuracy: 0.6908, Val Loss: 1.0688, Val Accuracy: 0.5738
Epoch 49/100, Train Loss: 0.8028, Train Accuracy: 0.6840, Val Loss: 1.0689, Val Accuracy: 0.5738
Epoch 50/100, Train Loss: 0.8018, Train Accuracy: 0.6908, Val Loss: 1.0593, Val Accuracy: 0.5683
Epoch 51/100, Train Loss: 0.8004, Train Accuracy: 0.6840, Val Loss: 1.0798, Val Accuracy: 0.5683
Epoch 52/100, Train Loss: 0.7971, Train Accuracy: 0.6826, Val Loss: 1.0674, Val Accuracy: 0.5738
Epoch 53/100, Train Loss: 0.7965, Train Accuracy: 0.6990, Val Loss: 1.0673, Val Accuracy: 0.5738
Epoch 54/100, Train Loss: 0.7946, Train Accuracy: 0.6881, Val Loss: 1.0730, Val Accuracy: 0.5683
Epoch 55/100, Train Loss: 0.7929, Train Accuracy: 0.6990, Val Loss: 1.0667, Val Accuracy: 0.5683
Epoch 56/100, Train Loss: 0.7911, Train Accuracy: 0.6867, Val Loss: 1.0799, Val Accuracy: 0.5738
Epoch 57/100, Train Loss: 0.7917, Train Accuracy: 0.6908, Val Loss: 1.0721, Val Accuracy: 0.5738
Epoch 58/100, Train Loss: 0.7874, Train Accuracy: 0.6908, Val Loss: 1.0899, Val Accuracy: 0.5628
Epoch 59/100, Train Loss: 0.7866, Train Accuracy: 0.6936, Val Loss: 1.0768, Val Accuracy: 0.5738
Epoch 60/100, Train Loss: 0.7857, Train Accuracy: 0.6895, Val Loss: 1.0861, Val Accuracy: 0.5519
Epoch 61/100, Train Loss: 0.7840, Train Accuracy: 0.6895, Val Loss: 1.0794, Val Accuracy: 0.5792
Epoch 62/100, Train Loss: 0.7829, Train Accuracy: 0.6895, Val Loss: 1.0800, Val Accuracy: 0.5738
Epoch 63/100, Train Loss: 0.7824, Train Accuracy: 0.6908, Val Loss: 1.0922, Val Accuracy: 0.5574
Epoch 64/100, Train Loss: 0.7766, Train Accuracy: 0.6990, Val Loss: 1.0761, Val Accuracy: 0.5683
Epoch 65/100, Train Loss: 0.7804, Train Accuracy: 0.6908, Val Loss: 1.0958, Val Accuracy: 0.5628
Epoch 66/100, Train Loss: 0.7742, Train Accuracy: 0.7086, Val Loss: 1.0870, Val Accuracy: 0.5738
Epoch 67/100, Train Loss: 0.7745, Train Accuracy: 0.6949, Val Loss: 1.1108, Val Accuracy: 0.5574
Epoch 68/100, Train Loss: 0.7723, Train Accuracy: 0.6922, Val Loss: 1.0880, Val Accuracy: 0.5683
Epoch 69/100, Train Loss: 0.7715, Train Accuracy: 0.6908, Val Loss: 1.1009, Val Accuracy: 0.5628
