Epoch 1/100, Train Loss: 1.6674, Train Accuracy: 0.3871, Val Loss: 1.6233, Val Accuracy: 0.4372
Epoch 2/100, Train Loss: 1.5849, Train Accuracy: 0.3871, Val Loss: 1.5370, Val Accuracy: 0.4372
Epoch 3/100, Train Loss: 1.4851, Train Accuracy: 0.3871, Val Loss: 1.4359, Val Accuracy: 0.4372
Epoch 4/100, Train Loss: 1.3777, Train Accuracy: 0.3871, Val Loss: 1.3506, Val Accuracy: 0.4372
Epoch 5/100, Train Loss: 1.2930, Train Accuracy: 0.3885, Val Loss: 1.3001, Val Accuracy: 0.4536
Epoch 6/100, Train Loss: 1.2361, Train Accuracy: 0.4159, Val Loss: 1.2721, Val Accuracy: 0.4645
Epoch 7/100, Train Loss: 1.1982, Train Accuracy: 0.4897, Val Loss: 1.2524, Val Accuracy: 0.4973
Epoch 8/100, Train Loss: 1.1702, Train Accuracy: 0.5417, Val Loss: 1.2340, Val Accuracy: 0.5464
Epoch 9/100, Train Loss: 1.1459, Train Accuracy: 0.5650, Val Loss: 1.2166, Val Accuracy: 0.5246
Epoch 10/100, Train Loss: 1.1202, Train Accuracy: 0.5622, Val Loss: 1.1972, Val Accuracy: 0.5137
Epoch 11/100, Train Loss: 1.0988, Train Accuracy: 0.5568, Val Loss: 1.1775, Val Accuracy: 0.5027
Epoch 12/100, Train Loss: 1.0767, Train Accuracy: 0.5554, Val Loss: 1.1571, Val Accuracy: 0.5137
Epoch 13/100, Train Loss: 1.0565, Train Accuracy: 0.5691, Val Loss: 1.1404, Val Accuracy: 0.5082
Epoch 14/100, Train Loss: 1.0385, Train Accuracy: 0.5732, Val Loss: 1.1265, Val Accuracy: 0.5082
Epoch 15/100, Train Loss: 1.0235, Train Accuracy: 0.5746, Val Loss: 1.1149, Val Accuracy: 0.5137
Epoch 16/100, Train Loss: 1.0095, Train Accuracy: 0.5800, Val Loss: 1.1030, Val Accuracy: 0.5137
Epoch 17/100, Train Loss: 0.9989, Train Accuracy: 0.5828, Val Loss: 1.0919, Val Accuracy: 0.5191
Epoch 18/100, Train Loss: 0.9912, Train Accuracy: 0.5882, Val Loss: 1.0867, Val Accuracy: 0.5191
Epoch 19/100, Train Loss: 0.9844, Train Accuracy: 0.5896, Val Loss: 1.0811, Val Accuracy: 0.5191
Epoch 20/100, Train Loss: 0.9797, Train Accuracy: 0.5896, Val Loss: 1.0760, Val Accuracy: 0.5191
Epoch 21/100, Train Loss: 0.9732, Train Accuracy: 0.5964, Val Loss: 1.0734, Val Accuracy: 0.5137
Epoch 22/100, Train Loss: 0.9693, Train Accuracy: 0.5964, Val Loss: 1.0667, Val Accuracy: 0.5191
Epoch 23/100, Train Loss: 0.9660, Train Accuracy: 0.5964, Val Loss: 1.0630, Val Accuracy: 0.5246
Epoch 24/100, Train Loss: 0.9616, Train Accuracy: 0.5978, Val Loss: 1.0597, Val Accuracy: 0.5246
Epoch 25/100, Train Loss: 0.9594, Train Accuracy: 0.6019, Val Loss: 1.0559, Val Accuracy: 0.5410
Epoch 26/100, Train Loss: 0.9562, Train Accuracy: 0.6019, Val Loss: 1.0533, Val Accuracy: 0.5410
Epoch 27/100, Train Loss: 0.9538, Train Accuracy: 0.6047, Val Loss: 1.0519, Val Accuracy: 0.5410
Epoch 28/100, Train Loss: 0.9484, Train Accuracy: 0.6033, Val Loss: 1.0497, Val Accuracy: 0.5464
Epoch 29/100, Train Loss: 0.9464, Train Accuracy: 0.6088, Val Loss: 1.0470, Val Accuracy: 0.5464
Epoch 30/100, Train Loss: 0.9446, Train Accuracy: 0.6129, Val Loss: 1.0468, Val Accuracy: 0.5410
Epoch 31/100, Train Loss: 0.9437, Train Accuracy: 0.6088, Val Loss: 1.0451, Val Accuracy: 0.5464
Epoch 32/100, Train Loss: 0.9409, Train Accuracy: 0.6088, Val Loss: 1.0445, Val Accuracy: 0.5738
Epoch 33/100, Train Loss: 0.9378, Train Accuracy: 0.6156, Val Loss: 1.0445, Val Accuracy: 0.5738
Epoch 34/100, Train Loss: 0.9359, Train Accuracy: 0.6101, Val Loss: 1.0402, Val Accuracy: 0.5683
Epoch 35/100, Train Loss: 0.9357, Train Accuracy: 0.6170, Val Loss: 1.0375, Val Accuracy: 0.5738
Epoch 36/100, Train Loss: 0.9359, Train Accuracy: 0.6265, Val Loss: 1.0378, Val Accuracy: 0.5683
Epoch 37/100, Train Loss: 0.9303, Train Accuracy: 0.6197, Val Loss: 1.0351, Val Accuracy: 0.5683
Epoch 38/100, Train Loss: 0.9297, Train Accuracy: 0.6306, Val Loss: 1.0361, Val Accuracy: 0.5738
Epoch 39/100, Train Loss: 0.9265, Train Accuracy: 0.6265, Val Loss: 1.0372, Val Accuracy: 0.5683
Epoch 40/100, Train Loss: 0.9262, Train Accuracy: 0.6279, Val Loss: 1.0338, Val Accuracy: 0.5738
Epoch 41/100, Train Loss: 0.9238, Train Accuracy: 0.6375, Val Loss: 1.0345, Val Accuracy: 0.5628
Epoch 42/100, Train Loss: 0.9220, Train Accuracy: 0.6279, Val Loss: 1.0339, Val Accuracy: 0.5628
Epoch 43/100, Train Loss: 0.9224, Train Accuracy: 0.6375, Val Loss: 1.0330, Val Accuracy: 0.5628
Epoch 44/100, Train Loss: 0.9194, Train Accuracy: 0.6265, Val Loss: 1.0307, Val Accuracy: 0.5683
Epoch 45/100, Train Loss: 0.9179, Train Accuracy: 0.6443, Val Loss: 1.0328, Val Accuracy: 0.5683
Epoch 46/100, Train Loss: 0.9172, Train Accuracy: 0.6375, Val Loss: 1.0318, Val Accuracy: 0.5628
Epoch 47/100, Train Loss: 0.9159, Train Accuracy: 0.6402, Val Loss: 1.0317, Val Accuracy: 0.5628
Epoch 48/100, Train Loss: 0.9140, Train Accuracy: 0.6320, Val Loss: 1.0269, Val Accuracy: 0.5902
Epoch 49/100, Train Loss: 0.9122, Train Accuracy: 0.6389, Val Loss: 1.0265, Val Accuracy: 0.5902
Epoch 50/100, Train Loss: 0.9145, Train Accuracy: 0.6361, Val Loss: 1.0270, Val Accuracy: 0.5847
Epoch 51/100, Train Loss: 0.9099, Train Accuracy: 0.6389, Val Loss: 1.0281, Val Accuracy: 0.5902
Epoch 52/100, Train Loss: 0.9073, Train Accuracy: 0.6402, Val Loss: 1.0261, Val Accuracy: 0.5902
Epoch 53/100, Train Loss: 0.9080, Train Accuracy: 0.6361, Val Loss: 1.0275, Val Accuracy: 0.5902
Epoch 54/100, Train Loss: 0.9059, Train Accuracy: 0.6375, Val Loss: 1.0276, Val Accuracy: 0.5902
Epoch 55/100, Train Loss: 0.9046, Train Accuracy: 0.6361, Val Loss: 1.0269, Val Accuracy: 0.5902
Epoch 56/100, Train Loss: 0.9028, Train Accuracy: 0.6320, Val Loss: 1.0284, Val Accuracy: 0.5902
Epoch 57/100, Train Loss: 0.9019, Train Accuracy: 0.6320, Val Loss: 1.0288, Val Accuracy: 0.5902
Epoch 58/100, Train Loss: 0.9008, Train Accuracy: 0.6375, Val Loss: 1.0243, Val Accuracy: 0.5847
Epoch 59/100, Train Loss: 0.8985, Train Accuracy: 0.6279, Val Loss: 1.0256, Val Accuracy: 0.5847
