Epoch 1/250, Train Loss: 1.7824, Train Accuracy: 0.1548, Val Loss: 1.7571, Val Accuracy: 0.1724
Epoch 2/250, Train Loss: 1.7781, Train Accuracy: 0.1634, Val Loss: 1.7528, Val Accuracy: 0.1853
Epoch 3/250, Train Loss: 1.7738, Train Accuracy: 0.1748, Val Loss: 1.7485, Val Accuracy: 0.1918
Epoch 4/250, Train Loss: 1.7695, Train Accuracy: 0.1802, Val Loss: 1.7443, Val Accuracy: 0.2069
Epoch 5/250, Train Loss: 1.7653, Train Accuracy: 0.1877, Val Loss: 1.7400, Val Accuracy: 0.2155
Epoch 6/250, Train Loss: 1.7611, Train Accuracy: 0.1920, Val Loss: 1.7358, Val Accuracy: 0.2220
Epoch 7/250, Train Loss: 1.7569, Train Accuracy: 0.2044, Val Loss: 1.7317, Val Accuracy: 0.2284
Epoch 8/250, Train Loss: 1.7528, Train Accuracy: 0.2141, Val Loss: 1.7275, Val Accuracy: 0.2349
Epoch 9/250, Train Loss: 1.7486, Train Accuracy: 0.2238, Val Loss: 1.7235, Val Accuracy: 0.2414
Epoch 10/250, Train Loss: 1.7446, Train Accuracy: 0.2319, Val Loss: 1.7194, Val Accuracy: 0.2522
Epoch 11/250, Train Loss: 1.7405, Train Accuracy: 0.2411, Val Loss: 1.7154, Val Accuracy: 0.2543
Epoch 12/250, Train Loss: 1.7365, Train Accuracy: 0.2530, Val Loss: 1.7114, Val Accuracy: 0.2543
Epoch 13/250, Train Loss: 1.7325, Train Accuracy: 0.2621, Val Loss: 1.7074, Val Accuracy: 0.2694
Epoch 14/250, Train Loss: 1.7286, Train Accuracy: 0.2681, Val Loss: 1.7034, Val Accuracy: 0.2802
Epoch 15/250, Train Loss: 1.7246, Train Accuracy: 0.2767, Val Loss: 1.6995, Val Accuracy: 0.2845
Epoch 16/250, Train Loss: 1.7206, Train Accuracy: 0.2832, Val Loss: 1.6956, Val Accuracy: 0.2953
Epoch 17/250, Train Loss: 1.7168, Train Accuracy: 0.2891, Val Loss: 1.6917, Val Accuracy: 0.3039
Epoch 18/250, Train Loss: 1.7129, Train Accuracy: 0.2977, Val Loss: 1.6879, Val Accuracy: 0.3082
Epoch 19/250, Train Loss: 1.7090, Train Accuracy: 0.3042, Val Loss: 1.6840, Val Accuracy: 0.3168
Epoch 20/250, Train Loss: 1.7052, Train Accuracy: 0.3112, Val Loss: 1.6802, Val Accuracy: 0.3319
Epoch 21/250, Train Loss: 1.7014, Train Accuracy: 0.3225, Val Loss: 1.6764, Val Accuracy: 0.3362
Epoch 22/250, Train Loss: 1.6976, Train Accuracy: 0.3285, Val Loss: 1.6726, Val Accuracy: 0.3427
Epoch 23/250, Train Loss: 1.6939, Train Accuracy: 0.3398, Val Loss: 1.6689, Val Accuracy: 0.3556
Epoch 24/250, Train Loss: 1.6902, Train Accuracy: 0.3452, Val Loss: 1.6651, Val Accuracy: 0.3578
Epoch 25/250, Train Loss: 1.6864, Train Accuracy: 0.3495, Val Loss: 1.6614, Val Accuracy: 0.3621
Epoch 26/250, Train Loss: 1.6828, Train Accuracy: 0.3533, Val Loss: 1.6577, Val Accuracy: 0.3685
Epoch 27/250, Train Loss: 1.6791, Train Accuracy: 0.3587, Val Loss: 1.6540, Val Accuracy: 0.3728
Epoch 28/250, Train Loss: 1.6754, Train Accuracy: 0.3608, Val Loss: 1.6504, Val Accuracy: 0.3815
Epoch 29/250, Train Loss: 1.6718, Train Accuracy: 0.3668, Val Loss: 1.6467, Val Accuracy: 0.3901
Epoch 30/250, Train Loss: 1.6682, Train Accuracy: 0.3711, Val Loss: 1.6431, Val Accuracy: 0.4009
Epoch 31/250, Train Loss: 1.6646, Train Accuracy: 0.3786, Val Loss: 1.6395, Val Accuracy: 0.3987
Epoch 32/250, Train Loss: 1.6610, Train Accuracy: 0.3905, Val Loss: 1.6359, Val Accuracy: 0.4095
Epoch 33/250, Train Loss: 1.6575, Train Accuracy: 0.3986, Val Loss: 1.6324, Val Accuracy: 0.4159
Epoch 34/250, Train Loss: 1.6540, Train Accuracy: 0.4029, Val Loss: 1.6288, Val Accuracy: 0.4159
Epoch 35/250, Train Loss: 1.6505, Train Accuracy: 0.4067, Val Loss: 1.6253, Val Accuracy: 0.4159
Epoch 36/250, Train Loss: 1.6470, Train Accuracy: 0.4099, Val Loss: 1.6218, Val Accuracy: 0.4224
Epoch 37/250, Train Loss: 1.6436, Train Accuracy: 0.4132, Val Loss: 1.6183, Val Accuracy: 0.4246
Epoch 38/250, Train Loss: 1.6401, Train Accuracy: 0.4159, Val Loss: 1.6148, Val Accuracy: 0.4310
Epoch 39/250, Train Loss: 1.6366, Train Accuracy: 0.4207, Val Loss: 1.6114, Val Accuracy: 0.4375
Epoch 40/250, Train Loss: 1.6332, Train Accuracy: 0.4250, Val Loss: 1.6080, Val Accuracy: 0.4418
Epoch 41/250, Train Loss: 1.6299, Train Accuracy: 0.4304, Val Loss: 1.6045, Val Accuracy: 0.4483
Epoch 42/250, Train Loss: 1.6265, Train Accuracy: 0.4364, Val Loss: 1.6012, Val Accuracy: 0.4440
Epoch 43/250, Train Loss: 1.6231, Train Accuracy: 0.4391, Val Loss: 1.5978, Val Accuracy: 0.4440
Epoch 44/250, Train Loss: 1.6198, Train Accuracy: 0.4434, Val Loss: 1.5944, Val Accuracy: 0.4483
Epoch 45/250, Train Loss: 1.6165, Train Accuracy: 0.4439, Val Loss: 1.5910, Val Accuracy: 0.4526
Epoch 46/250, Train Loss: 1.6132, Train Accuracy: 0.4455, Val Loss: 1.5877, Val Accuracy: 0.4547
Epoch 47/250, Train Loss: 1.6098, Train Accuracy: 0.4493, Val Loss: 1.5844, Val Accuracy: 0.4526
Epoch 48/250, Train Loss: 1.6066, Train Accuracy: 0.4531, Val Loss: 1.5811, Val Accuracy: 0.4504
Epoch 49/250, Train Loss: 1.6034, Train Accuracy: 0.4531, Val Loss: 1.5778, Val Accuracy: 0.4591
Epoch 50/250, Train Loss: 1.6001, Train Accuracy: 0.4590, Val Loss: 1.5745, Val Accuracy: 0.4569
Epoch 51/250, Train Loss: 1.5969, Train Accuracy: 0.4595, Val Loss: 1.5712, Val Accuracy: 0.4591
Epoch 52/250, Train Loss: 1.5936, Train Accuracy: 0.4633, Val Loss: 1.5680, Val Accuracy: 0.4634
Epoch 53/250, Train Loss: 1.5905, Train Accuracy: 0.4628, Val Loss: 1.5647, Val Accuracy: 0.4655
Epoch 54/250, Train Loss: 1.5873, Train Accuracy: 0.4660, Val Loss: 1.5615, Val Accuracy: 0.4677
Epoch 55/250, Train Loss: 1.5841, Train Accuracy: 0.4660, Val Loss: 1.5583, Val Accuracy: 0.4655
Epoch 56/250, Train Loss: 1.5810, Train Accuracy: 0.4698, Val Loss: 1.5551, Val Accuracy: 0.4698
Epoch 57/250, Train Loss: 1.5780, Train Accuracy: 0.4720, Val Loss: 1.5519, Val Accuracy: 0.4741
Epoch 58/250, Train Loss: 1.5748, Train Accuracy: 0.4746, Val Loss: 1.5488, Val Accuracy: 0.4741
Epoch 59/250, Train Loss: 1.5717, Train Accuracy: 0.4768, Val Loss: 1.5456, Val Accuracy: 0.4828
Epoch 60/250, Train Loss: 1.5686, Train Accuracy: 0.4768, Val Loss: 1.5425, Val Accuracy: 0.4871
Epoch 61/250, Train Loss: 1.5656, Train Accuracy: 0.4768, Val Loss: 1.5394, Val Accuracy: 0.4914
Epoch 62/250, Train Loss: 1.5625, Train Accuracy: 0.4752, Val Loss: 1.5363, Val Accuracy: 0.4957
Epoch 63/250, Train Loss: 1.5594, Train Accuracy: 0.4768, Val Loss: 1.5332, Val Accuracy: 0.5022
Epoch 64/250, Train Loss: 1.5564, Train Accuracy: 0.4790, Val Loss: 1.5301, Val Accuracy: 0.5043
Epoch 65/250, Train Loss: 1.5534, Train Accuracy: 0.4806, Val Loss: 1.5271, Val Accuracy: 0.5022
Epoch 66/250, Train Loss: 1.5504, Train Accuracy: 0.4817, Val Loss: 1.5240, Val Accuracy: 0.5043
Epoch 67/250, Train Loss: 1.5474, Train Accuracy: 0.4849, Val Loss: 1.5210, Val Accuracy: 0.5043
Epoch 68/250, Train Loss: 1.5445, Train Accuracy: 0.4854, Val Loss: 1.5180, Val Accuracy: 0.5065
Epoch 69/250, Train Loss: 1.5416, Train Accuracy: 0.4860, Val Loss: 1.5149, Val Accuracy: 0.5108
Epoch 70/250, Train Loss: 1.5386, Train Accuracy: 0.4887, Val Loss: 1.5119, Val Accuracy: 0.5129
Epoch 71/250, Train Loss: 1.5357, Train Accuracy: 0.4903, Val Loss: 1.5090, Val Accuracy: 0.5129
Epoch 72/250, Train Loss: 1.5328, Train Accuracy: 0.4887, Val Loss: 1.5059, Val Accuracy: 0.5108
Epoch 73/250, Train Loss: 1.5298, Train Accuracy: 0.4881, Val Loss: 1.5030, Val Accuracy: 0.5086
Epoch 74/250, Train Loss: 1.5271, Train Accuracy: 0.4881, Val Loss: 1.5000, Val Accuracy: 0.5065
Epoch 75/250, Train Loss: 1.5242, Train Accuracy: 0.4887, Val Loss: 1.4971, Val Accuracy: 0.5108
Epoch 76/250, Train Loss: 1.5213, Train Accuracy: 0.4903, Val Loss: 1.4942, Val Accuracy: 0.5086
Epoch 77/250, Train Loss: 1.5184, Train Accuracy: 0.4908, Val Loss: 1.4913, Val Accuracy: 0.5086
Epoch 78/250, Train Loss: 1.5157, Train Accuracy: 0.4903, Val Loss: 1.4884, Val Accuracy: 0.5065
Epoch 79/250, Train Loss: 1.5128, Train Accuracy: 0.4881, Val Loss: 1.4855, Val Accuracy: 0.5065
Epoch 80/250, Train Loss: 1.5101, Train Accuracy: 0.4892, Val Loss: 1.4827, Val Accuracy: 0.5086
Epoch 81/250, Train Loss: 1.5073, Train Accuracy: 0.4887, Val Loss: 1.4798, Val Accuracy: 0.5086
Epoch 82/250, Train Loss: 1.5045, Train Accuracy: 0.4887, Val Loss: 1.4770, Val Accuracy: 0.5086
Epoch 83/250, Train Loss: 1.5018, Train Accuracy: 0.4892, Val Loss: 1.4741, Val Accuracy: 0.5086
Epoch 84/250, Train Loss: 1.4992, Train Accuracy: 0.4898, Val Loss: 1.4713, Val Accuracy: 0.5108
Epoch 85/250, Train Loss: 1.4963, Train Accuracy: 0.4876, Val Loss: 1.4686, Val Accuracy: 0.5108
Epoch 86/250, Train Loss: 1.4936, Train Accuracy: 0.4887, Val Loss: 1.4657, Val Accuracy: 0.5129
Epoch 87/250, Train Loss: 1.4909, Train Accuracy: 0.4892, Val Loss: 1.4629, Val Accuracy: 0.5151
Epoch 88/250, Train Loss: 1.4882, Train Accuracy: 0.4892, Val Loss: 1.4602, Val Accuracy: 0.5129
Epoch 89/250, Train Loss: 1.4856, Train Accuracy: 0.4892, Val Loss: 1.4574, Val Accuracy: 0.5151
Epoch 90/250, Train Loss: 1.4830, Train Accuracy: 0.4908, Val Loss: 1.4547, Val Accuracy: 0.5151
Epoch 91/250, Train Loss: 1.4802, Train Accuracy: 0.4914, Val Loss: 1.4520, Val Accuracy: 0.5129
Epoch 92/250, Train Loss: 1.4777, Train Accuracy: 0.4914, Val Loss: 1.4493, Val Accuracy: 0.5086
Epoch 93/250, Train Loss: 1.4751, Train Accuracy: 0.4924, Val Loss: 1.4466, Val Accuracy: 0.5065
Epoch 94/250, Train Loss: 1.4725, Train Accuracy: 0.4924, Val Loss: 1.4439, Val Accuracy: 0.5065
Epoch 95/250, Train Loss: 1.4698, Train Accuracy: 0.4924, Val Loss: 1.4412, Val Accuracy: 0.5086
Epoch 96/250, Train Loss: 1.4674, Train Accuracy: 0.4908, Val Loss: 1.4386, Val Accuracy: 0.5022
Epoch 97/250, Train Loss: 1.4647, Train Accuracy: 0.4908, Val Loss: 1.4359, Val Accuracy: 0.5022
Epoch 98/250, Train Loss: 1.4622, Train Accuracy: 0.4914, Val Loss: 1.4333, Val Accuracy: 0.5022
Epoch 99/250, Train Loss: 1.4596, Train Accuracy: 0.4935, Val Loss: 1.4307, Val Accuracy: 0.5022
Epoch 100/250, Train Loss: 1.4571, Train Accuracy: 0.4935, Val Loss: 1.4280, Val Accuracy: 0.5043
Epoch 101/250, Train Loss: 1.4546, Train Accuracy: 0.4935, Val Loss: 1.4255, Val Accuracy: 0.5000
Epoch 102/250, Train Loss: 1.4521, Train Accuracy: 0.4930, Val Loss: 1.4229, Val Accuracy: 0.5022
Epoch 103/250, Train Loss: 1.4497, Train Accuracy: 0.4941, Val Loss: 1.4203, Val Accuracy: 0.5022
Epoch 104/250, Train Loss: 1.4472, Train Accuracy: 0.4946, Val Loss: 1.4178, Val Accuracy: 0.5065
