Epoch 1/250, Train Loss: 1.8779, Train Accuracy: 0.0761, Val Loss: 1.8680, Val Accuracy: 0.0647
Epoch 2/250, Train Loss: 1.8730, Train Accuracy: 0.0814, Val Loss: 1.8630, Val Accuracy: 0.0668
Epoch 3/250, Train Loss: 1.8682, Train Accuracy: 0.0836, Val Loss: 1.8581, Val Accuracy: 0.0668
Epoch 4/250, Train Loss: 1.8633, Train Accuracy: 0.0879, Val Loss: 1.8532, Val Accuracy: 0.0733
Epoch 5/250, Train Loss: 1.8586, Train Accuracy: 0.0944, Val Loss: 1.8485, Val Accuracy: 0.0797
Epoch 6/250, Train Loss: 1.8540, Train Accuracy: 0.0982, Val Loss: 1.8437, Val Accuracy: 0.0862
Epoch 7/250, Train Loss: 1.8494, Train Accuracy: 0.1025, Val Loss: 1.8391, Val Accuracy: 0.0905
Epoch 8/250, Train Loss: 1.8448, Train Accuracy: 0.1090, Val Loss: 1.8345, Val Accuracy: 0.1013
Epoch 9/250, Train Loss: 1.8403, Train Accuracy: 0.1133, Val Loss: 1.8299, Val Accuracy: 0.1056
Epoch 10/250, Train Loss: 1.8359, Train Accuracy: 0.1181, Val Loss: 1.8254, Val Accuracy: 0.1078
Epoch 11/250, Train Loss: 1.8314, Train Accuracy: 0.1219, Val Loss: 1.8209, Val Accuracy: 0.1142
Epoch 12/250, Train Loss: 1.8270, Train Accuracy: 0.1257, Val Loss: 1.8165, Val Accuracy: 0.1207
Epoch 13/250, Train Loss: 1.8226, Train Accuracy: 0.1278, Val Loss: 1.8121, Val Accuracy: 0.1250
Epoch 14/250, Train Loss: 1.8184, Train Accuracy: 0.1327, Val Loss: 1.8077, Val Accuracy: 0.1293
Epoch 15/250, Train Loss: 1.8141, Train Accuracy: 0.1408, Val Loss: 1.8033, Val Accuracy: 0.1401
Epoch 16/250, Train Loss: 1.8099, Train Accuracy: 0.1489, Val Loss: 1.7990, Val Accuracy: 0.1466
Epoch 17/250, Train Loss: 1.8056, Train Accuracy: 0.1553, Val Loss: 1.7948, Val Accuracy: 0.1509
Epoch 18/250, Train Loss: 1.8013, Train Accuracy: 0.1580, Val Loss: 1.7905, Val Accuracy: 0.1573
Epoch 19/250, Train Loss: 1.7972, Train Accuracy: 0.1640, Val Loss: 1.7863, Val Accuracy: 0.1638
