Epoch 1/250, Train Loss: 1.8439, Train Accuracy: 0.1408, Val Loss: 1.8238, Val Accuracy: 0.1509
Epoch 2/250, Train Loss: 1.7946, Train Accuracy: 0.1618, Val Loss: 1.7740, Val Accuracy: 0.1853
Epoch 3/250, Train Loss: 1.7495, Train Accuracy: 0.1855, Val Loss: 1.7274, Val Accuracy: 0.2414
Epoch 4/250, Train Loss: 1.7074, Train Accuracy: 0.2540, Val Loss: 1.6857, Val Accuracy: 0.3642
Epoch 5/250, Train Loss: 1.6688, Train Accuracy: 0.3727, Val Loss: 1.6457, Val Accuracy: 0.4203
Epoch 6/250, Train Loss: 1.6326, Train Accuracy: 0.4175, Val Loss: 1.6089, Val Accuracy: 0.4591
Epoch 7/250, Train Loss: 1.5983, Train Accuracy: 0.4423, Val Loss: 1.5737, Val Accuracy: 0.4763
Epoch 8/250, Train Loss: 1.5665, Train Accuracy: 0.4509, Val Loss: 1.5409, Val Accuracy: 0.4828
Epoch 9/250, Train Loss: 1.5359, Train Accuracy: 0.4628, Val Loss: 1.5101, Val Accuracy: 0.4935
Epoch 10/250, Train Loss: 1.5074, Train Accuracy: 0.4693, Val Loss: 1.4807, Val Accuracy: 0.5086
Epoch 11/250, Train Loss: 1.4805, Train Accuracy: 0.4768, Val Loss: 1.4532, Val Accuracy: 0.5172
Epoch 12/250, Train Loss: 1.4551, Train Accuracy: 0.4865, Val Loss: 1.4268, Val Accuracy: 0.5302
Epoch 13/250, Train Loss: 1.4310, Train Accuracy: 0.4930, Val Loss: 1.4021, Val Accuracy: 0.5366
Epoch 14/250, Train Loss: 1.4081, Train Accuracy: 0.4978, Val Loss: 1.3792, Val Accuracy: 0.5409
Epoch 15/250, Train Loss: 1.3869, Train Accuracy: 0.5032, Val Loss: 1.3572, Val Accuracy: 0.5431
Epoch 16/250, Train Loss: 1.3666, Train Accuracy: 0.5038, Val Loss: 1.3361, Val Accuracy: 0.5409
Epoch 17/250, Train Loss: 1.3476, Train Accuracy: 0.5076, Val Loss: 1.3163, Val Accuracy: 0.5474
Epoch 18/250, Train Loss: 1.3295, Train Accuracy: 0.5081, Val Loss: 1.2980, Val Accuracy: 0.5496
Epoch 19/250, Train Loss: 1.3127, Train Accuracy: 0.5129, Val Loss: 1.2800, Val Accuracy: 0.5539
Epoch 20/250, Train Loss: 1.2964, Train Accuracy: 0.5151, Val Loss: 1.2635, Val Accuracy: 0.5603
Epoch 21/250, Train Loss: 1.2812, Train Accuracy: 0.5156, Val Loss: 1.2475, Val Accuracy: 0.5582
Epoch 22/250, Train Loss: 1.2667, Train Accuracy: 0.5200, Val Loss: 1.2325, Val Accuracy: 0.5603
Epoch 23/250, Train Loss: 1.2532, Train Accuracy: 0.5200, Val Loss: 1.2183, Val Accuracy: 0.5625
Epoch 24/250, Train Loss: 1.2402, Train Accuracy: 0.5254, Val Loss: 1.2047, Val Accuracy: 0.5668
Epoch 25/250, Train Loss: 1.2279, Train Accuracy: 0.5291, Val Loss: 1.1918, Val Accuracy: 0.5668
Epoch 26/250, Train Loss: 1.2160, Train Accuracy: 0.5297, Val Loss: 1.1800, Val Accuracy: 0.5690
Epoch 27/250, Train Loss: 1.2050, Train Accuracy: 0.5329, Val Loss: 1.1678, Val Accuracy: 0.5690
Epoch 28/250, Train Loss: 1.1945, Train Accuracy: 0.5351, Val Loss: 1.1568, Val Accuracy: 0.5647
Epoch 29/250, Train Loss: 1.1844, Train Accuracy: 0.5388, Val Loss: 1.1463, Val Accuracy: 0.5668
Epoch 30/250, Train Loss: 1.1747, Train Accuracy: 0.5464, Val Loss: 1.1362, Val Accuracy: 0.5690
Epoch 31/250, Train Loss: 1.1652, Train Accuracy: 0.5507, Val Loss: 1.1266, Val Accuracy: 0.5668
Epoch 32/250, Train Loss: 1.1564, Train Accuracy: 0.5512, Val Loss: 1.1172, Val Accuracy: 0.5625
Epoch 33/250, Train Loss: 1.1479, Train Accuracy: 0.5550, Val Loss: 1.1088, Val Accuracy: 0.5690
Epoch 34/250, Train Loss: 1.1396, Train Accuracy: 0.5620, Val Loss: 1.1005, Val Accuracy: 0.5668
Epoch 35/250, Train Loss: 1.1318, Train Accuracy: 0.5663, Val Loss: 1.0923, Val Accuracy: 0.5711
Epoch 36/250, Train Loss: 1.1245, Train Accuracy: 0.5685, Val Loss: 1.0841, Val Accuracy: 0.5647
Epoch 37/250, Train Loss: 1.1172, Train Accuracy: 0.5739, Val Loss: 1.0768, Val Accuracy: 0.5733
Epoch 38/250, Train Loss: 1.1100, Train Accuracy: 0.5777, Val Loss: 1.0699, Val Accuracy: 0.5754
Epoch 39/250, Train Loss: 1.1032, Train Accuracy: 0.5777, Val Loss: 1.0628, Val Accuracy: 0.5819
Epoch 40/250, Train Loss: 1.0967, Train Accuracy: 0.5820, Val Loss: 1.0562, Val Accuracy: 0.5884
Epoch 41/250, Train Loss: 1.0905, Train Accuracy: 0.5863, Val Loss: 1.0497, Val Accuracy: 0.5970
Epoch 42/250, Train Loss: 1.0843, Train Accuracy: 0.5863, Val Loss: 1.0436, Val Accuracy: 0.5948
Epoch 43/250, Train Loss: 1.0783, Train Accuracy: 0.5890, Val Loss: 1.0377, Val Accuracy: 0.6013
Epoch 44/250, Train Loss: 1.0725, Train Accuracy: 0.5895, Val Loss: 1.0320, Val Accuracy: 0.6034
Epoch 45/250, Train Loss: 1.0672, Train Accuracy: 0.5933, Val Loss: 1.0260, Val Accuracy: 0.6034
