Epoch 1/250, Train Loss: 1.5317, Train Accuracy: 0.4493, Val Loss: 1.3185, Val Accuracy: 0.5065
Epoch 2/250, Train Loss: 1.2306, Train Accuracy: 0.5076, Val Loss: 1.1250, Val Accuracy: 0.5668
Epoch 3/250, Train Loss: 1.1006, Train Accuracy: 0.5491, Val Loss: 1.0287, Val Accuracy: 0.5948
Epoch 4/250, Train Loss: 1.0253, Train Accuracy: 0.5890, Val Loss: 0.9663, Val Accuracy: 0.6466
Epoch 5/250, Train Loss: 0.9642, Train Accuracy: 0.6278, Val Loss: 0.9211, Val Accuracy: 0.6509
Epoch 6/250, Train Loss: 0.9226, Train Accuracy: 0.6402, Val Loss: 0.8915, Val Accuracy: 0.6444
Epoch 7/250, Train Loss: 0.8822, Train Accuracy: 0.6645, Val Loss: 0.8496, Val Accuracy: 0.6724
Epoch 8/250, Train Loss: 0.8482, Train Accuracy: 0.6818, Val Loss: 0.8251, Val Accuracy: 0.6767
Epoch 9/250, Train Loss: 0.8183, Train Accuracy: 0.6861, Val Loss: 0.8011, Val Accuracy: 0.6875
Epoch 10/250, Train Loss: 0.7964, Train Accuracy: 0.6931, Val Loss: 0.7806, Val Accuracy: 0.7134
Epoch 11/250, Train Loss: 0.7699, Train Accuracy: 0.7060, Val Loss: 0.7563, Val Accuracy: 0.7026
Epoch 12/250, Train Loss: 0.7474, Train Accuracy: 0.7131, Val Loss: 0.7477, Val Accuracy: 0.7134
Epoch 13/250, Train Loss: 0.7283, Train Accuracy: 0.7287, Val Loss: 0.7285, Val Accuracy: 0.7220
Epoch 14/250, Train Loss: 0.7112, Train Accuracy: 0.7357, Val Loss: 0.7111, Val Accuracy: 0.7414
Epoch 15/250, Train Loss: 0.6933, Train Accuracy: 0.7416, Val Loss: 0.6973, Val Accuracy: 0.7392
Epoch 16/250, Train Loss: 0.6785, Train Accuracy: 0.7465, Val Loss: 0.6904, Val Accuracy: 0.7435
Epoch 17/250, Train Loss: 0.6656, Train Accuracy: 0.7540, Val Loss: 0.6720, Val Accuracy: 0.7543
Epoch 18/250, Train Loss: 0.6520, Train Accuracy: 0.7611, Val Loss: 0.6668, Val Accuracy: 0.7565
Epoch 19/250, Train Loss: 0.6386, Train Accuracy: 0.7665, Val Loss: 0.6532, Val Accuracy: 0.7608
Epoch 20/250, Train Loss: 0.6292, Train Accuracy: 0.7681, Val Loss: 0.6451, Val Accuracy: 0.7629
Epoch 21/250, Train Loss: 0.6178, Train Accuracy: 0.7702, Val Loss: 0.6366, Val Accuracy: 0.7522
Epoch 22/250, Train Loss: 0.6068, Train Accuracy: 0.7810, Val Loss: 0.6269, Val Accuracy: 0.7629
