Epoch 1/250, Train Loss: 1.7867, Train Accuracy: 0.1845, Val Loss: 1.7294, Val Accuracy: 0.2371
Epoch 2/250, Train Loss: 1.7184, Train Accuracy: 0.2152, Val Loss: 1.6659, Val Accuracy: 0.2866
Epoch 3/250, Train Loss: 1.6566, Train Accuracy: 0.3161, Val Loss: 1.6074, Val Accuracy: 0.3901
Epoch 4/250, Train Loss: 1.5990, Train Accuracy: 0.3964, Val Loss: 1.5529, Val Accuracy: 0.4116
Epoch 5/250, Train Loss: 1.5451, Train Accuracy: 0.4337, Val Loss: 1.5012, Val Accuracy: 0.4569
Epoch 6/250, Train Loss: 1.4944, Train Accuracy: 0.4617, Val Loss: 1.4537, Val Accuracy: 0.4806
Epoch 7/250, Train Loss: 1.4476, Train Accuracy: 0.4746, Val Loss: 1.4099, Val Accuracy: 0.5000
Epoch 8/250, Train Loss: 1.4044, Train Accuracy: 0.4838, Val Loss: 1.3696, Val Accuracy: 0.5000
Epoch 9/250, Train Loss: 1.3659, Train Accuracy: 0.4860, Val Loss: 1.3337, Val Accuracy: 0.4892
Epoch 10/250, Train Loss: 1.3313, Train Accuracy: 0.4957, Val Loss: 1.3017, Val Accuracy: 0.5000
Epoch 11/250, Train Loss: 1.3008, Train Accuracy: 0.4962, Val Loss: 1.2735, Val Accuracy: 0.5108
Epoch 12/250, Train Loss: 1.2737, Train Accuracy: 0.5016, Val Loss: 1.2477, Val Accuracy: 0.5065
Epoch 13/250, Train Loss: 1.2497, Train Accuracy: 0.5043, Val Loss: 1.2251, Val Accuracy: 0.5151
Epoch 14/250, Train Loss: 1.2284, Train Accuracy: 0.5135, Val Loss: 1.2050, Val Accuracy: 0.5237
Epoch 15/250, Train Loss: 1.2093, Train Accuracy: 0.5151, Val Loss: 1.1867, Val Accuracy: 0.5216
Epoch 16/250, Train Loss: 1.1916, Train Accuracy: 0.5167, Val Loss: 1.1701, Val Accuracy: 0.5172
Epoch 17/250, Train Loss: 1.1762, Train Accuracy: 0.5189, Val Loss: 1.1547, Val Accuracy: 0.5259
Epoch 18/250, Train Loss: 1.1616, Train Accuracy: 0.5216, Val Loss: 1.1405, Val Accuracy: 0.5302
Epoch 19/250, Train Loss: 1.1480, Train Accuracy: 0.5210, Val Loss: 1.1276, Val Accuracy: 0.5366
Epoch 20/250, Train Loss: 1.1353, Train Accuracy: 0.5275, Val Loss: 1.1156, Val Accuracy: 0.5453
Epoch 21/250, Train Loss: 1.1239, Train Accuracy: 0.5334, Val Loss: 1.1047, Val Accuracy: 0.5496
Epoch 22/250, Train Loss: 1.1128, Train Accuracy: 0.5356, Val Loss: 1.0940, Val Accuracy: 0.5517
Epoch 23/250, Train Loss: 1.1033, Train Accuracy: 0.5399, Val Loss: 1.0846, Val Accuracy: 0.5582
Epoch 24/250, Train Loss: 1.0936, Train Accuracy: 0.5475, Val Loss: 1.0747, Val Accuracy: 0.5603
Epoch 25/250, Train Loss: 1.0843, Train Accuracy: 0.5539, Val Loss: 1.0662, Val Accuracy: 0.5603
Epoch 26/250, Train Loss: 1.0760, Train Accuracy: 0.5550, Val Loss: 1.0581, Val Accuracy: 0.5603
Epoch 27/250, Train Loss: 1.0682, Train Accuracy: 0.5609, Val Loss: 1.0501, Val Accuracy: 0.5647
Epoch 28/250, Train Loss: 1.0600, Train Accuracy: 0.5636, Val Loss: 1.0432, Val Accuracy: 0.5668
Epoch 29/250, Train Loss: 1.0524, Train Accuracy: 0.5685, Val Loss: 1.0357, Val Accuracy: 0.5668
Epoch 30/250, Train Loss: 1.0455, Train Accuracy: 0.5707, Val Loss: 1.0289, Val Accuracy: 0.5690
Epoch 31/250, Train Loss: 1.0387, Train Accuracy: 0.5701, Val Loss: 1.0224, Val Accuracy: 0.5690
Epoch 32/250, Train Loss: 1.0318, Train Accuracy: 0.5734, Val Loss: 1.0154, Val Accuracy: 0.5733
Epoch 33/250, Train Loss: 1.0253, Train Accuracy: 0.5804, Val Loss: 1.0093, Val Accuracy: 0.5711
