Epoch 1/250, Train Loss: 1.7197, Train Accuracy: 0.2794, Val Loss: 1.6158, Val Accuracy: 0.4095
Epoch 2/250, Train Loss: 1.4994, Train Accuracy: 0.4676, Val Loss: 1.3947, Val Accuracy: 0.5065
Epoch 3/250, Train Loss: 1.3153, Train Accuracy: 0.4989, Val Loss: 1.2345, Val Accuracy: 0.5237
Epoch 4/250, Train Loss: 1.2030, Train Accuracy: 0.5302, Val Loss: 1.1399, Val Accuracy: 0.5345
Epoch 5/250, Train Loss: 1.1352, Train Accuracy: 0.5340, Val Loss: 1.0841, Val Accuracy: 0.5517
Epoch 6/250, Train Loss: 1.0875, Train Accuracy: 0.5663, Val Loss: 1.0434, Val Accuracy: 0.5797
Epoch 7/250, Train Loss: 1.0529, Train Accuracy: 0.5782, Val Loss: 1.0142, Val Accuracy: 0.5797
Epoch 8/250, Train Loss: 1.0230, Train Accuracy: 0.5912, Val Loss: 0.9920, Val Accuracy: 0.5905
Epoch 9/250, Train Loss: 0.9985, Train Accuracy: 0.6036, Val Loss: 0.9701, Val Accuracy: 0.5970
Epoch 10/250, Train Loss: 0.9758, Train Accuracy: 0.6106, Val Loss: 0.9513, Val Accuracy: 0.6078
Epoch 11/250, Train Loss: 0.9577, Train Accuracy: 0.6219, Val Loss: 0.9364, Val Accuracy: 0.6164
Epoch 12/250, Train Loss: 0.9393, Train Accuracy: 0.6273, Val Loss: 0.9202, Val Accuracy: 0.6401
Epoch 13/250, Train Loss: 0.9232, Train Accuracy: 0.6397, Val Loss: 0.9085, Val Accuracy: 0.6358
Epoch 14/250, Train Loss: 0.9064, Train Accuracy: 0.6489, Val Loss: 0.8924, Val Accuracy: 0.6487
Epoch 15/250, Train Loss: 0.8921, Train Accuracy: 0.6597, Val Loss: 0.8813, Val Accuracy: 0.6573
Epoch 16/250, Train Loss: 0.8776, Train Accuracy: 0.6715, Val Loss: 0.8718, Val Accuracy: 0.6530
Epoch 17/250, Train Loss: 0.8649, Train Accuracy: 0.6704, Val Loss: 0.8593, Val Accuracy: 0.6573
