Epoch 1/250, Train Loss: 1.7834, Train Accuracy: 0.1758, Val Loss: 1.7643, Val Accuracy: 0.1853
Epoch 2/250, Train Loss: 1.7415, Train Accuracy: 0.2190, Val Loss: 1.7249, Val Accuracy: 0.2435
Epoch 3/250, Train Loss: 1.7014, Train Accuracy: 0.2778, Val Loss: 1.6865, Val Accuracy: 0.2953
Epoch 4/250, Train Loss: 1.6624, Train Accuracy: 0.3247, Val Loss: 1.6487, Val Accuracy: 0.3448
Epoch 5/250, Train Loss: 1.6241, Train Accuracy: 0.3630, Val Loss: 1.6109, Val Accuracy: 0.3772
Epoch 6/250, Train Loss: 1.5862, Train Accuracy: 0.3792, Val Loss: 1.5735, Val Accuracy: 0.3815
Epoch 7/250, Train Loss: 1.5488, Train Accuracy: 0.4035, Val Loss: 1.5373, Val Accuracy: 0.4181
Epoch 8/250, Train Loss: 1.5128, Train Accuracy: 0.4234, Val Loss: 1.5014, Val Accuracy: 0.4289
Epoch 9/250, Train Loss: 1.4781, Train Accuracy: 0.4358, Val Loss: 1.4669, Val Accuracy: 0.4418
Epoch 10/250, Train Loss: 1.4446, Train Accuracy: 0.4461, Val Loss: 1.4340, Val Accuracy: 0.4547
Epoch 11/250, Train Loss: 1.4134, Train Accuracy: 0.4498, Val Loss: 1.4029, Val Accuracy: 0.4612
Epoch 12/250, Train Loss: 1.3838, Train Accuracy: 0.4542, Val Loss: 1.3734, Val Accuracy: 0.4655
Epoch 13/250, Train Loss: 1.3569, Train Accuracy: 0.4585, Val Loss: 1.3463, Val Accuracy: 0.4677
Epoch 14/250, Train Loss: 1.3315, Train Accuracy: 0.4703, Val Loss: 1.3210, Val Accuracy: 0.4720
Epoch 15/250, Train Loss: 1.3085, Train Accuracy: 0.4773, Val Loss: 1.2981, Val Accuracy: 0.4849
Epoch 16/250, Train Loss: 1.2877, Train Accuracy: 0.4898, Val Loss: 1.2764, Val Accuracy: 0.4935
Epoch 17/250, Train Loss: 1.2680, Train Accuracy: 0.4951, Val Loss: 1.2565, Val Accuracy: 0.4978
Epoch 18/250, Train Loss: 1.2500, Train Accuracy: 0.4951, Val Loss: 1.2383, Val Accuracy: 0.5065
Epoch 19/250, Train Loss: 1.2336, Train Accuracy: 0.5022, Val Loss: 1.2210, Val Accuracy: 0.5108
Epoch 20/250, Train Loss: 1.2182, Train Accuracy: 0.5043, Val Loss: 1.2054, Val Accuracy: 0.5172
Epoch 21/250, Train Loss: 1.2038, Train Accuracy: 0.5140, Val Loss: 1.1909, Val Accuracy: 0.5194
Epoch 22/250, Train Loss: 1.1911, Train Accuracy: 0.5129, Val Loss: 1.1779, Val Accuracy: 0.5194
Epoch 23/250, Train Loss: 1.1791, Train Accuracy: 0.5135, Val Loss: 1.1653, Val Accuracy: 0.5237
Epoch 24/250, Train Loss: 1.1679, Train Accuracy: 0.5183, Val Loss: 1.1539, Val Accuracy: 0.5259
Epoch 25/250, Train Loss: 1.1576, Train Accuracy: 0.5221, Val Loss: 1.1432, Val Accuracy: 0.5280
Epoch 26/250, Train Loss: 1.1478, Train Accuracy: 0.5200, Val Loss: 1.1331, Val Accuracy: 0.5366
Epoch 27/250, Train Loss: 1.1385, Train Accuracy: 0.5254, Val Loss: 1.1240, Val Accuracy: 0.5366
Epoch 28/250, Train Loss: 1.1301, Train Accuracy: 0.5297, Val Loss: 1.1152, Val Accuracy: 0.5388
Epoch 29/250, Train Loss: 1.1219, Train Accuracy: 0.5340, Val Loss: 1.1070, Val Accuracy: 0.5453
Epoch 30/250, Train Loss: 1.1141, Train Accuracy: 0.5383, Val Loss: 1.0993, Val Accuracy: 0.5431
Epoch 31/250, Train Loss: 1.1069, Train Accuracy: 0.5410, Val Loss: 1.0922, Val Accuracy: 0.5474
Epoch 32/250, Train Loss: 1.0998, Train Accuracy: 0.5421, Val Loss: 1.0855, Val Accuracy: 0.5539
Epoch 33/250, Train Loss: 1.0929, Train Accuracy: 0.5442, Val Loss: 1.0787, Val Accuracy: 0.5539
Epoch 34/250, Train Loss: 1.0867, Train Accuracy: 0.5480, Val Loss: 1.0724, Val Accuracy: 0.5560
Epoch 35/250, Train Loss: 1.0806, Train Accuracy: 0.5502, Val Loss: 1.0662, Val Accuracy: 0.5603
Epoch 36/250, Train Loss: 1.0748, Train Accuracy: 0.5561, Val Loss: 1.0602, Val Accuracy: 0.5668
Epoch 37/250, Train Loss: 1.0691, Train Accuracy: 0.5599, Val Loss: 1.0546, Val Accuracy: 0.5668
Epoch 38/250, Train Loss: 1.0633, Train Accuracy: 0.5620, Val Loss: 1.0495, Val Accuracy: 0.5647
Epoch 39/250, Train Loss: 1.0582, Train Accuracy: 0.5658, Val Loss: 1.0442, Val Accuracy: 0.5668
Epoch 40/250, Train Loss: 1.0530, Train Accuracy: 0.5712, Val Loss: 1.0392, Val Accuracy: 0.5754
Epoch 41/250, Train Loss: 1.0481, Train Accuracy: 0.5744, Val Loss: 1.0345, Val Accuracy: 0.5776
Epoch 42/250, Train Loss: 1.0429, Train Accuracy: 0.5809, Val Loss: 1.0299, Val Accuracy: 0.5797
Epoch 43/250, Train Loss: 1.0382, Train Accuracy: 0.5852, Val Loss: 1.0251, Val Accuracy: 0.5884
Epoch 44/250, Train Loss: 1.0335, Train Accuracy: 0.5874, Val Loss: 1.0208, Val Accuracy: 0.5927
Epoch 45/250, Train Loss: 1.0290, Train Accuracy: 0.5912, Val Loss: 1.0166, Val Accuracy: 0.5905
Epoch 46/250, Train Loss: 1.0252, Train Accuracy: 0.5922, Val Loss: 1.0125, Val Accuracy: 0.5970
Epoch 47/250, Train Loss: 1.0205, Train Accuracy: 0.5939, Val Loss: 1.0085, Val Accuracy: 0.5991
Epoch 48/250, Train Loss: 1.0162, Train Accuracy: 0.5960, Val Loss: 1.0048, Val Accuracy: 0.6034
Epoch 49/250, Train Loss: 1.0124, Train Accuracy: 0.5982, Val Loss: 1.0004, Val Accuracy: 0.6013
Epoch 50/250, Train Loss: 1.0080, Train Accuracy: 0.5976, Val Loss: 0.9966, Val Accuracy: 0.6034
Epoch 51/250, Train Loss: 1.0044, Train Accuracy: 0.6014, Val Loss: 0.9931, Val Accuracy: 0.6034
Epoch 52/250, Train Loss: 1.0008, Train Accuracy: 0.6019, Val Loss: 0.9895, Val Accuracy: 0.6078
Epoch 53/250, Train Loss: 0.9966, Train Accuracy: 0.6046, Val Loss: 0.9859, Val Accuracy: 0.6056
Epoch 54/250, Train Loss: 0.9928, Train Accuracy: 0.6095, Val Loss: 0.9827, Val Accuracy: 0.6056
Epoch 55/250, Train Loss: 0.9889, Train Accuracy: 0.6073, Val Loss: 0.9791, Val Accuracy: 0.6078
Epoch 56/250, Train Loss: 0.9856, Train Accuracy: 0.6068, Val Loss: 0.9759, Val Accuracy: 0.6099
Epoch 57/250, Train Loss: 0.9818, Train Accuracy: 0.6106, Val Loss: 0.9727, Val Accuracy: 0.6121
Epoch 58/250, Train Loss: 0.9784, Train Accuracy: 0.6100, Val Loss: 0.9693, Val Accuracy: 0.6099
Epoch 59/250, Train Loss: 0.9746, Train Accuracy: 0.6133, Val Loss: 0.9662, Val Accuracy: 0.6099
Epoch 60/250, Train Loss: 0.9710, Train Accuracy: 0.6133, Val Loss: 0.9630, Val Accuracy: 0.6142
Epoch 61/250, Train Loss: 0.9679, Train Accuracy: 0.6133, Val Loss: 0.9599, Val Accuracy: 0.6142
Epoch 62/250, Train Loss: 0.9645, Train Accuracy: 0.6143, Val Loss: 0.9571, Val Accuracy: 0.6121
Epoch 63/250, Train Loss: 0.9612, Train Accuracy: 0.6181, Val Loss: 0.9540, Val Accuracy: 0.6142
Epoch 64/250, Train Loss: 0.9580, Train Accuracy: 0.6192, Val Loss: 0.9512, Val Accuracy: 0.6185
Epoch 65/250, Train Loss: 0.9550, Train Accuracy: 0.6214, Val Loss: 0.9483, Val Accuracy: 0.6185
Epoch 66/250, Train Loss: 0.9517, Train Accuracy: 0.6203, Val Loss: 0.9458, Val Accuracy: 0.6228
Epoch 67/250, Train Loss: 0.9486, Train Accuracy: 0.6235, Val Loss: 0.9428, Val Accuracy: 0.6228
Epoch 68/250, Train Loss: 0.9452, Train Accuracy: 0.6251, Val Loss: 0.9401, Val Accuracy: 0.6250
Epoch 69/250, Train Loss: 0.9426, Train Accuracy: 0.6262, Val Loss: 0.9371, Val Accuracy: 0.6272
