Epoch 1/250, Train Loss: 1.8197, Train Accuracy: 0.1219, Val Loss: 1.8196, Val Accuracy: 0.1379
Epoch 2/250, Train Loss: 1.8157, Train Accuracy: 0.1278, Val Loss: 1.8153, Val Accuracy: 0.1401
Epoch 3/250, Train Loss: 1.8118, Train Accuracy: 0.1300, Val Loss: 1.8111, Val Accuracy: 0.1487
Epoch 4/250, Train Loss: 1.8079, Train Accuracy: 0.1348, Val Loss: 1.8068, Val Accuracy: 0.1487
Epoch 5/250, Train Loss: 1.8040, Train Accuracy: 0.1402, Val Loss: 1.8026, Val Accuracy: 0.1466
Epoch 6/250, Train Loss: 1.8001, Train Accuracy: 0.1483, Val Loss: 1.7984, Val Accuracy: 0.1487
Epoch 7/250, Train Loss: 1.7963, Train Accuracy: 0.1575, Val Loss: 1.7944, Val Accuracy: 0.1552
Epoch 8/250, Train Loss: 1.7926, Train Accuracy: 0.1629, Val Loss: 1.7903, Val Accuracy: 0.1681
Epoch 9/250, Train Loss: 1.7887, Train Accuracy: 0.1704, Val Loss: 1.7862, Val Accuracy: 0.1767
Epoch 10/250, Train Loss: 1.7849, Train Accuracy: 0.1780, Val Loss: 1.7821, Val Accuracy: 0.1853
Epoch 11/250, Train Loss: 1.7813, Train Accuracy: 0.1882, Val Loss: 1.7781, Val Accuracy: 0.1940
Epoch 12/250, Train Loss: 1.7775, Train Accuracy: 0.1953, Val Loss: 1.7741, Val Accuracy: 0.1961
Epoch 13/250, Train Loss: 1.7738, Train Accuracy: 0.2023, Val Loss: 1.7701, Val Accuracy: 0.2047
Epoch 14/250, Train Loss: 1.7702, Train Accuracy: 0.2109, Val Loss: 1.7661, Val Accuracy: 0.2155
Epoch 15/250, Train Loss: 1.7665, Train Accuracy: 0.2190, Val Loss: 1.7622, Val Accuracy: 0.2263
Epoch 16/250, Train Loss: 1.7628, Train Accuracy: 0.2341, Val Loss: 1.7584, Val Accuracy: 0.2478
Epoch 17/250, Train Loss: 1.7593, Train Accuracy: 0.2487, Val Loss: 1.7544, Val Accuracy: 0.2629
Epoch 18/250, Train Loss: 1.7556, Train Accuracy: 0.2621, Val Loss: 1.7505, Val Accuracy: 0.2759
Epoch 19/250, Train Loss: 1.7520, Train Accuracy: 0.2740, Val Loss: 1.7467, Val Accuracy: 0.2953
Epoch 20/250, Train Loss: 1.7485, Train Accuracy: 0.2821, Val Loss: 1.7428, Val Accuracy: 0.3039
Epoch 21/250, Train Loss: 1.7449, Train Accuracy: 0.2934, Val Loss: 1.7390, Val Accuracy: 0.3147
Epoch 22/250, Train Loss: 1.7414, Train Accuracy: 0.2988, Val Loss: 1.7352, Val Accuracy: 0.3190
Epoch 23/250, Train Loss: 1.7379, Train Accuracy: 0.3107, Val Loss: 1.7314, Val Accuracy: 0.3254
Epoch 24/250, Train Loss: 1.7344, Train Accuracy: 0.3204, Val Loss: 1.7277, Val Accuracy: 0.3362
Epoch 25/250, Train Loss: 1.7309, Train Accuracy: 0.3344, Val Loss: 1.7239, Val Accuracy: 0.3642
Epoch 26/250, Train Loss: 1.7275, Train Accuracy: 0.3463, Val Loss: 1.7202, Val Accuracy: 0.3728
Epoch 27/250, Train Loss: 1.7240, Train Accuracy: 0.3565, Val Loss: 1.7165, Val Accuracy: 0.3793
