Epoch 1/250, Train Loss: 1.8097, Train Accuracy: 0.1909, Val Loss: 1.7800, Val Accuracy: 0.1940
Epoch 2/250, Train Loss: 1.7611, Train Accuracy: 0.2120, Val Loss: 1.7326, Val Accuracy: 0.2263
Epoch 3/250, Train Loss: 1.7154, Train Accuracy: 0.2395, Val Loss: 1.6869, Val Accuracy: 0.3125
Epoch 4/250, Train Loss: 1.6714, Train Accuracy: 0.3484, Val Loss: 1.6428, Val Accuracy: 0.3513
Epoch 5/250, Train Loss: 1.6283, Train Accuracy: 0.3673, Val Loss: 1.5993, Val Accuracy: 0.3642
Epoch 6/250, Train Loss: 1.5863, Train Accuracy: 0.3959, Val Loss: 1.5568, Val Accuracy: 0.3944
Epoch 7/250, Train Loss: 1.5455, Train Accuracy: 0.4115, Val Loss: 1.5158, Val Accuracy: 0.4073
Epoch 8/250, Train Loss: 1.5073, Train Accuracy: 0.4261, Val Loss: 1.4767, Val Accuracy: 0.4310
Epoch 9/250, Train Loss: 1.4710, Train Accuracy: 0.4310, Val Loss: 1.4404, Val Accuracy: 0.4483
Epoch 10/250, Train Loss: 1.4369, Train Accuracy: 0.4450, Val Loss: 1.4072, Val Accuracy: 0.4634
Epoch 11/250, Train Loss: 1.4062, Train Accuracy: 0.4563, Val Loss: 1.3757, Val Accuracy: 0.4871
Epoch 12/250, Train Loss: 1.3782, Train Accuracy: 0.4579, Val Loss: 1.3475, Val Accuracy: 0.4935
Epoch 13/250, Train Loss: 1.3526, Train Accuracy: 0.4617, Val Loss: 1.3222, Val Accuracy: 0.4914
Epoch 14/250, Train Loss: 1.3297, Train Accuracy: 0.4639, Val Loss: 1.2993, Val Accuracy: 0.4914
Epoch 15/250, Train Loss: 1.3090, Train Accuracy: 0.4800, Val Loss: 1.2785, Val Accuracy: 0.4978
Epoch 16/250, Train Loss: 1.2902, Train Accuracy: 0.4838, Val Loss: 1.2597, Val Accuracy: 0.5065
Epoch 17/250, Train Loss: 1.2730, Train Accuracy: 0.4946, Val Loss: 1.2427, Val Accuracy: 0.5108
Epoch 18/250, Train Loss: 1.2576, Train Accuracy: 0.5011, Val Loss: 1.2275, Val Accuracy: 0.5151
Epoch 19/250, Train Loss: 1.2434, Train Accuracy: 0.4984, Val Loss: 1.2133, Val Accuracy: 0.5259
Epoch 20/250, Train Loss: 1.2297, Train Accuracy: 0.5043, Val Loss: 1.2000, Val Accuracy: 0.5323
Epoch 21/250, Train Loss: 1.2172, Train Accuracy: 0.5032, Val Loss: 1.1877, Val Accuracy: 0.5323
Epoch 22/250, Train Loss: 1.2057, Train Accuracy: 0.5102, Val Loss: 1.1759, Val Accuracy: 0.5323
Epoch 23/250, Train Loss: 1.1945, Train Accuracy: 0.5102, Val Loss: 1.1649, Val Accuracy: 0.5366
Epoch 24/250, Train Loss: 1.1842, Train Accuracy: 0.5129, Val Loss: 1.1547, Val Accuracy: 0.5388
Epoch 25/250, Train Loss: 1.1740, Train Accuracy: 0.5173, Val Loss: 1.1449, Val Accuracy: 0.5409
Epoch 26/250, Train Loss: 1.1647, Train Accuracy: 0.5194, Val Loss: 1.1355, Val Accuracy: 0.5366
Epoch 27/250, Train Loss: 1.1555, Train Accuracy: 0.5237, Val Loss: 1.1264, Val Accuracy: 0.5431
Epoch 28/250, Train Loss: 1.1469, Train Accuracy: 0.5259, Val Loss: 1.1179, Val Accuracy: 0.5517
Epoch 29/250, Train Loss: 1.1382, Train Accuracy: 0.5297, Val Loss: 1.1096, Val Accuracy: 0.5582
Epoch 30/250, Train Loss: 1.1303, Train Accuracy: 0.5340, Val Loss: 1.1014, Val Accuracy: 0.5603
Epoch 31/250, Train Loss: 1.1225, Train Accuracy: 0.5351, Val Loss: 1.0937, Val Accuracy: 0.5560
Epoch 32/250, Train Loss: 1.1148, Train Accuracy: 0.5394, Val Loss: 1.0863, Val Accuracy: 0.5625
Epoch 33/250, Train Loss: 1.1079, Train Accuracy: 0.5388, Val Loss: 1.0793, Val Accuracy: 0.5582
Epoch 34/250, Train Loss: 1.1005, Train Accuracy: 0.5448, Val Loss: 1.0726, Val Accuracy: 0.5582
Epoch 35/250, Train Loss: 1.0938, Train Accuracy: 0.5453, Val Loss: 1.0657, Val Accuracy: 0.5582
Epoch 36/250, Train Loss: 1.0872, Train Accuracy: 0.5491, Val Loss: 1.0599, Val Accuracy: 0.5625
Epoch 37/250, Train Loss: 1.0807, Train Accuracy: 0.5539, Val Loss: 1.0536, Val Accuracy: 0.5560
Epoch 38/250, Train Loss: 1.0746, Train Accuracy: 0.5545, Val Loss: 1.0478, Val Accuracy: 0.5603
Epoch 39/250, Train Loss: 1.0684, Train Accuracy: 0.5561, Val Loss: 1.0420, Val Accuracy: 0.5625
Epoch 40/250, Train Loss: 1.0625, Train Accuracy: 0.5599, Val Loss: 1.0365, Val Accuracy: 0.5690
Epoch 41/250, Train Loss: 1.0571, Train Accuracy: 0.5658, Val Loss: 1.0309, Val Accuracy: 0.5690
Epoch 42/250, Train Loss: 1.0514, Train Accuracy: 0.5674, Val Loss: 1.0260, Val Accuracy: 0.5776
Epoch 43/250, Train Loss: 1.0460, Train Accuracy: 0.5734, Val Loss: 1.0210, Val Accuracy: 0.5733
Epoch 44/250, Train Loss: 1.0413, Train Accuracy: 0.5798, Val Loss: 1.0159, Val Accuracy: 0.5797
Epoch 45/250, Train Loss: 1.0362, Train Accuracy: 0.5787, Val Loss: 1.0113, Val Accuracy: 0.5819
Epoch 46/250, Train Loss: 1.0311, Train Accuracy: 0.5831, Val Loss: 1.0068, Val Accuracy: 0.5841
Epoch 47/250, Train Loss: 1.0264, Train Accuracy: 0.5858, Val Loss: 1.0022, Val Accuracy: 0.5862
Epoch 48/250, Train Loss: 1.0213, Train Accuracy: 0.5922, Val Loss: 0.9979, Val Accuracy: 0.5884
