Epoch 1/250, Train Loss: 1.7707, Train Accuracy: 0.2627, Val Loss: 1.7751, Val Accuracy: 0.2845
Epoch 2/250, Train Loss: 1.7668, Train Accuracy: 0.2789, Val Loss: 1.7709, Val Accuracy: 0.2931
Epoch 3/250, Train Loss: 1.7627, Train Accuracy: 0.2843, Val Loss: 1.7667, Val Accuracy: 0.2953
Epoch 4/250, Train Loss: 1.7589, Train Accuracy: 0.2848, Val Loss: 1.7625, Val Accuracy: 0.3039
Epoch 5/250, Train Loss: 1.7550, Train Accuracy: 0.2896, Val Loss: 1.7584, Val Accuracy: 0.3125
Epoch 6/250, Train Loss: 1.7510, Train Accuracy: 0.2934, Val Loss: 1.7543, Val Accuracy: 0.3125
Epoch 7/250, Train Loss: 1.7472, Train Accuracy: 0.2977, Val Loss: 1.7503, Val Accuracy: 0.3147
Epoch 8/250, Train Loss: 1.7433, Train Accuracy: 0.2999, Val Loss: 1.7462, Val Accuracy: 0.3147
Epoch 9/250, Train Loss: 1.7396, Train Accuracy: 0.3042, Val Loss: 1.7422, Val Accuracy: 0.3168
Epoch 10/250, Train Loss: 1.7357, Train Accuracy: 0.3053, Val Loss: 1.7382, Val Accuracy: 0.3168
Epoch 11/250, Train Loss: 1.7322, Train Accuracy: 0.3080, Val Loss: 1.7342, Val Accuracy: 0.3168
Epoch 12/250, Train Loss: 1.7283, Train Accuracy: 0.3118, Val Loss: 1.7302, Val Accuracy: 0.3211
Epoch 13/250, Train Loss: 1.7246, Train Accuracy: 0.3161, Val Loss: 1.7263, Val Accuracy: 0.3211
Epoch 14/250, Train Loss: 1.7210, Train Accuracy: 0.3188, Val Loss: 1.7224, Val Accuracy: 0.3233
Epoch 15/250, Train Loss: 1.7172, Train Accuracy: 0.3220, Val Loss: 1.7185, Val Accuracy: 0.3254
Epoch 16/250, Train Loss: 1.7135, Train Accuracy: 0.3258, Val Loss: 1.7147, Val Accuracy: 0.3254
Epoch 17/250, Train Loss: 1.7098, Train Accuracy: 0.3296, Val Loss: 1.7108, Val Accuracy: 0.3297
Epoch 18/250, Train Loss: 1.7063, Train Accuracy: 0.3328, Val Loss: 1.7070, Val Accuracy: 0.3341
