Epoch 1/250, Train Loss: 1.7848, Train Accuracy: 0.2179, Val Loss: 1.7647, Val Accuracy: 0.3448
Epoch 2/250, Train Loss: 1.7293, Train Accuracy: 0.3344, Val Loss: 1.6780, Val Accuracy: 0.3728
Epoch 3/250, Train Loss: 1.5998, Train Accuracy: 0.4045, Val Loss: 1.5080, Val Accuracy: 0.3901
Epoch 4/250, Train Loss: 1.4249, Train Accuracy: 0.3916, Val Loss: 1.3473, Val Accuracy: 0.4073
Epoch 5/250, Train Loss: 1.2988, Train Accuracy: 0.4347, Val Loss: 1.2455, Val Accuracy: 0.4375
Epoch 6/250, Train Loss: 1.2134, Train Accuracy: 0.4860, Val Loss: 1.1710, Val Accuracy: 0.4978
Epoch 7/250, Train Loss: 1.1522, Train Accuracy: 0.5210, Val Loss: 1.1113, Val Accuracy: 0.5453
Epoch 8/250, Train Loss: 1.1072, Train Accuracy: 0.5405, Val Loss: 1.0725, Val Accuracy: 0.5560
Epoch 9/250, Train Loss: 1.0706, Train Accuracy: 0.5415, Val Loss: 1.0385, Val Accuracy: 0.5819
Epoch 10/250, Train Loss: 1.0420, Train Accuracy: 0.5593, Val Loss: 1.0107, Val Accuracy: 0.5776
Epoch 11/250, Train Loss: 1.0181, Train Accuracy: 0.5750, Val Loss: 0.9872, Val Accuracy: 0.5819
Epoch 12/250, Train Loss: 0.9963, Train Accuracy: 0.5831, Val Loss: 0.9697, Val Accuracy: 0.5948
Epoch 13/250, Train Loss: 0.9766, Train Accuracy: 0.5890, Val Loss: 0.9498, Val Accuracy: 0.6013
Epoch 14/250, Train Loss: 0.9593, Train Accuracy: 0.6019, Val Loss: 0.9368, Val Accuracy: 0.6099
Epoch 15/250, Train Loss: 0.9432, Train Accuracy: 0.6122, Val Loss: 0.9215, Val Accuracy: 0.6185
Epoch 16/250, Train Loss: 0.9285, Train Accuracy: 0.6127, Val Loss: 0.9109, Val Accuracy: 0.6250
Epoch 17/250, Train Loss: 0.9159, Train Accuracy: 0.6235, Val Loss: 0.8980, Val Accuracy: 0.6228
Epoch 18/250, Train Loss: 0.9005, Train Accuracy: 0.6246, Val Loss: 0.8849, Val Accuracy: 0.6401
Epoch 19/250, Train Loss: 0.8880, Train Accuracy: 0.6429, Val Loss: 0.8756, Val Accuracy: 0.6315
Epoch 20/250, Train Loss: 0.8742, Train Accuracy: 0.6451, Val Loss: 0.8679, Val Accuracy: 0.6401
Epoch 21/250, Train Loss: 0.8641, Train Accuracy: 0.6521, Val Loss: 0.8566, Val Accuracy: 0.6444
Epoch 22/250, Train Loss: 0.8525, Train Accuracy: 0.6553, Val Loss: 0.8467, Val Accuracy: 0.6573
Epoch 23/250, Train Loss: 0.8412, Train Accuracy: 0.6634, Val Loss: 0.8373, Val Accuracy: 0.6552
Epoch 24/250, Train Loss: 0.8313, Train Accuracy: 0.6694, Val Loss: 0.8307, Val Accuracy: 0.6573
Epoch 25/250, Train Loss: 0.8215, Train Accuracy: 0.6753, Val Loss: 0.8206, Val Accuracy: 0.6638
Epoch 26/250, Train Loss: 0.8122, Train Accuracy: 0.6780, Val Loss: 0.8157, Val Accuracy: 0.6724
Epoch 27/250, Train Loss: 0.8031, Train Accuracy: 0.6828, Val Loss: 0.8101, Val Accuracy: 0.6681
Epoch 28/250, Train Loss: 0.7948, Train Accuracy: 0.6915, Val Loss: 0.8010, Val Accuracy: 0.6832
Epoch 29/250, Train Loss: 0.7862, Train Accuracy: 0.6861, Val Loss: 0.7972, Val Accuracy: 0.6853
Epoch 30/250, Train Loss: 0.7800, Train Accuracy: 0.6953, Val Loss: 0.7881, Val Accuracy: 0.6832
Epoch 31/250, Train Loss: 0.7716, Train Accuracy: 0.6909, Val Loss: 0.7833, Val Accuracy: 0.6832
Epoch 32/250, Train Loss: 0.7638, Train Accuracy: 0.6990, Val Loss: 0.7797, Val Accuracy: 0.6832
Epoch 33/250, Train Loss: 0.7568, Train Accuracy: 0.6985, Val Loss: 0.7722, Val Accuracy: 0.6853
Epoch 34/250, Train Loss: 0.7496, Train Accuracy: 0.7006, Val Loss: 0.7662, Val Accuracy: 0.6853
Epoch 35/250, Train Loss: 0.7433, Train Accuracy: 0.7120, Val Loss: 0.7604, Val Accuracy: 0.6832
Epoch 36/250, Train Loss: 0.7375, Train Accuracy: 0.7114, Val Loss: 0.7566, Val Accuracy: 0.6875
Epoch 37/250, Train Loss: 0.7304, Train Accuracy: 0.7109, Val Loss: 0.7509, Val Accuracy: 0.6897
Epoch 38/250, Train Loss: 0.7248, Train Accuracy: 0.7136, Val Loss: 0.7485, Val Accuracy: 0.6940
Epoch 39/250, Train Loss: 0.7188, Train Accuracy: 0.7157, Val Loss: 0.7392, Val Accuracy: 0.6983
Epoch 40/250, Train Loss: 0.7120, Train Accuracy: 0.7217, Val Loss: 0.7387, Val Accuracy: 0.7069
Epoch 41/250, Train Loss: 0.7080, Train Accuracy: 0.7174, Val Loss: 0.7319, Val Accuracy: 0.7047
Epoch 42/250, Train Loss: 0.7020, Train Accuracy: 0.7217, Val Loss: 0.7256, Val Accuracy: 0.7155
Epoch 43/250, Train Loss: 0.6961, Train Accuracy: 0.7222, Val Loss: 0.7246, Val Accuracy: 0.7069
Epoch 44/250, Train Loss: 0.6927, Train Accuracy: 0.7217, Val Loss: 0.7189, Val Accuracy: 0.7198
Epoch 45/250, Train Loss: 0.6861, Train Accuracy: 0.7335, Val Loss: 0.7131, Val Accuracy: 0.7155
Epoch 46/250, Train Loss: 0.6805, Train Accuracy: 0.7309, Val Loss: 0.7090, Val Accuracy: 0.7155
Epoch 47/250, Train Loss: 0.6739, Train Accuracy: 0.7292, Val Loss: 0.7035, Val Accuracy: 0.7220
Epoch 48/250, Train Loss: 0.6704, Train Accuracy: 0.7433, Val Loss: 0.7009, Val Accuracy: 0.7198
Epoch 49/250, Train Loss: 0.6652, Train Accuracy: 0.7406, Val Loss: 0.6998, Val Accuracy: 0.7177
Epoch 50/250, Train Loss: 0.6609, Train Accuracy: 0.7406, Val Loss: 0.6906, Val Accuracy: 0.7263
Epoch 51/250, Train Loss: 0.6575, Train Accuracy: 0.7433, Val Loss: 0.6848, Val Accuracy: 0.7349
Epoch 52/250, Train Loss: 0.6508, Train Accuracy: 0.7449, Val Loss: 0.6808, Val Accuracy: 0.7328
Epoch 53/250, Train Loss: 0.6483, Train Accuracy: 0.7470, Val Loss: 0.6770, Val Accuracy: 0.7349
Epoch 54/250, Train Loss: 0.6419, Train Accuracy: 0.7508, Val Loss: 0.6740, Val Accuracy: 0.7392
Epoch 55/250, Train Loss: 0.6378, Train Accuracy: 0.7508, Val Loss: 0.6734, Val Accuracy: 0.7328
Epoch 56/250, Train Loss: 0.6336, Train Accuracy: 0.7481, Val Loss: 0.6645, Val Accuracy: 0.7414
Epoch 57/250, Train Loss: 0.6290, Train Accuracy: 0.7557, Val Loss: 0.6635, Val Accuracy: 0.7392
Epoch 58/250, Train Loss: 0.6255, Train Accuracy: 0.7497, Val Loss: 0.6576, Val Accuracy: 0.7435
Epoch 59/250, Train Loss: 0.6210, Train Accuracy: 0.7519, Val Loss: 0.6544, Val Accuracy: 0.7435
Epoch 60/250, Train Loss: 0.6175, Train Accuracy: 0.7594, Val Loss: 0.6507, Val Accuracy: 0.7392
Epoch 61/250, Train Loss: 0.6123, Train Accuracy: 0.7616, Val Loss: 0.6469, Val Accuracy: 0.7500
Epoch 62/250, Train Loss: 0.6101, Train Accuracy: 0.7546, Val Loss: 0.6420, Val Accuracy: 0.7457
Epoch 63/250, Train Loss: 0.6044, Train Accuracy: 0.7627, Val Loss: 0.6368, Val Accuracy: 0.7522
Epoch 64/250, Train Loss: 0.6001, Train Accuracy: 0.7686, Val Loss: 0.6363, Val Accuracy: 0.7478
Epoch 65/250, Train Loss: 0.5985, Train Accuracy: 0.7621, Val Loss: 0.6313, Val Accuracy: 0.7565
