Epoch 1/250, Train Loss: 1.7952, Train Accuracy: 0.1138, Val Loss: 1.7964, Val Accuracy: 0.1401
Epoch 2/250, Train Loss: 1.7909, Train Accuracy: 0.1618, Val Loss: 1.7919, Val Accuracy: 0.1832
Epoch 3/250, Train Loss: 1.7864, Train Accuracy: 0.2152, Val Loss: 1.7868, Val Accuracy: 0.2306
Epoch 4/250, Train Loss: 1.7811, Train Accuracy: 0.2621, Val Loss: 1.7808, Val Accuracy: 0.2974
Epoch 5/250, Train Loss: 1.7747, Train Accuracy: 0.3306, Val Loss: 1.7736, Val Accuracy: 0.3211
Epoch 6/250, Train Loss: 1.7666, Train Accuracy: 0.3409, Val Loss: 1.7643, Val Accuracy: 0.3276
Epoch 7/250, Train Loss: 1.7562, Train Accuracy: 0.3376, Val Loss: 1.7524, Val Accuracy: 0.3341
Epoch 8/250, Train Loss: 1.7426, Train Accuracy: 0.3371, Val Loss: 1.7375, Val Accuracy: 0.3297
Epoch 9/250, Train Loss: 1.7261, Train Accuracy: 0.3355, Val Loss: 1.7194, Val Accuracy: 0.3233
Epoch 10/250, Train Loss: 1.7058, Train Accuracy: 0.3366, Val Loss: 1.6975, Val Accuracy: 0.3211
Epoch 11/250, Train Loss: 1.6813, Train Accuracy: 0.3403, Val Loss: 1.6717, Val Accuracy: 0.3233
Epoch 12/250, Train Loss: 1.6530, Train Accuracy: 0.3436, Val Loss: 1.6420, Val Accuracy: 0.3233
Epoch 13/250, Train Loss: 1.6208, Train Accuracy: 0.3463, Val Loss: 1.6078, Val Accuracy: 0.3190
Epoch 14/250, Train Loss: 1.5848, Train Accuracy: 0.3501, Val Loss: 1.5710, Val Accuracy: 0.3276
Epoch 15/250, Train Loss: 1.5471, Train Accuracy: 0.3630, Val Loss: 1.5329, Val Accuracy: 0.3341
Epoch 16/250, Train Loss: 1.5093, Train Accuracy: 0.3743, Val Loss: 1.4957, Val Accuracy: 0.3621
Epoch 17/250, Train Loss: 1.4733, Train Accuracy: 0.4164, Val Loss: 1.4612, Val Accuracy: 0.4224
Epoch 18/250, Train Loss: 1.4414, Train Accuracy: 0.4574, Val Loss: 1.4293, Val Accuracy: 0.4612
Epoch 19/250, Train Loss: 1.4127, Train Accuracy: 0.4536, Val Loss: 1.4012, Val Accuracy: 0.4591
Epoch 20/250, Train Loss: 1.3882, Train Accuracy: 0.4466, Val Loss: 1.3763, Val Accuracy: 0.4440
Epoch 21/250, Train Loss: 1.3669, Train Accuracy: 0.4498, Val Loss: 1.3550, Val Accuracy: 0.4418
Epoch 22/250, Train Loss: 1.3484, Train Accuracy: 0.4461, Val Loss: 1.3348, Val Accuracy: 0.4353
Epoch 23/250, Train Loss: 1.3317, Train Accuracy: 0.4471, Val Loss: 1.3175, Val Accuracy: 0.4526
Epoch 24/250, Train Loss: 1.3169, Train Accuracy: 0.4520, Val Loss: 1.3017, Val Accuracy: 0.4461
Epoch 25/250, Train Loss: 1.3035, Train Accuracy: 0.4531, Val Loss: 1.2871, Val Accuracy: 0.4569
Epoch 26/250, Train Loss: 1.2911, Train Accuracy: 0.4595, Val Loss: 1.2735, Val Accuracy: 0.4655
Epoch 27/250, Train Loss: 1.2793, Train Accuracy: 0.4676, Val Loss: 1.2603, Val Accuracy: 0.4677
Epoch 28/250, Train Loss: 1.2686, Train Accuracy: 0.4763, Val Loss: 1.2482, Val Accuracy: 0.4784
Epoch 29/250, Train Loss: 1.2579, Train Accuracy: 0.4790, Val Loss: 1.2358, Val Accuracy: 0.4828
Epoch 30/250, Train Loss: 1.2472, Train Accuracy: 0.4871, Val Loss: 1.2249, Val Accuracy: 0.4914
Epoch 31/250, Train Loss: 1.2378, Train Accuracy: 0.4973, Val Loss: 1.2138, Val Accuracy: 0.4957
Epoch 32/250, Train Loss: 1.2277, Train Accuracy: 0.5081, Val Loss: 1.2029, Val Accuracy: 0.5129
Epoch 33/250, Train Loss: 1.2186, Train Accuracy: 0.5092, Val Loss: 1.1923, Val Accuracy: 0.5108
Epoch 34/250, Train Loss: 1.2096, Train Accuracy: 0.5092, Val Loss: 1.1820, Val Accuracy: 0.5259
Epoch 35/250, Train Loss: 1.2002, Train Accuracy: 0.5135, Val Loss: 1.1727, Val Accuracy: 0.5366
Epoch 36/250, Train Loss: 1.1915, Train Accuracy: 0.5140, Val Loss: 1.1628, Val Accuracy: 0.5474
Epoch 37/250, Train Loss: 1.1830, Train Accuracy: 0.5173, Val Loss: 1.1533, Val Accuracy: 0.5453
Epoch 38/250, Train Loss: 1.1745, Train Accuracy: 0.5183, Val Loss: 1.1442, Val Accuracy: 0.5474
Epoch 39/250, Train Loss: 1.1662, Train Accuracy: 0.5221, Val Loss: 1.1351, Val Accuracy: 0.5474
Epoch 40/250, Train Loss: 1.1582, Train Accuracy: 0.5254, Val Loss: 1.1262, Val Accuracy: 0.5496
Epoch 41/250, Train Loss: 1.1500, Train Accuracy: 0.5291, Val Loss: 1.1174, Val Accuracy: 0.5560
Epoch 42/250, Train Loss: 1.1423, Train Accuracy: 0.5264, Val Loss: 1.1083, Val Accuracy: 0.5517
Epoch 43/250, Train Loss: 1.1342, Train Accuracy: 0.5334, Val Loss: 1.0992, Val Accuracy: 0.5539
Epoch 44/250, Train Loss: 1.1269, Train Accuracy: 0.5356, Val Loss: 1.0905, Val Accuracy: 0.5625
Epoch 45/250, Train Loss: 1.1191, Train Accuracy: 0.5399, Val Loss: 1.0832, Val Accuracy: 0.5539
Epoch 46/250, Train Loss: 1.1118, Train Accuracy: 0.5421, Val Loss: 1.0756, Val Accuracy: 0.5582
Epoch 47/250, Train Loss: 1.1045, Train Accuracy: 0.5410, Val Loss: 1.0669, Val Accuracy: 0.5603
Epoch 48/250, Train Loss: 1.0977, Train Accuracy: 0.5426, Val Loss: 1.0586, Val Accuracy: 0.5668
Epoch 49/250, Train Loss: 1.0907, Train Accuracy: 0.5448, Val Loss: 1.0518, Val Accuracy: 0.5647
Epoch 50/250, Train Loss: 1.0837, Train Accuracy: 0.5431, Val Loss: 1.0450, Val Accuracy: 0.5647
Epoch 51/250, Train Loss: 1.0774, Train Accuracy: 0.5448, Val Loss: 1.0379, Val Accuracy: 0.5647
Epoch 52/250, Train Loss: 1.0712, Train Accuracy: 0.5464, Val Loss: 1.0316, Val Accuracy: 0.5668
Epoch 53/250, Train Loss: 1.0651, Train Accuracy: 0.5464, Val Loss: 1.0244, Val Accuracy: 0.5603
Epoch 54/250, Train Loss: 1.0589, Train Accuracy: 0.5448, Val Loss: 1.0182, Val Accuracy: 0.5625
Epoch 55/250, Train Loss: 1.0532, Train Accuracy: 0.5485, Val Loss: 1.0123, Val Accuracy: 0.5625
Epoch 56/250, Train Loss: 1.0476, Train Accuracy: 0.5464, Val Loss: 1.0064, Val Accuracy: 0.5582
Epoch 57/250, Train Loss: 1.0425, Train Accuracy: 0.5491, Val Loss: 1.0002, Val Accuracy: 0.5625
Epoch 58/250, Train Loss: 1.0369, Train Accuracy: 0.5502, Val Loss: 0.9950, Val Accuracy: 0.5690
Epoch 59/250, Train Loss: 1.0315, Train Accuracy: 0.5507, Val Loss: 0.9893, Val Accuracy: 0.5647
Epoch 60/250, Train Loss: 1.0265, Train Accuracy: 0.5550, Val Loss: 0.9840, Val Accuracy: 0.5733
Epoch 61/250, Train Loss: 1.0215, Train Accuracy: 0.5534, Val Loss: 0.9793, Val Accuracy: 0.5776
Epoch 62/250, Train Loss: 1.0168, Train Accuracy: 0.5588, Val Loss: 0.9741, Val Accuracy: 0.5927
Epoch 63/250, Train Loss: 1.0118, Train Accuracy: 0.5636, Val Loss: 0.9694, Val Accuracy: 0.5841
Epoch 64/250, Train Loss: 1.0073, Train Accuracy: 0.5620, Val Loss: 0.9641, Val Accuracy: 0.5948
Epoch 65/250, Train Loss: 1.0027, Train Accuracy: 0.5663, Val Loss: 0.9594, Val Accuracy: 0.5970
Epoch 66/250, Train Loss: 0.9982, Train Accuracy: 0.5723, Val Loss: 0.9552, Val Accuracy: 0.5991
Epoch 67/250, Train Loss: 0.9939, Train Accuracy: 0.5750, Val Loss: 0.9507, Val Accuracy: 0.6034
Epoch 68/250, Train Loss: 0.9893, Train Accuracy: 0.5750, Val Loss: 0.9466, Val Accuracy: 0.6056
Epoch 69/250, Train Loss: 0.9853, Train Accuracy: 0.5777, Val Loss: 0.9423, Val Accuracy: 0.6056
Epoch 70/250, Train Loss: 0.9815, Train Accuracy: 0.5798, Val Loss: 0.9392, Val Accuracy: 0.5991
Epoch 71/250, Train Loss: 0.9772, Train Accuracy: 0.5787, Val Loss: 0.9341, Val Accuracy: 0.6034
Epoch 72/250, Train Loss: 0.9728, Train Accuracy: 0.5847, Val Loss: 0.9301, Val Accuracy: 0.6078
Epoch 73/250, Train Loss: 0.9697, Train Accuracy: 0.5879, Val Loss: 0.9269, Val Accuracy: 0.6078
Epoch 74/250, Train Loss: 0.9656, Train Accuracy: 0.5939, Val Loss: 0.9226, Val Accuracy: 0.6121
Epoch 75/250, Train Loss: 0.9615, Train Accuracy: 0.5976, Val Loss: 0.9190, Val Accuracy: 0.6078
Epoch 76/250, Train Loss: 0.9577, Train Accuracy: 0.6014, Val Loss: 0.9154, Val Accuracy: 0.6142
Epoch 77/250, Train Loss: 0.9539, Train Accuracy: 0.6057, Val Loss: 0.9116, Val Accuracy: 0.6164
Epoch 78/250, Train Loss: 0.9503, Train Accuracy: 0.6068, Val Loss: 0.9082, Val Accuracy: 0.6142
Epoch 79/250, Train Loss: 0.9462, Train Accuracy: 0.6095, Val Loss: 0.9054, Val Accuracy: 0.6164
Epoch 80/250, Train Loss: 0.9428, Train Accuracy: 0.6127, Val Loss: 0.9015, Val Accuracy: 0.6164
Epoch 81/250, Train Loss: 0.9393, Train Accuracy: 0.6143, Val Loss: 0.8977, Val Accuracy: 0.6228
Epoch 82/250, Train Loss: 0.9360, Train Accuracy: 0.6176, Val Loss: 0.8950, Val Accuracy: 0.6164
Epoch 83/250, Train Loss: 0.9327, Train Accuracy: 0.6160, Val Loss: 0.8912, Val Accuracy: 0.6272
Epoch 84/250, Train Loss: 0.9293, Train Accuracy: 0.6214, Val Loss: 0.8890, Val Accuracy: 0.6207
Epoch 85/250, Train Loss: 0.9261, Train Accuracy: 0.6251, Val Loss: 0.8854, Val Accuracy: 0.6272
Epoch 86/250, Train Loss: 0.9232, Train Accuracy: 0.6257, Val Loss: 0.8826, Val Accuracy: 0.6272
Epoch 87/250, Train Loss: 0.9194, Train Accuracy: 0.6289, Val Loss: 0.8794, Val Accuracy: 0.6272
Epoch 88/250, Train Loss: 0.9163, Train Accuracy: 0.6305, Val Loss: 0.8766, Val Accuracy: 0.6293
Epoch 89/250, Train Loss: 0.9134, Train Accuracy: 0.6311, Val Loss: 0.8733, Val Accuracy: 0.6293
Epoch 90/250, Train Loss: 0.9104, Train Accuracy: 0.6305, Val Loss: 0.8713, Val Accuracy: 0.6250
Epoch 91/250, Train Loss: 0.9076, Train Accuracy: 0.6332, Val Loss: 0.8679, Val Accuracy: 0.6315
Epoch 92/250, Train Loss: 0.9039, Train Accuracy: 0.6348, Val Loss: 0.8659, Val Accuracy: 0.6272
Epoch 93/250, Train Loss: 0.9014, Train Accuracy: 0.6402, Val Loss: 0.8627, Val Accuracy: 0.6293
Epoch 94/250, Train Loss: 0.8981, Train Accuracy: 0.6408, Val Loss: 0.8600, Val Accuracy: 0.6250
Epoch 95/250, Train Loss: 0.8953, Train Accuracy: 0.6413, Val Loss: 0.8575, Val Accuracy: 0.6293
Epoch 96/250, Train Loss: 0.8925, Train Accuracy: 0.6467, Val Loss: 0.8545, Val Accuracy: 0.6272
Epoch 97/250, Train Loss: 0.8894, Train Accuracy: 0.6424, Val Loss: 0.8516, Val Accuracy: 0.6336
Epoch 98/250, Train Loss: 0.8870, Train Accuracy: 0.6462, Val Loss: 0.8499, Val Accuracy: 0.6272
Epoch 99/250, Train Loss: 0.8842, Train Accuracy: 0.6462, Val Loss: 0.8471, Val Accuracy: 0.6315
Epoch 100/250, Train Loss: 0.8823, Train Accuracy: 0.6483, Val Loss: 0.8453, Val Accuracy: 0.6336
Epoch 101/250, Train Loss: 0.8799, Train Accuracy: 0.6435, Val Loss: 0.8426, Val Accuracy: 0.6293
Epoch 102/250, Train Loss: 0.8763, Train Accuracy: 0.6516, Val Loss: 0.8406, Val Accuracy: 0.6358
Epoch 103/250, Train Loss: 0.8735, Train Accuracy: 0.6516, Val Loss: 0.8378, Val Accuracy: 0.6336
Epoch 104/250, Train Loss: 0.8713, Train Accuracy: 0.6521, Val Loss: 0.8355, Val Accuracy: 0.6379
Epoch 105/250, Train Loss: 0.8691, Train Accuracy: 0.6532, Val Loss: 0.8338, Val Accuracy: 0.6379
Epoch 106/250, Train Loss: 0.8666, Train Accuracy: 0.6537, Val Loss: 0.8308, Val Accuracy: 0.6422
Epoch 107/250, Train Loss: 0.8638, Train Accuracy: 0.6580, Val Loss: 0.8297, Val Accuracy: 0.6509
Epoch 108/250, Train Loss: 0.8608, Train Accuracy: 0.6559, Val Loss: 0.8269, Val Accuracy: 0.6530
Epoch 109/250, Train Loss: 0.8589, Train Accuracy: 0.6597, Val Loss: 0.8248, Val Accuracy: 0.6466
Epoch 110/250, Train Loss: 0.8566, Train Accuracy: 0.6575, Val Loss: 0.8225, Val Accuracy: 0.6487
Epoch 111/250, Train Loss: 0.8538, Train Accuracy: 0.6570, Val Loss: 0.8208, Val Accuracy: 0.6509
Epoch 112/250, Train Loss: 0.8516, Train Accuracy: 0.6602, Val Loss: 0.8187, Val Accuracy: 0.6487
Epoch 113/250, Train Loss: 0.8488, Train Accuracy: 0.6629, Val Loss: 0.8163, Val Accuracy: 0.6487
Epoch 114/250, Train Loss: 0.8470, Train Accuracy: 0.6618, Val Loss: 0.8145, Val Accuracy: 0.6530
Epoch 115/250, Train Loss: 0.8445, Train Accuracy: 0.6650, Val Loss: 0.8134, Val Accuracy: 0.6530
Epoch 116/250, Train Loss: 0.8425, Train Accuracy: 0.6661, Val Loss: 0.8104, Val Accuracy: 0.6530
Epoch 117/250, Train Loss: 0.8398, Train Accuracy: 0.6661, Val Loss: 0.8087, Val Accuracy: 0.6530
Epoch 118/250, Train Loss: 0.8374, Train Accuracy: 0.6677, Val Loss: 0.8063, Val Accuracy: 0.6573
Epoch 119/250, Train Loss: 0.8352, Train Accuracy: 0.6667, Val Loss: 0.8047, Val Accuracy: 0.6595
Epoch 120/250, Train Loss: 0.8329, Train Accuracy: 0.6688, Val Loss: 0.8026, Val Accuracy: 0.6573
Epoch 121/250, Train Loss: 0.8308, Train Accuracy: 0.6683, Val Loss: 0.8011, Val Accuracy: 0.6573
Epoch 122/250, Train Loss: 0.8286, Train Accuracy: 0.6704, Val Loss: 0.7989, Val Accuracy: 0.6616
Epoch 123/250, Train Loss: 0.8266, Train Accuracy: 0.6694, Val Loss: 0.7975, Val Accuracy: 0.6595
Epoch 124/250, Train Loss: 0.8244, Train Accuracy: 0.6710, Val Loss: 0.7951, Val Accuracy: 0.6595
Epoch 125/250, Train Loss: 0.8220, Train Accuracy: 0.6742, Val Loss: 0.7933, Val Accuracy: 0.6616
Epoch 126/250, Train Loss: 0.8200, Train Accuracy: 0.6742, Val Loss: 0.7916, Val Accuracy: 0.6616
Epoch 127/250, Train Loss: 0.8176, Train Accuracy: 0.6721, Val Loss: 0.7899, Val Accuracy: 0.6638
Epoch 128/250, Train Loss: 0.8157, Train Accuracy: 0.6758, Val Loss: 0.7878, Val Accuracy: 0.6616
Epoch 129/250, Train Loss: 0.8136, Train Accuracy: 0.6758, Val Loss: 0.7863, Val Accuracy: 0.6703
Epoch 130/250, Train Loss: 0.8113, Train Accuracy: 0.6764, Val Loss: 0.7851, Val Accuracy: 0.6681
Epoch 131/250, Train Loss: 0.8095, Train Accuracy: 0.6791, Val Loss: 0.7827, Val Accuracy: 0.6681
Epoch 132/250, Train Loss: 0.8073, Train Accuracy: 0.6775, Val Loss: 0.7814, Val Accuracy: 0.6681
Epoch 133/250, Train Loss: 0.8052, Train Accuracy: 0.6791, Val Loss: 0.7797, Val Accuracy: 0.6659
Epoch 134/250, Train Loss: 0.8039, Train Accuracy: 0.6785, Val Loss: 0.7782, Val Accuracy: 0.6681
Epoch 135/250, Train Loss: 0.8013, Train Accuracy: 0.6796, Val Loss: 0.7762, Val Accuracy: 0.6703
Epoch 136/250, Train Loss: 0.7993, Train Accuracy: 0.6802, Val Loss: 0.7748, Val Accuracy: 0.6703
Epoch 137/250, Train Loss: 0.7976, Train Accuracy: 0.6796, Val Loss: 0.7730, Val Accuracy: 0.6724
Epoch 138/250, Train Loss: 0.7960, Train Accuracy: 0.6861, Val Loss: 0.7712, Val Accuracy: 0.6681
Epoch 139/250, Train Loss: 0.7941, Train Accuracy: 0.6834, Val Loss: 0.7697, Val Accuracy: 0.6746
Epoch 140/250, Train Loss: 0.7918, Train Accuracy: 0.6850, Val Loss: 0.7689, Val Accuracy: 0.6703
Epoch 141/250, Train Loss: 0.7899, Train Accuracy: 0.6839, Val Loss: 0.7671, Val Accuracy: 0.6703
