Epoch 1/250, Train Loss: 1.7654, Train Accuracy: 0.2638, Val Loss: 1.7216, Val Accuracy: 0.3082
Epoch 2/250, Train Loss: 1.6773, Train Accuracy: 0.3997, Val Loss: 1.5923, Val Accuracy: 0.4289
Epoch 3/250, Train Loss: 1.5093, Train Accuracy: 0.4417, Val Loss: 1.3882, Val Accuracy: 0.4418
Epoch 4/250, Train Loss: 1.3222, Train Accuracy: 0.4720, Val Loss: 1.2327, Val Accuracy: 0.5065
Epoch 5/250, Train Loss: 1.2023, Train Accuracy: 0.5032, Val Loss: 1.1408, Val Accuracy: 0.5409
Epoch 6/250, Train Loss: 1.1316, Train Accuracy: 0.5313, Val Loss: 1.0839, Val Accuracy: 0.5668
Epoch 7/250, Train Loss: 1.0843, Train Accuracy: 0.5620, Val Loss: 1.0365, Val Accuracy: 0.5690
Epoch 8/250, Train Loss: 1.0463, Train Accuracy: 0.5787, Val Loss: 1.0018, Val Accuracy: 0.5668
Epoch 9/250, Train Loss: 1.0174, Train Accuracy: 0.5906, Val Loss: 0.9747, Val Accuracy: 0.5927
Epoch 10/250, Train Loss: 0.9908, Train Accuracy: 0.6106, Val Loss: 0.9533, Val Accuracy: 0.6078
Epoch 11/250, Train Loss: 0.9671, Train Accuracy: 0.6208, Val Loss: 0.9324, Val Accuracy: 0.6228
Epoch 12/250, Train Loss: 0.9454, Train Accuracy: 0.6208, Val Loss: 0.9098, Val Accuracy: 0.6293
Epoch 13/250, Train Loss: 0.9257, Train Accuracy: 0.6456, Val Loss: 0.8935, Val Accuracy: 0.6401
Epoch 14/250, Train Loss: 0.9060, Train Accuracy: 0.6510, Val Loss: 0.8773, Val Accuracy: 0.6422
Epoch 15/250, Train Loss: 0.8870, Train Accuracy: 0.6575, Val Loss: 0.8616, Val Accuracy: 0.6379
Epoch 16/250, Train Loss: 0.8700, Train Accuracy: 0.6688, Val Loss: 0.8458, Val Accuracy: 0.6530
Epoch 17/250, Train Loss: 0.8546, Train Accuracy: 0.6645, Val Loss: 0.8339, Val Accuracy: 0.6616
Epoch 18/250, Train Loss: 0.8390, Train Accuracy: 0.6769, Val Loss: 0.8209, Val Accuracy: 0.6638
Epoch 19/250, Train Loss: 0.8220, Train Accuracy: 0.6834, Val Loss: 0.8120, Val Accuracy: 0.6616
Epoch 20/250, Train Loss: 0.8080, Train Accuracy: 0.6926, Val Loss: 0.8022, Val Accuracy: 0.6746
Epoch 21/250, Train Loss: 0.7966, Train Accuracy: 0.6931, Val Loss: 0.7866, Val Accuracy: 0.6918
Epoch 22/250, Train Loss: 0.7814, Train Accuracy: 0.7093, Val Loss: 0.7766, Val Accuracy: 0.7004
Epoch 23/250, Train Loss: 0.7695, Train Accuracy: 0.7082, Val Loss: 0.7671, Val Accuracy: 0.6983
Epoch 24/250, Train Loss: 0.7556, Train Accuracy: 0.7163, Val Loss: 0.7600, Val Accuracy: 0.7026
