Epoch 1/250, Train Loss: 1.7136, Train Accuracy: 0.3581, Val Loss: 1.5459, Val Accuracy: 0.4289
Epoch 2/250, Train Loss: 1.3185, Train Accuracy: 0.4639, Val Loss: 1.1531, Val Accuracy: 0.5065
Epoch 3/250, Train Loss: 1.1149, Train Accuracy: 0.5227, Val Loss: 1.0234, Val Accuracy: 0.5690
Epoch 4/250, Train Loss: 1.0269, Train Accuracy: 0.5717, Val Loss: 0.9591, Val Accuracy: 0.5647
Epoch 5/250, Train Loss: 0.9666, Train Accuracy: 0.5960, Val Loss: 0.9126, Val Accuracy: 0.6185
Epoch 6/250, Train Loss: 0.9156, Train Accuracy: 0.6262, Val Loss: 0.8997, Val Accuracy: 0.5991
Epoch 7/250, Train Loss: 0.8780, Train Accuracy: 0.6419, Val Loss: 0.8547, Val Accuracy: 0.6228
Epoch 8/250, Train Loss: 0.8435, Train Accuracy: 0.6516, Val Loss: 0.8244, Val Accuracy: 0.6487
Epoch 9/250, Train Loss: 0.8127, Train Accuracy: 0.6715, Val Loss: 0.8029, Val Accuracy: 0.6487
Epoch 10/250, Train Loss: 0.7882, Train Accuracy: 0.6742, Val Loss: 0.7915, Val Accuracy: 0.6552
Epoch 11/250, Train Loss: 0.7678, Train Accuracy: 0.6780, Val Loss: 0.7765, Val Accuracy: 0.6703
Epoch 12/250, Train Loss: 0.7450, Train Accuracy: 0.6980, Val Loss: 0.7465, Val Accuracy: 0.6724
Epoch 13/250, Train Loss: 0.7290, Train Accuracy: 0.7012, Val Loss: 0.7309, Val Accuracy: 0.6961
Epoch 14/250, Train Loss: 0.7140, Train Accuracy: 0.7109, Val Loss: 0.7141, Val Accuracy: 0.7026
Epoch 15/250, Train Loss: 0.6867, Train Accuracy: 0.7233, Val Loss: 0.6980, Val Accuracy: 0.7198
Epoch 16/250, Train Loss: 0.6707, Train Accuracy: 0.7362, Val Loss: 0.6925, Val Accuracy: 0.7220
Epoch 17/250, Train Loss: 0.6581, Train Accuracy: 0.7368, Val Loss: 0.6752, Val Accuracy: 0.7241
Epoch 18/250, Train Loss: 0.6410, Train Accuracy: 0.7487, Val Loss: 0.6793, Val Accuracy: 0.7198
Epoch 19/250, Train Loss: 0.6315, Train Accuracy: 0.7540, Val Loss: 0.6479, Val Accuracy: 0.7478
Epoch 20/250, Train Loss: 0.6136, Train Accuracy: 0.7589, Val Loss: 0.6339, Val Accuracy: 0.7565
Epoch 21/250, Train Loss: 0.5970, Train Accuracy: 0.7616, Val Loss: 0.6300, Val Accuracy: 0.7478
Epoch 22/250, Train Loss: 0.5863, Train Accuracy: 0.7772, Val Loss: 0.6144, Val Accuracy: 0.7737
Epoch 23/250, Train Loss: 0.5749, Train Accuracy: 0.7783, Val Loss: 0.6037, Val Accuracy: 0.7629
Epoch 24/250, Train Loss: 0.5636, Train Accuracy: 0.7896, Val Loss: 0.6022, Val Accuracy: 0.7694
Epoch 25/250, Train Loss: 0.5531, Train Accuracy: 0.7896, Val Loss: 0.5897, Val Accuracy: 0.7586
Epoch 26/250, Train Loss: 0.5451, Train Accuracy: 0.7816, Val Loss: 0.5844, Val Accuracy: 0.7672
Epoch 27/250, Train Loss: 0.5300, Train Accuracy: 0.7956, Val Loss: 0.5821, Val Accuracy: 0.7737
Epoch 28/250, Train Loss: 0.5208, Train Accuracy: 0.8010, Val Loss: 0.5680, Val Accuracy: 0.7694
Epoch 29/250, Train Loss: 0.5092, Train Accuracy: 0.8031, Val Loss: 0.5644, Val Accuracy: 0.7780
Epoch 30/250, Train Loss: 0.5048, Train Accuracy: 0.8128, Val Loss: 0.5603, Val Accuracy: 0.7759
Epoch 31/250, Train Loss: 0.4953, Train Accuracy: 0.8134, Val Loss: 0.5651, Val Accuracy: 0.7716
Epoch 32/250, Train Loss: 0.4808, Train Accuracy: 0.8172, Val Loss: 0.5464, Val Accuracy: 0.7909
Epoch 33/250, Train Loss: 0.4741, Train Accuracy: 0.8188, Val Loss: 0.5483, Val Accuracy: 0.7802
Epoch 34/250, Train Loss: 0.4705, Train Accuracy: 0.8145, Val Loss: 0.5419, Val Accuracy: 0.7845
Epoch 35/250, Train Loss: 0.4603, Train Accuracy: 0.8263, Val Loss: 0.5332, Val Accuracy: 0.7909
Epoch 36/250, Train Loss: 0.4501, Train Accuracy: 0.8258, Val Loss: 0.5232, Val Accuracy: 0.7974
Epoch 37/250, Train Loss: 0.4416, Train Accuracy: 0.8350, Val Loss: 0.5564, Val Accuracy: 0.7888
Epoch 38/250, Train Loss: 0.4421, Train Accuracy: 0.8306, Val Loss: 0.5348, Val Accuracy: 0.8039
Epoch 39/250, Train Loss: 0.4384, Train Accuracy: 0.8301, Val Loss: 0.5305, Val Accuracy: 0.7953
Epoch 40/250, Train Loss: 0.4272, Train Accuracy: 0.8441, Val Loss: 0.5147, Val Accuracy: 0.8039
Epoch 41/250, Train Loss: 0.4219, Train Accuracy: 0.8393, Val Loss: 0.5281, Val Accuracy: 0.7823
Epoch 42/250, Train Loss: 0.4220, Train Accuracy: 0.8355, Val Loss: 0.5152, Val Accuracy: 0.8039
Epoch 43/250, Train Loss: 0.4075, Train Accuracy: 0.8447, Val Loss: 0.5050, Val Accuracy: 0.7996
Epoch 44/250, Train Loss: 0.4097, Train Accuracy: 0.8425, Val Loss: 0.5184, Val Accuracy: 0.7953
Epoch 45/250, Train Loss: 0.4059, Train Accuracy: 0.8495, Val Loss: 0.5142, Val Accuracy: 0.7953
Epoch 46/250, Train Loss: 0.3992, Train Accuracy: 0.8468, Val Loss: 0.5050, Val Accuracy: 0.7974
Epoch 47/250, Train Loss: 0.3906, Train Accuracy: 0.8479, Val Loss: 0.5090, Val Accuracy: 0.8017
Epoch 48/250, Train Loss: 0.3896, Train Accuracy: 0.8517, Val Loss: 0.5053, Val Accuracy: 0.7909
Epoch 49/250, Train Loss: 0.3831, Train Accuracy: 0.8522, Val Loss: 0.5065, Val Accuracy: 0.7974
Epoch 50/250, Train Loss: 0.3808, Train Accuracy: 0.8581, Val Loss: 0.5104, Val Accuracy: 0.7953
