Epoch 1/250, Train Loss: 1.5562, Train Accuracy: 0.3738, Val Loss: 1.2185, Val Accuracy: 0.4914
Epoch 2/250, Train Loss: 1.1242, Train Accuracy: 0.5286, Val Loss: 1.0186, Val Accuracy: 0.5776
Epoch 3/250, Train Loss: 0.9967, Train Accuracy: 0.5787, Val Loss: 0.9239, Val Accuracy: 0.6358
Epoch 4/250, Train Loss: 0.9252, Train Accuracy: 0.6257, Val Loss: 0.8773, Val Accuracy: 0.6207
Epoch 5/250, Train Loss: 0.8606, Train Accuracy: 0.6597, Val Loss: 0.8281, Val Accuracy: 0.6616
Epoch 6/250, Train Loss: 0.8197, Train Accuracy: 0.6721, Val Loss: 0.8484, Val Accuracy: 0.6185
Epoch 7/250, Train Loss: 0.7826, Train Accuracy: 0.6861, Val Loss: 0.7665, Val Accuracy: 0.6724
Epoch 8/250, Train Loss: 0.7464, Train Accuracy: 0.7012, Val Loss: 0.7535, Val Accuracy: 0.7069
Epoch 9/250, Train Loss: 0.7326, Train Accuracy: 0.7098, Val Loss: 0.7323, Val Accuracy: 0.7026
Epoch 10/250, Train Loss: 0.7159, Train Accuracy: 0.7093, Val Loss: 0.7184, Val Accuracy: 0.7091
Epoch 11/250, Train Loss: 0.6830, Train Accuracy: 0.7438, Val Loss: 0.7020, Val Accuracy: 0.7004
Epoch 12/250, Train Loss: 0.6606, Train Accuracy: 0.7395, Val Loss: 0.6904, Val Accuracy: 0.7177
Epoch 13/250, Train Loss: 0.6402, Train Accuracy: 0.7449, Val Loss: 0.6625, Val Accuracy: 0.7349
Epoch 14/250, Train Loss: 0.6205, Train Accuracy: 0.7508, Val Loss: 0.6457, Val Accuracy: 0.7306
Epoch 15/250, Train Loss: 0.6051, Train Accuracy: 0.7567, Val Loss: 0.6291, Val Accuracy: 0.7435
Epoch 16/250, Train Loss: 0.5910, Train Accuracy: 0.7697, Val Loss: 0.6337, Val Accuracy: 0.7306
Epoch 17/250, Train Loss: 0.5820, Train Accuracy: 0.7621, Val Loss: 0.5975, Val Accuracy: 0.7543
Epoch 18/250, Train Loss: 0.5612, Train Accuracy: 0.7762, Val Loss: 0.6055, Val Accuracy: 0.7500
Epoch 19/250, Train Loss: 0.5509, Train Accuracy: 0.7816, Val Loss: 0.5959, Val Accuracy: 0.7543
Epoch 20/250, Train Loss: 0.5360, Train Accuracy: 0.7918, Val Loss: 0.5738, Val Accuracy: 0.7672
Epoch 21/250, Train Loss: 0.5217, Train Accuracy: 0.7950, Val Loss: 0.5727, Val Accuracy: 0.7651
Epoch 22/250, Train Loss: 0.5142, Train Accuracy: 0.7956, Val Loss: 0.5933, Val Accuracy: 0.7306
Epoch 23/250, Train Loss: 0.5048, Train Accuracy: 0.7994, Val Loss: 0.5480, Val Accuracy: 0.7802
Epoch 24/250, Train Loss: 0.4960, Train Accuracy: 0.8020, Val Loss: 0.5550, Val Accuracy: 0.7694
Epoch 25/250, Train Loss: 0.4870, Train Accuracy: 0.8123, Val Loss: 0.5474, Val Accuracy: 0.7694
Epoch 26/250, Train Loss: 0.4702, Train Accuracy: 0.8145, Val Loss: 0.5514, Val Accuracy: 0.7522
Epoch 27/250, Train Loss: 0.4639, Train Accuracy: 0.8145, Val Loss: 0.5214, Val Accuracy: 0.7888
