Epoch 1/250, Train Loss: 1.7728, Train Accuracy: 0.2567, Val Loss: 1.7344, Val Accuracy: 0.4397
Epoch 2/250, Train Loss: 1.6886, Train Accuracy: 0.4299, Val Loss: 1.6149, Val Accuracy: 0.4181
Epoch 3/250, Train Loss: 1.5275, Train Accuracy: 0.4299, Val Loss: 1.4219, Val Accuracy: 0.4310
Epoch 4/250, Train Loss: 1.3463, Train Accuracy: 0.4547, Val Loss: 1.2638, Val Accuracy: 0.5129
Epoch 5/250, Train Loss: 1.2219, Train Accuracy: 0.5113, Val Loss: 1.1584, Val Accuracy: 0.5453
Epoch 6/250, Train Loss: 1.1403, Train Accuracy: 0.5394, Val Loss: 1.0872, Val Accuracy: 0.5560
Epoch 7/250, Train Loss: 1.0817, Train Accuracy: 0.5561, Val Loss: 1.0336, Val Accuracy: 0.5582
Epoch 8/250, Train Loss: 1.0355, Train Accuracy: 0.5739, Val Loss: 1.0020, Val Accuracy: 0.5776
Epoch 9/250, Train Loss: 1.0008, Train Accuracy: 0.5992, Val Loss: 0.9621, Val Accuracy: 0.6142
Epoch 10/250, Train Loss: 0.9710, Train Accuracy: 0.6219, Val Loss: 0.9364, Val Accuracy: 0.6164
Epoch 11/250, Train Loss: 0.9440, Train Accuracy: 0.6375, Val Loss: 0.9146, Val Accuracy: 0.6207
Epoch 12/250, Train Loss: 0.9221, Train Accuracy: 0.6435, Val Loss: 0.8987, Val Accuracy: 0.6293
Epoch 13/250, Train Loss: 0.9007, Train Accuracy: 0.6526, Val Loss: 0.8751, Val Accuracy: 0.6401
Epoch 14/250, Train Loss: 0.8833, Train Accuracy: 0.6618, Val Loss: 0.8626, Val Accuracy: 0.6422
Epoch 15/250, Train Loss: 0.8655, Train Accuracy: 0.6672, Val Loss: 0.8470, Val Accuracy: 0.6638
Epoch 16/250, Train Loss: 0.8528, Train Accuracy: 0.6742, Val Loss: 0.8359, Val Accuracy: 0.6659
Epoch 17/250, Train Loss: 0.8347, Train Accuracy: 0.6726, Val Loss: 0.8255, Val Accuracy: 0.6681
Epoch 18/250, Train Loss: 0.8210, Train Accuracy: 0.6882, Val Loss: 0.8140, Val Accuracy: 0.6595
Epoch 19/250, Train Loss: 0.8063, Train Accuracy: 0.6834, Val Loss: 0.8077, Val Accuracy: 0.6681
Epoch 20/250, Train Loss: 0.7956, Train Accuracy: 0.6839, Val Loss: 0.7918, Val Accuracy: 0.6681
Epoch 21/250, Train Loss: 0.7814, Train Accuracy: 0.6953, Val Loss: 0.7936, Val Accuracy: 0.6638
Epoch 22/250, Train Loss: 0.7697, Train Accuracy: 0.6920, Val Loss: 0.7770, Val Accuracy: 0.6853
Epoch 23/250, Train Loss: 0.7585, Train Accuracy: 0.7006, Val Loss: 0.7675, Val Accuracy: 0.6875
Epoch 24/250, Train Loss: 0.7504, Train Accuracy: 0.7017, Val Loss: 0.7616, Val Accuracy: 0.6789
Epoch 25/250, Train Loss: 0.7366, Train Accuracy: 0.7066, Val Loss: 0.7536, Val Accuracy: 0.6940
Epoch 26/250, Train Loss: 0.7301, Train Accuracy: 0.7060, Val Loss: 0.7455, Val Accuracy: 0.6961
Epoch 27/250, Train Loss: 0.7190, Train Accuracy: 0.7098, Val Loss: 0.7384, Val Accuracy: 0.7004
Epoch 28/250, Train Loss: 0.7128, Train Accuracy: 0.7147, Val Loss: 0.7269, Val Accuracy: 0.7047
Epoch 29/250, Train Loss: 0.7000, Train Accuracy: 0.7222, Val Loss: 0.7206, Val Accuracy: 0.7177
Epoch 30/250, Train Loss: 0.6909, Train Accuracy: 0.7287, Val Loss: 0.7123, Val Accuracy: 0.7241
Epoch 31/250, Train Loss: 0.6807, Train Accuracy: 0.7314, Val Loss: 0.7063, Val Accuracy: 0.7284
Epoch 32/250, Train Loss: 0.6721, Train Accuracy: 0.7406, Val Loss: 0.7001, Val Accuracy: 0.7306
Epoch 33/250, Train Loss: 0.6632, Train Accuracy: 0.7395, Val Loss: 0.6942, Val Accuracy: 0.7349
Epoch 34/250, Train Loss: 0.6554, Train Accuracy: 0.7438, Val Loss: 0.6852, Val Accuracy: 0.7435
Epoch 35/250, Train Loss: 0.6465, Train Accuracy: 0.7551, Val Loss: 0.6786, Val Accuracy: 0.7435
Epoch 36/250, Train Loss: 0.6379, Train Accuracy: 0.7578, Val Loss: 0.6709, Val Accuracy: 0.7500
Epoch 37/250, Train Loss: 0.6303, Train Accuracy: 0.7616, Val Loss: 0.6634, Val Accuracy: 0.7565
Epoch 38/250, Train Loss: 0.6222, Train Accuracy: 0.7562, Val Loss: 0.6631, Val Accuracy: 0.7522
Epoch 39/250, Train Loss: 0.6140, Train Accuracy: 0.7681, Val Loss: 0.6570, Val Accuracy: 0.7522
Epoch 40/250, Train Loss: 0.6067, Train Accuracy: 0.7654, Val Loss: 0.6498, Val Accuracy: 0.7586
Epoch 41/250, Train Loss: 0.5995, Train Accuracy: 0.7767, Val Loss: 0.6409, Val Accuracy: 0.7608
Epoch 42/250, Train Loss: 0.5929, Train Accuracy: 0.7708, Val Loss: 0.6346, Val Accuracy: 0.7629
Epoch 43/250, Train Loss: 0.5869, Train Accuracy: 0.7772, Val Loss: 0.6278, Val Accuracy: 0.7629
Epoch 44/250, Train Loss: 0.5776, Train Accuracy: 0.7767, Val Loss: 0.6242, Val Accuracy: 0.7716
Epoch 45/250, Train Loss: 0.5722, Train Accuracy: 0.7859, Val Loss: 0.6236, Val Accuracy: 0.7716
Epoch 46/250, Train Loss: 0.5645, Train Accuracy: 0.7880, Val Loss: 0.6144, Val Accuracy: 0.7694
Epoch 47/250, Train Loss: 0.5582, Train Accuracy: 0.7907, Val Loss: 0.6090, Val Accuracy: 0.7737
Epoch 48/250, Train Loss: 0.5542, Train Accuracy: 0.7945, Val Loss: 0.6055, Val Accuracy: 0.7759
Epoch 49/250, Train Loss: 0.5465, Train Accuracy: 0.7961, Val Loss: 0.5974, Val Accuracy: 0.7845
Epoch 50/250, Train Loss: 0.5392, Train Accuracy: 0.7961, Val Loss: 0.5960, Val Accuracy: 0.7737
Epoch 51/250, Train Loss: 0.5346, Train Accuracy: 0.8015, Val Loss: 0.5873, Val Accuracy: 0.7823
Epoch 52/250, Train Loss: 0.5269, Train Accuracy: 0.8085, Val Loss: 0.5864, Val Accuracy: 0.7909
Epoch 53/250, Train Loss: 0.5217, Train Accuracy: 0.8074, Val Loss: 0.5810, Val Accuracy: 0.7866
Epoch 54/250, Train Loss: 0.5167, Train Accuracy: 0.8096, Val Loss: 0.5776, Val Accuracy: 0.7845
Epoch 55/250, Train Loss: 0.5099, Train Accuracy: 0.8107, Val Loss: 0.5710, Val Accuracy: 0.7866
Epoch 56/250, Train Loss: 0.5046, Train Accuracy: 0.8101, Val Loss: 0.5707, Val Accuracy: 0.7931
Epoch 57/250, Train Loss: 0.5042, Train Accuracy: 0.8161, Val Loss: 0.5622, Val Accuracy: 0.7866
Epoch 58/250, Train Loss: 0.4956, Train Accuracy: 0.8161, Val Loss: 0.5612, Val Accuracy: 0.7888
Epoch 59/250, Train Loss: 0.4917, Train Accuracy: 0.8150, Val Loss: 0.5601, Val Accuracy: 0.8017
Epoch 60/250, Train Loss: 0.4873, Train Accuracy: 0.8215, Val Loss: 0.5532, Val Accuracy: 0.8039
Epoch 61/250, Train Loss: 0.4808, Train Accuracy: 0.8231, Val Loss: 0.5499, Val Accuracy: 0.7953
Epoch 62/250, Train Loss: 0.4772, Train Accuracy: 0.8209, Val Loss: 0.5486, Val Accuracy: 0.7909
Epoch 63/250, Train Loss: 0.4739, Train Accuracy: 0.8225, Val Loss: 0.5455, Val Accuracy: 0.7974
Epoch 64/250, Train Loss: 0.4685, Train Accuracy: 0.8258, Val Loss: 0.5405, Val Accuracy: 0.7996
Epoch 65/250, Train Loss: 0.4649, Train Accuracy: 0.8279, Val Loss: 0.5373, Val Accuracy: 0.8039
Epoch 66/250, Train Loss: 0.4613, Train Accuracy: 0.8274, Val Loss: 0.5359, Val Accuracy: 0.7974
Epoch 67/250, Train Loss: 0.4549, Train Accuracy: 0.8258, Val Loss: 0.5327, Val Accuracy: 0.8060
Epoch 68/250, Train Loss: 0.4521, Train Accuracy: 0.8333, Val Loss: 0.5297, Val Accuracy: 0.7996
Epoch 69/250, Train Loss: 0.4473, Train Accuracy: 0.8317, Val Loss: 0.5284, Val Accuracy: 0.7996
Epoch 70/250, Train Loss: 0.4438, Train Accuracy: 0.8366, Val Loss: 0.5225, Val Accuracy: 0.8060
Epoch 71/250, Train Loss: 0.4405, Train Accuracy: 0.8376, Val Loss: 0.5192, Val Accuracy: 0.8017
Epoch 72/250, Train Loss: 0.4370, Train Accuracy: 0.8382, Val Loss: 0.5156, Val Accuracy: 0.8103
Epoch 73/250, Train Loss: 0.4339, Train Accuracy: 0.8355, Val Loss: 0.5179, Val Accuracy: 0.8039
Epoch 74/250, Train Loss: 0.4278, Train Accuracy: 0.8441, Val Loss: 0.5159, Val Accuracy: 0.8039
Epoch 75/250, Train Loss: 0.4256, Train Accuracy: 0.8403, Val Loss: 0.5104, Val Accuracy: 0.8103
Epoch 76/250, Train Loss: 0.4221, Train Accuracy: 0.8409, Val Loss: 0.5118, Val Accuracy: 0.8060
Epoch 77/250, Train Loss: 0.4183, Train Accuracy: 0.8452, Val Loss: 0.5046, Val Accuracy: 0.8103
