Epoch 1/250, Train Loss: 1.7894, Train Accuracy: 0.1645, Val Loss: 1.7947, Val Accuracy: 0.1681
Epoch 2/250, Train Loss: 1.7811, Train Accuracy: 0.1699, Val Loss: 1.7849, Val Accuracy: 0.1724
Epoch 3/250, Train Loss: 1.7724, Train Accuracy: 0.1802, Val Loss: 1.7746, Val Accuracy: 0.1853
Epoch 4/250, Train Loss: 1.7629, Train Accuracy: 0.2357, Val Loss: 1.7628, Val Accuracy: 0.2737
Epoch 5/250, Train Loss: 1.7518, Train Accuracy: 0.3209, Val Loss: 1.7496, Val Accuracy: 0.3254
Epoch 6/250, Train Loss: 1.7387, Train Accuracy: 0.3382, Val Loss: 1.7338, Val Accuracy: 0.3254
Epoch 7/250, Train Loss: 1.7226, Train Accuracy: 0.3463, Val Loss: 1.7146, Val Accuracy: 0.3427
Epoch 8/250, Train Loss: 1.7026, Train Accuracy: 0.3581, Val Loss: 1.6902, Val Accuracy: 0.3556
Epoch 9/250, Train Loss: 1.6781, Train Accuracy: 0.3883, Val Loss: 1.6616, Val Accuracy: 0.3966
Epoch 10/250, Train Loss: 1.6496, Train Accuracy: 0.4277, Val Loss: 1.6284, Val Accuracy: 0.4591
Epoch 11/250, Train Loss: 1.6167, Train Accuracy: 0.4515, Val Loss: 1.5901, Val Accuracy: 0.4784
Epoch 12/250, Train Loss: 1.5802, Train Accuracy: 0.4693, Val Loss: 1.5492, Val Accuracy: 0.4828
Epoch 13/250, Train Loss: 1.5416, Train Accuracy: 0.4660, Val Loss: 1.5082, Val Accuracy: 0.4569
Epoch 14/250, Train Loss: 1.5027, Train Accuracy: 0.4574, Val Loss: 1.4671, Val Accuracy: 0.4440
Epoch 15/250, Train Loss: 1.4640, Train Accuracy: 0.4552, Val Loss: 1.4279, Val Accuracy: 0.4440
Epoch 16/250, Train Loss: 1.4273, Train Accuracy: 0.4542, Val Loss: 1.3907, Val Accuracy: 0.4504
Epoch 17/250, Train Loss: 1.3927, Train Accuracy: 0.4574, Val Loss: 1.3569, Val Accuracy: 0.4547
Epoch 18/250, Train Loss: 1.3606, Train Accuracy: 0.4595, Val Loss: 1.3260, Val Accuracy: 0.4504
Epoch 19/250, Train Loss: 1.3316, Train Accuracy: 0.4628, Val Loss: 1.2976, Val Accuracy: 0.4504
Epoch 20/250, Train Loss: 1.3052, Train Accuracy: 0.4590, Val Loss: 1.2713, Val Accuracy: 0.4526
Epoch 21/250, Train Loss: 1.2812, Train Accuracy: 0.4622, Val Loss: 1.2482, Val Accuracy: 0.4547
Epoch 22/250, Train Loss: 1.2596, Train Accuracy: 0.4687, Val Loss: 1.2269, Val Accuracy: 0.4698
Epoch 23/250, Train Loss: 1.2396, Train Accuracy: 0.4709, Val Loss: 1.2071, Val Accuracy: 0.4720
Epoch 24/250, Train Loss: 1.2217, Train Accuracy: 0.4763, Val Loss: 1.1883, Val Accuracy: 0.4806
Epoch 25/250, Train Loss: 1.2052, Train Accuracy: 0.4844, Val Loss: 1.1717, Val Accuracy: 0.4978
Epoch 26/250, Train Loss: 1.1900, Train Accuracy: 0.4881, Val Loss: 1.1568, Val Accuracy: 0.5086
Epoch 27/250, Train Loss: 1.1764, Train Accuracy: 0.4941, Val Loss: 1.1420, Val Accuracy: 0.5151
Epoch 28/250, Train Loss: 1.1636, Train Accuracy: 0.4995, Val Loss: 1.1288, Val Accuracy: 0.5172
Epoch 29/250, Train Loss: 1.1520, Train Accuracy: 0.5092, Val Loss: 1.1160, Val Accuracy: 0.5259
Epoch 30/250, Train Loss: 1.1408, Train Accuracy: 0.5162, Val Loss: 1.1053, Val Accuracy: 0.5259
Epoch 31/250, Train Loss: 1.1310, Train Accuracy: 0.5205, Val Loss: 1.0944, Val Accuracy: 0.5323
Epoch 32/250, Train Loss: 1.1220, Train Accuracy: 0.5200, Val Loss: 1.0841, Val Accuracy: 0.5302
Epoch 33/250, Train Loss: 1.1133, Train Accuracy: 0.5237, Val Loss: 1.0754, Val Accuracy: 0.5323
Epoch 34/250, Train Loss: 1.1053, Train Accuracy: 0.5237, Val Loss: 1.0671, Val Accuracy: 0.5302
Epoch 35/250, Train Loss: 1.0980, Train Accuracy: 0.5264, Val Loss: 1.0585, Val Accuracy: 0.5259
Epoch 36/250, Train Loss: 1.0904, Train Accuracy: 0.5291, Val Loss: 1.0516, Val Accuracy: 0.5259
Epoch 37/250, Train Loss: 1.0841, Train Accuracy: 0.5297, Val Loss: 1.0445, Val Accuracy: 0.5302
Epoch 38/250, Train Loss: 1.0776, Train Accuracy: 0.5302, Val Loss: 1.0375, Val Accuracy: 0.5280
Epoch 39/250, Train Loss: 1.0716, Train Accuracy: 0.5329, Val Loss: 1.0311, Val Accuracy: 0.5323
Epoch 40/250, Train Loss: 1.0656, Train Accuracy: 0.5378, Val Loss: 1.0253, Val Accuracy: 0.5280
Epoch 41/250, Train Loss: 1.0600, Train Accuracy: 0.5448, Val Loss: 1.0193, Val Accuracy: 0.5345
Epoch 42/250, Train Loss: 1.0544, Train Accuracy: 0.5437, Val Loss: 1.0136, Val Accuracy: 0.5388
Epoch 43/250, Train Loss: 1.0490, Train Accuracy: 0.5496, Val Loss: 1.0081, Val Accuracy: 0.5388
Epoch 44/250, Train Loss: 1.0439, Train Accuracy: 0.5507, Val Loss: 1.0031, Val Accuracy: 0.5366
Epoch 45/250, Train Loss: 1.0387, Train Accuracy: 0.5496, Val Loss: 0.9979, Val Accuracy: 0.5366
Epoch 46/250, Train Loss: 1.0343, Train Accuracy: 0.5566, Val Loss: 0.9935, Val Accuracy: 0.5474
Epoch 47/250, Train Loss: 1.0295, Train Accuracy: 0.5620, Val Loss: 0.9888, Val Accuracy: 0.5409
Epoch 48/250, Train Loss: 1.0244, Train Accuracy: 0.5577, Val Loss: 0.9839, Val Accuracy: 0.5474
Epoch 49/250, Train Loss: 1.0201, Train Accuracy: 0.5577, Val Loss: 0.9791, Val Accuracy: 0.5496
Epoch 50/250, Train Loss: 1.0157, Train Accuracy: 0.5653, Val Loss: 0.9753, Val Accuracy: 0.5496
Epoch 51/250, Train Loss: 1.0118, Train Accuracy: 0.5609, Val Loss: 0.9713, Val Accuracy: 0.5560
