Epoch 1/250, Train Loss: 1.8013, Train Accuracy: 0.0626, Val Loss: 1.7992, Val Accuracy: 0.0862
Epoch 2/250, Train Loss: 1.7954, Train Accuracy: 0.0804, Val Loss: 1.7936, Val Accuracy: 0.1142
Epoch 3/250, Train Loss: 1.7895, Train Accuracy: 0.1348, Val Loss: 1.7875, Val Accuracy: 0.1961
Epoch 4/250, Train Loss: 1.7830, Train Accuracy: 0.2319, Val Loss: 1.7807, Val Accuracy: 0.2953
Epoch 5/250, Train Loss: 1.7753, Train Accuracy: 0.3155, Val Loss: 1.7720, Val Accuracy: 0.3341
Epoch 6/250, Train Loss: 1.7662, Train Accuracy: 0.3328, Val Loss: 1.7616, Val Accuracy: 0.3384
Epoch 7/250, Train Loss: 1.7554, Train Accuracy: 0.3339, Val Loss: 1.7490, Val Accuracy: 0.3384
Epoch 8/250, Train Loss: 1.7423, Train Accuracy: 0.3301, Val Loss: 1.7334, Val Accuracy: 0.3405
Epoch 9/250, Train Loss: 1.7261, Train Accuracy: 0.3312, Val Loss: 1.7141, Val Accuracy: 0.3362
Epoch 10/250, Train Loss: 1.7066, Train Accuracy: 0.3333, Val Loss: 1.6918, Val Accuracy: 0.3341
Epoch 11/250, Train Loss: 1.6842, Train Accuracy: 0.3323, Val Loss: 1.6660, Val Accuracy: 0.3362
Epoch 12/250, Train Loss: 1.6589, Train Accuracy: 0.3344, Val Loss: 1.6375, Val Accuracy: 0.3427
Epoch 13/250, Train Loss: 1.6308, Train Accuracy: 0.3382, Val Loss: 1.6066, Val Accuracy: 0.3470
Epoch 14/250, Train Loss: 1.6011, Train Accuracy: 0.3463, Val Loss: 1.5750, Val Accuracy: 0.3491
Epoch 15/250, Train Loss: 1.5703, Train Accuracy: 0.3533, Val Loss: 1.5436, Val Accuracy: 0.3534
Epoch 16/250, Train Loss: 1.5394, Train Accuracy: 0.3581, Val Loss: 1.5115, Val Accuracy: 0.3534
Epoch 17/250, Train Loss: 1.5089, Train Accuracy: 0.3657, Val Loss: 1.4813, Val Accuracy: 0.3599
Epoch 18/250, Train Loss: 1.4791, Train Accuracy: 0.3732, Val Loss: 1.4508, Val Accuracy: 0.3707
Epoch 19/250, Train Loss: 1.4492, Train Accuracy: 0.3808, Val Loss: 1.4195, Val Accuracy: 0.3750
Epoch 20/250, Train Loss: 1.4210, Train Accuracy: 0.3857, Val Loss: 1.3923, Val Accuracy: 0.3858
Epoch 21/250, Train Loss: 1.3954, Train Accuracy: 0.3932, Val Loss: 1.3674, Val Accuracy: 0.3944
Epoch 22/250, Train Loss: 1.3716, Train Accuracy: 0.3975, Val Loss: 1.3441, Val Accuracy: 0.3987
Epoch 23/250, Train Loss: 1.3500, Train Accuracy: 0.4061, Val Loss: 1.3227, Val Accuracy: 0.4095
Epoch 24/250, Train Loss: 1.3305, Train Accuracy: 0.4121, Val Loss: 1.3021, Val Accuracy: 0.4203
Epoch 25/250, Train Loss: 1.3124, Train Accuracy: 0.4245, Val Loss: 1.2836, Val Accuracy: 0.4224
Epoch 26/250, Train Loss: 1.2956, Train Accuracy: 0.4396, Val Loss: 1.2668, Val Accuracy: 0.4397
Epoch 27/250, Train Loss: 1.2798, Train Accuracy: 0.4477, Val Loss: 1.2490, Val Accuracy: 0.4526
Epoch 28/250, Train Loss: 1.2649, Train Accuracy: 0.4585, Val Loss: 1.2335, Val Accuracy: 0.4591
Epoch 29/250, Train Loss: 1.2510, Train Accuracy: 0.4612, Val Loss: 1.2181, Val Accuracy: 0.4806
Epoch 30/250, Train Loss: 1.2379, Train Accuracy: 0.4741, Val Loss: 1.2039, Val Accuracy: 0.4978
Epoch 31/250, Train Loss: 1.2251, Train Accuracy: 0.4817, Val Loss: 1.1895, Val Accuracy: 0.5000
Epoch 32/250, Train Loss: 1.2132, Train Accuracy: 0.4860, Val Loss: 1.1753, Val Accuracy: 0.4957
Epoch 33/250, Train Loss: 1.2009, Train Accuracy: 0.4892, Val Loss: 1.1625, Val Accuracy: 0.5108
Epoch 34/250, Train Loss: 1.1899, Train Accuracy: 0.4968, Val Loss: 1.1495, Val Accuracy: 0.5216
Epoch 35/250, Train Loss: 1.1790, Train Accuracy: 0.5027, Val Loss: 1.1369, Val Accuracy: 0.5237
Epoch 36/250, Train Loss: 1.1678, Train Accuracy: 0.5097, Val Loss: 1.1246, Val Accuracy: 0.5302
Epoch 37/250, Train Loss: 1.1574, Train Accuracy: 0.5248, Val Loss: 1.1125, Val Accuracy: 0.5345
Epoch 38/250, Train Loss: 1.1476, Train Accuracy: 0.5318, Val Loss: 1.1014, Val Accuracy: 0.5388
Epoch 39/250, Train Loss: 1.1384, Train Accuracy: 0.5280, Val Loss: 1.0910, Val Accuracy: 0.5431
Epoch 40/250, Train Loss: 1.1295, Train Accuracy: 0.5383, Val Loss: 1.0812, Val Accuracy: 0.5453
Epoch 41/250, Train Loss: 1.1210, Train Accuracy: 0.5421, Val Loss: 1.0725, Val Accuracy: 0.5474
Epoch 42/250, Train Loss: 1.1128, Train Accuracy: 0.5448, Val Loss: 1.0630, Val Accuracy: 0.5496
Epoch 43/250, Train Loss: 1.1052, Train Accuracy: 0.5491, Val Loss: 1.0546, Val Accuracy: 0.5625
