Epoch 1/250, Train Loss: 1.7946, Train Accuracy: 0.1791, Val Loss: 1.7931, Val Accuracy: 0.1659
Epoch 2/250, Train Loss: 1.7932, Train Accuracy: 0.1861, Val Loss: 1.7917, Val Accuracy: 0.1724
Epoch 3/250, Train Loss: 1.7919, Train Accuracy: 0.1931, Val Loss: 1.7904, Val Accuracy: 0.1746
Epoch 4/250, Train Loss: 1.7905, Train Accuracy: 0.1990, Val Loss: 1.7890, Val Accuracy: 0.1853
Epoch 5/250, Train Loss: 1.7892, Train Accuracy: 0.2044, Val Loss: 1.7877, Val Accuracy: 0.1961
Epoch 6/250, Train Loss: 1.7879, Train Accuracy: 0.2141, Val Loss: 1.7864, Val Accuracy: 0.2112
Epoch 7/250, Train Loss: 1.7865, Train Accuracy: 0.2190, Val Loss: 1.7851, Val Accuracy: 0.2220
Epoch 8/250, Train Loss: 1.7852, Train Accuracy: 0.2265, Val Loss: 1.7837, Val Accuracy: 0.2284
Epoch 9/250, Train Loss: 1.7839, Train Accuracy: 0.2319, Val Loss: 1.7824, Val Accuracy: 0.2328
Epoch 10/250, Train Loss: 1.7826, Train Accuracy: 0.2352, Val Loss: 1.7811, Val Accuracy: 0.2328
Epoch 11/250, Train Loss: 1.7812, Train Accuracy: 0.2389, Val Loss: 1.7798, Val Accuracy: 0.2392
Epoch 12/250, Train Loss: 1.7799, Train Accuracy: 0.2465, Val Loss: 1.7784, Val Accuracy: 0.2414
Epoch 13/250, Train Loss: 1.7785, Train Accuracy: 0.2508, Val Loss: 1.7771, Val Accuracy: 0.2435
Epoch 14/250, Train Loss: 1.7772, Train Accuracy: 0.2535, Val Loss: 1.7758, Val Accuracy: 0.2457
Epoch 15/250, Train Loss: 1.7759, Train Accuracy: 0.2605, Val Loss: 1.7744, Val Accuracy: 0.2543
Epoch 16/250, Train Loss: 1.7745, Train Accuracy: 0.2654, Val Loss: 1.7730, Val Accuracy: 0.2629
Epoch 17/250, Train Loss: 1.7731, Train Accuracy: 0.2691, Val Loss: 1.7716, Val Accuracy: 0.2759
Epoch 18/250, Train Loss: 1.7717, Train Accuracy: 0.2837, Val Loss: 1.7702, Val Accuracy: 0.2866
Epoch 19/250, Train Loss: 1.7703, Train Accuracy: 0.2902, Val Loss: 1.7687, Val Accuracy: 0.2953
Epoch 20/250, Train Loss: 1.7689, Train Accuracy: 0.2972, Val Loss: 1.7673, Val Accuracy: 0.3060
Epoch 21/250, Train Loss: 1.7674, Train Accuracy: 0.3064, Val Loss: 1.7657, Val Accuracy: 0.3125
Epoch 22/250, Train Loss: 1.7659, Train Accuracy: 0.3204, Val Loss: 1.7642, Val Accuracy: 0.3254
Epoch 23/250, Train Loss: 1.7644, Train Accuracy: 0.3323, Val Loss: 1.7627, Val Accuracy: 0.3341
Epoch 24/250, Train Loss: 1.7629, Train Accuracy: 0.3425, Val Loss: 1.7610, Val Accuracy: 0.3427
Epoch 25/250, Train Loss: 1.7613, Train Accuracy: 0.3565, Val Loss: 1.7594, Val Accuracy: 0.3534
Epoch 26/250, Train Loss: 1.7597, Train Accuracy: 0.3641, Val Loss: 1.7577, Val Accuracy: 0.3556
Epoch 27/250, Train Loss: 1.7581, Train Accuracy: 0.3727, Val Loss: 1.7560, Val Accuracy: 0.3599
Epoch 28/250, Train Loss: 1.7565, Train Accuracy: 0.3781, Val Loss: 1.7542, Val Accuracy: 0.3664
Epoch 29/250, Train Loss: 1.7548, Train Accuracy: 0.3900, Val Loss: 1.7525, Val Accuracy: 0.3772
Epoch 30/250, Train Loss: 1.7530, Train Accuracy: 0.4013, Val Loss: 1.7506, Val Accuracy: 0.3901
Epoch 31/250, Train Loss: 1.7513, Train Accuracy: 0.4137, Val Loss: 1.7488, Val Accuracy: 0.4030
Epoch 32/250, Train Loss: 1.7495, Train Accuracy: 0.4196, Val Loss: 1.7469, Val Accuracy: 0.4052
Epoch 33/250, Train Loss: 1.7476, Train Accuracy: 0.4229, Val Loss: 1.7449, Val Accuracy: 0.4181
Epoch 34/250, Train Loss: 1.7457, Train Accuracy: 0.4266, Val Loss: 1.7429, Val Accuracy: 0.4224
Epoch 35/250, Train Loss: 1.7438, Train Accuracy: 0.4272, Val Loss: 1.7409, Val Accuracy: 0.4289
Epoch 36/250, Train Loss: 1.7418, Train Accuracy: 0.4310, Val Loss: 1.7388, Val Accuracy: 0.4332
Epoch 37/250, Train Loss: 1.7398, Train Accuracy: 0.4353, Val Loss: 1.7367, Val Accuracy: 0.4353
Epoch 38/250, Train Loss: 1.7377, Train Accuracy: 0.4358, Val Loss: 1.7344, Val Accuracy: 0.4375
Epoch 39/250, Train Loss: 1.7356, Train Accuracy: 0.4407, Val Loss: 1.7322, Val Accuracy: 0.4418
Epoch 40/250, Train Loss: 1.7334, Train Accuracy: 0.4417, Val Loss: 1.7299, Val Accuracy: 0.4418
Epoch 41/250, Train Loss: 1.7311, Train Accuracy: 0.4466, Val Loss: 1.7275, Val Accuracy: 0.4483
Epoch 42/250, Train Loss: 1.7288, Train Accuracy: 0.4498, Val Loss: 1.7250, Val Accuracy: 0.4591
Epoch 43/250, Train Loss: 1.7264, Train Accuracy: 0.4579, Val Loss: 1.7225, Val Accuracy: 0.4547
Epoch 44/250, Train Loss: 1.7240, Train Accuracy: 0.4601, Val Loss: 1.7199, Val Accuracy: 0.4591
Epoch 45/250, Train Loss: 1.7215, Train Accuracy: 0.4628, Val Loss: 1.7172, Val Accuracy: 0.4634
