Epoch 1/250, Train Loss: 1.7088, Train Accuracy: 0.3484, Val Loss: 1.5595, Val Accuracy: 0.4310
Epoch 2/250, Train Loss: 1.3669, Train Accuracy: 0.4569, Val Loss: 1.1561, Val Accuracy: 0.5302
Epoch 3/250, Train Loss: 1.1131, Train Accuracy: 0.5475, Val Loss: 0.9853, Val Accuracy: 0.5711
Epoch 4/250, Train Loss: 1.0010, Train Accuracy: 0.5847, Val Loss: 0.8970, Val Accuracy: 0.6142
Epoch 5/250, Train Loss: 0.9305, Train Accuracy: 0.6192, Val Loss: 0.8483, Val Accuracy: 0.6444
Epoch 6/250, Train Loss: 0.8689, Train Accuracy: 0.6537, Val Loss: 0.7966, Val Accuracy: 0.6616
Epoch 7/250, Train Loss: 0.8189, Train Accuracy: 0.6823, Val Loss: 0.7734, Val Accuracy: 0.6703
Epoch 8/250, Train Loss: 0.7782, Train Accuracy: 0.7012, Val Loss: 0.7471, Val Accuracy: 0.6897
Epoch 9/250, Train Loss: 0.7398, Train Accuracy: 0.7190, Val Loss: 0.7176, Val Accuracy: 0.7047
Epoch 10/250, Train Loss: 0.7140, Train Accuracy: 0.7292, Val Loss: 0.7008, Val Accuracy: 0.7328
Epoch 11/250, Train Loss: 0.6821, Train Accuracy: 0.7433, Val Loss: 0.6993, Val Accuracy: 0.7004
Epoch 12/250, Train Loss: 0.6670, Train Accuracy: 0.7454, Val Loss: 0.6438, Val Accuracy: 0.7435
Epoch 13/250, Train Loss: 0.6269, Train Accuracy: 0.7621, Val Loss: 0.6422, Val Accuracy: 0.7457
Epoch 14/250, Train Loss: 0.6171, Train Accuracy: 0.7670, Val Loss: 0.6218, Val Accuracy: 0.7522
Epoch 15/250, Train Loss: 0.5988, Train Accuracy: 0.7778, Val Loss: 0.6000, Val Accuracy: 0.7629
Epoch 16/250, Train Loss: 0.5804, Train Accuracy: 0.7697, Val Loss: 0.5873, Val Accuracy: 0.7565
Epoch 17/250, Train Loss: 0.5610, Train Accuracy: 0.7805, Val Loss: 0.5786, Val Accuracy: 0.7802
Epoch 18/250, Train Loss: 0.5566, Train Accuracy: 0.7778, Val Loss: 0.5786, Val Accuracy: 0.7586
Epoch 19/250, Train Loss: 0.5275, Train Accuracy: 0.7940, Val Loss: 0.5511, Val Accuracy: 0.7802
Epoch 20/250, Train Loss: 0.5197, Train Accuracy: 0.8037, Val Loss: 0.5479, Val Accuracy: 0.7823
Epoch 21/250, Train Loss: 0.5005, Train Accuracy: 0.8123, Val Loss: 0.5312, Val Accuracy: 0.8060
Epoch 22/250, Train Loss: 0.4876, Train Accuracy: 0.8139, Val Loss: 0.5256, Val Accuracy: 0.7974
Epoch 23/250, Train Loss: 0.4805, Train Accuracy: 0.8155, Val Loss: 0.5299, Val Accuracy: 0.8017
Epoch 24/250, Train Loss: 0.4625, Train Accuracy: 0.8231, Val Loss: 0.5144, Val Accuracy: 0.8082
Epoch 25/250, Train Loss: 0.4461, Train Accuracy: 0.8279, Val Loss: 0.5049, Val Accuracy: 0.8017
Epoch 26/250, Train Loss: 0.4347, Train Accuracy: 0.8312, Val Loss: 0.4916, Val Accuracy: 0.8060
Epoch 27/250, Train Loss: 0.4206, Train Accuracy: 0.8398, Val Loss: 0.5031, Val Accuracy: 0.7996
Epoch 28/250, Train Loss: 0.4136, Train Accuracy: 0.8425, Val Loss: 0.4869, Val Accuracy: 0.8168
Epoch 29/250, Train Loss: 0.4022, Train Accuracy: 0.8474, Val Loss: 0.4708, Val Accuracy: 0.8190
Epoch 30/250, Train Loss: 0.3857, Train Accuracy: 0.8554, Val Loss: 0.4745, Val Accuracy: 0.8168
Epoch 31/250, Train Loss: 0.3793, Train Accuracy: 0.8511, Val Loss: 0.4560, Val Accuracy: 0.8125
Epoch 32/250, Train Loss: 0.3785, Train Accuracy: 0.8501, Val Loss: 0.4579, Val Accuracy: 0.8276
Epoch 33/250, Train Loss: 0.3602, Train Accuracy: 0.8571, Val Loss: 0.4755, Val Accuracy: 0.7974
Epoch 34/250, Train Loss: 0.3584, Train Accuracy: 0.8614, Val Loss: 0.4521, Val Accuracy: 0.8168
Epoch 35/250, Train Loss: 0.3500, Train Accuracy: 0.8565, Val Loss: 0.4600, Val Accuracy: 0.8168
Epoch 36/250, Train Loss: 0.3376, Train Accuracy: 0.8716, Val Loss: 0.4603, Val Accuracy: 0.8147
Epoch 37/250, Train Loss: 0.3342, Train Accuracy: 0.8706, Val Loss: 0.4401, Val Accuracy: 0.8233
Epoch 38/250, Train Loss: 0.3257, Train Accuracy: 0.8813, Val Loss: 0.4558, Val Accuracy: 0.8254
Epoch 39/250, Train Loss: 0.3151, Train Accuracy: 0.8749, Val Loss: 0.4455, Val Accuracy: 0.8190
Epoch 40/250, Train Loss: 0.3122, Train Accuracy: 0.8813, Val Loss: 0.4365, Val Accuracy: 0.8384
Epoch 41/250, Train Loss: 0.3108, Train Accuracy: 0.8706, Val Loss: 0.4736, Val Accuracy: 0.8233
Epoch 42/250, Train Loss: 0.3053, Train Accuracy: 0.8813, Val Loss: 0.4309, Val Accuracy: 0.8405
Epoch 43/250, Train Loss: 0.2932, Train Accuracy: 0.8932, Val Loss: 0.4375, Val Accuracy: 0.8254
Epoch 44/250, Train Loss: 0.2904, Train Accuracy: 0.8905, Val Loss: 0.4370, Val Accuracy: 0.8384
Epoch 45/250, Train Loss: 0.2877, Train Accuracy: 0.8883, Val Loss: 0.4496, Val Accuracy: 0.8297
Epoch 46/250, Train Loss: 0.2833, Train Accuracy: 0.8959, Val Loss: 0.4472, Val Accuracy: 0.8341
Epoch 47/250, Train Loss: 0.2744, Train Accuracy: 0.8970, Val Loss: 0.4417, Val Accuracy: 0.8297
Epoch 48/250, Train Loss: 0.2648, Train Accuracy: 0.8964, Val Loss: 0.4284, Val Accuracy: 0.8427
Epoch 49/250, Train Loss: 0.2704, Train Accuracy: 0.8954, Val Loss: 0.4398, Val Accuracy: 0.8254
Epoch 50/250, Train Loss: 0.2686, Train Accuracy: 0.8927, Val Loss: 0.4420, Val Accuracy: 0.8319
Epoch 51/250, Train Loss: 0.2588, Train Accuracy: 0.8986, Val Loss: 0.4317, Val Accuracy: 0.8319
Epoch 52/250, Train Loss: 0.2525, Train Accuracy: 0.8997, Val Loss: 0.4400, Val Accuracy: 0.8362
Epoch 53/250, Train Loss: 0.2458, Train Accuracy: 0.9045, Val Loss: 0.4371, Val Accuracy: 0.8297
Epoch 54/250, Train Loss: 0.2461, Train Accuracy: 0.9029, Val Loss: 0.4522, Val Accuracy: 0.8448
Epoch 55/250, Train Loss: 0.2440, Train Accuracy: 0.9013, Val Loss: 0.4367, Val Accuracy: 0.8341
Epoch 56/250, Train Loss: 0.2436, Train Accuracy: 0.9024, Val Loss: 0.4731, Val Accuracy: 0.8319
Epoch 57/250, Train Loss: 0.2279, Train Accuracy: 0.9094, Val Loss: 0.4455, Val Accuracy: 0.8362
Epoch 58/250, Train Loss: 0.2330, Train Accuracy: 0.9083, Val Loss: 0.4527, Val Accuracy: 0.8233
Epoch 59/250, Train Loss: 0.2235, Train Accuracy: 0.9110, Val Loss: 0.4279, Val Accuracy: 0.8427
Epoch 60/250, Train Loss: 0.2184, Train Accuracy: 0.9164, Val Loss: 0.4578, Val Accuracy: 0.8405
Epoch 61/250, Train Loss: 0.2172, Train Accuracy: 0.9142, Val Loss: 0.4601, Val Accuracy: 0.8341
Epoch 62/250, Train Loss: 0.2191, Train Accuracy: 0.9175, Val Loss: 0.4433, Val Accuracy: 0.8405
