Epoch 1/250, Train Loss: 1.5054, Train Accuracy: 0.3824, Val Loss: 1.1568, Val Accuracy: 0.5517
Epoch 2/250, Train Loss: 1.1676, Train Accuracy: 0.5162, Val Loss: 1.0040, Val Accuracy: 0.5603
Epoch 3/250, Train Loss: 1.0965, Train Accuracy: 0.5469, Val Loss: 0.9417, Val Accuracy: 0.6056
Epoch 4/250, Train Loss: 1.0312, Train Accuracy: 0.5728, Val Loss: 0.8891, Val Accuracy: 0.6379
Epoch 5/250, Train Loss: 0.9831, Train Accuracy: 0.6009, Val Loss: 0.8514, Val Accuracy: 0.6379
Epoch 6/250, Train Loss: 0.9388, Train Accuracy: 0.6197, Val Loss: 0.8115, Val Accuracy: 0.6616
Epoch 7/250, Train Loss: 0.9160, Train Accuracy: 0.6375, Val Loss: 0.7951, Val Accuracy: 0.6659
Epoch 8/250, Train Loss: 0.9006, Train Accuracy: 0.6327, Val Loss: 0.7750, Val Accuracy: 0.6853
Epoch 9/250, Train Loss: 0.8708, Train Accuracy: 0.6424, Val Loss: 0.7394, Val Accuracy: 0.6918
Epoch 10/250, Train Loss: 0.8445, Train Accuracy: 0.6650, Val Loss: 0.7231, Val Accuracy: 0.7134
Epoch 11/250, Train Loss: 0.8248, Train Accuracy: 0.6742, Val Loss: 0.7074, Val Accuracy: 0.7091
Epoch 12/250, Train Loss: 0.7953, Train Accuracy: 0.6775, Val Loss: 0.6856, Val Accuracy: 0.7284
Epoch 13/250, Train Loss: 0.7803, Train Accuracy: 0.6899, Val Loss: 0.6735, Val Accuracy: 0.7220
Epoch 14/250, Train Loss: 0.7702, Train Accuracy: 0.7033, Val Loss: 0.6756, Val Accuracy: 0.7284
Epoch 15/250, Train Loss: 0.7733, Train Accuracy: 0.7087, Val Loss: 0.6484, Val Accuracy: 0.7478
Epoch 16/250, Train Loss: 0.7315, Train Accuracy: 0.7023, Val Loss: 0.6383, Val Accuracy: 0.7457
Epoch 17/250, Train Loss: 0.7271, Train Accuracy: 0.7006, Val Loss: 0.6206, Val Accuracy: 0.7694
