Epoch 1/250, Train Loss: 1.7431, Train Accuracy: 0.2616, Val Loss: 1.6487, Val Accuracy: 0.4159
Epoch 2/250, Train Loss: 1.6019, Train Accuracy: 0.3501, Val Loss: 1.4301, Val Accuracy: 0.4612
Epoch 3/250, Train Loss: 1.4306, Train Accuracy: 0.4056, Val Loss: 1.2463, Val Accuracy: 0.4828
Epoch 4/250, Train Loss: 1.3494, Train Accuracy: 0.4207, Val Loss: 1.1588, Val Accuracy: 0.5022
Epoch 5/250, Train Loss: 1.2849, Train Accuracy: 0.4471, Val Loss: 1.1125, Val Accuracy: 0.5194
Epoch 6/250, Train Loss: 1.2637, Train Accuracy: 0.4574, Val Loss: 1.0820, Val Accuracy: 0.5388
Epoch 7/250, Train Loss: 1.2402, Train Accuracy: 0.4703, Val Loss: 1.0625, Val Accuracy: 0.5474
Epoch 8/250, Train Loss: 1.1943, Train Accuracy: 0.5032, Val Loss: 1.0350, Val Accuracy: 0.5539
Epoch 9/250, Train Loss: 1.1754, Train Accuracy: 0.4908, Val Loss: 1.0100, Val Accuracy: 0.5733
Epoch 10/250, Train Loss: 1.1716, Train Accuracy: 0.5043, Val Loss: 0.9953, Val Accuracy: 0.5970
Epoch 11/250, Train Loss: 1.1508, Train Accuracy: 0.5162, Val Loss: 0.9824, Val Accuracy: 0.5884
Epoch 12/250, Train Loss: 1.1290, Train Accuracy: 0.5076, Val Loss: 0.9641, Val Accuracy: 0.5991
Epoch 13/250, Train Loss: 1.1306, Train Accuracy: 0.5280, Val Loss: 0.9508, Val Accuracy: 0.5948
Epoch 14/250, Train Loss: 1.0926, Train Accuracy: 0.5464, Val Loss: 0.9410, Val Accuracy: 0.6099
Epoch 15/250, Train Loss: 1.0910, Train Accuracy: 0.5410, Val Loss: 0.9314, Val Accuracy: 0.6142
Epoch 16/250, Train Loss: 1.0726, Train Accuracy: 0.5431, Val Loss: 0.9131, Val Accuracy: 0.6121
Epoch 17/250, Train Loss: 1.0778, Train Accuracy: 0.5383, Val Loss: 0.9064, Val Accuracy: 0.6164
Epoch 18/250, Train Loss: 1.0440, Train Accuracy: 0.5615, Val Loss: 0.8954, Val Accuracy: 0.6207
Epoch 19/250, Train Loss: 1.0540, Train Accuracy: 0.5583, Val Loss: 0.8908, Val Accuracy: 0.6250
Epoch 20/250, Train Loss: 1.0459, Train Accuracy: 0.5701, Val Loss: 0.8817, Val Accuracy: 0.6207
Epoch 21/250, Train Loss: 1.0253, Train Accuracy: 0.5766, Val Loss: 0.8760, Val Accuracy: 0.6272
Epoch 22/250, Train Loss: 1.0310, Train Accuracy: 0.5750, Val Loss: 0.8725, Val Accuracy: 0.6293
Epoch 23/250, Train Loss: 1.0163, Train Accuracy: 0.5734, Val Loss: 0.8624, Val Accuracy: 0.6228
Epoch 24/250, Train Loss: 1.0184, Train Accuracy: 0.5636, Val Loss: 0.8575, Val Accuracy: 0.6401
Epoch 25/250, Train Loss: 1.0081, Train Accuracy: 0.5685, Val Loss: 0.8544, Val Accuracy: 0.6293
Epoch 26/250, Train Loss: 1.0046, Train Accuracy: 0.5755, Val Loss: 0.8499, Val Accuracy: 0.6379
Epoch 27/250, Train Loss: 0.9696, Train Accuracy: 0.5944, Val Loss: 0.8413, Val Accuracy: 0.6379
Epoch 28/250, Train Loss: 0.9844, Train Accuracy: 0.5836, Val Loss: 0.8394, Val Accuracy: 0.6336
Epoch 29/250, Train Loss: 0.9759, Train Accuracy: 0.5955, Val Loss: 0.8288, Val Accuracy: 0.6401
Epoch 30/250, Train Loss: 0.9662, Train Accuracy: 0.6057, Val Loss: 0.8239, Val Accuracy: 0.6509
Epoch 31/250, Train Loss: 0.9526, Train Accuracy: 0.5965, Val Loss: 0.8185, Val Accuracy: 0.6509
Epoch 32/250, Train Loss: 0.9577, Train Accuracy: 0.6046, Val Loss: 0.8144, Val Accuracy: 0.6487
Epoch 33/250, Train Loss: 0.9483, Train Accuracy: 0.6014, Val Loss: 0.8083, Val Accuracy: 0.6616
Epoch 34/250, Train Loss: 0.9436, Train Accuracy: 0.6100, Val Loss: 0.8112, Val Accuracy: 0.6509
Epoch 35/250, Train Loss: 0.9586, Train Accuracy: 0.5971, Val Loss: 0.8073, Val Accuracy: 0.6487
Epoch 36/250, Train Loss: 0.9560, Train Accuracy: 0.6036, Val Loss: 0.8041, Val Accuracy: 0.6487
Epoch 37/250, Train Loss: 0.9254, Train Accuracy: 0.6321, Val Loss: 0.7970, Val Accuracy: 0.6552
Epoch 38/250, Train Loss: 0.9248, Train Accuracy: 0.6203, Val Loss: 0.7913, Val Accuracy: 0.6509
Epoch 39/250, Train Loss: 0.9450, Train Accuracy: 0.5982, Val Loss: 0.7900, Val Accuracy: 0.6681
Epoch 40/250, Train Loss: 0.9148, Train Accuracy: 0.6030, Val Loss: 0.7855, Val Accuracy: 0.6638
Epoch 41/250, Train Loss: 0.9036, Train Accuracy: 0.6197, Val Loss: 0.7768, Val Accuracy: 0.6638
Epoch 42/250, Train Loss: 0.9235, Train Accuracy: 0.6095, Val Loss: 0.7720, Val Accuracy: 0.6853
Epoch 43/250, Train Loss: 0.9204, Train Accuracy: 0.6305, Val Loss: 0.7730, Val Accuracy: 0.6875
Epoch 44/250, Train Loss: 0.9218, Train Accuracy: 0.6224, Val Loss: 0.7795, Val Accuracy: 0.6940
Epoch 45/250, Train Loss: 0.9189, Train Accuracy: 0.6230, Val Loss: 0.7745, Val Accuracy: 0.6897
Epoch 46/250, Train Loss: 0.9166, Train Accuracy: 0.6149, Val Loss: 0.7656, Val Accuracy: 0.6853
Epoch 47/250, Train Loss: 0.8976, Train Accuracy: 0.6257, Val Loss: 0.7583, Val Accuracy: 0.6853
Epoch 48/250, Train Loss: 0.8768, Train Accuracy: 0.6327, Val Loss: 0.7522, Val Accuracy: 0.6940
Epoch 49/250, Train Loss: 0.8914, Train Accuracy: 0.6305, Val Loss: 0.7514, Val Accuracy: 0.6875
Epoch 50/250, Train Loss: 0.8851, Train Accuracy: 0.6408, Val Loss: 0.7503, Val Accuracy: 0.6918
Epoch 51/250, Train Loss: 0.8693, Train Accuracy: 0.6456, Val Loss: 0.7463, Val Accuracy: 0.6918
Epoch 52/250, Train Loss: 0.8748, Train Accuracy: 0.6359, Val Loss: 0.7431, Val Accuracy: 0.6961
Epoch 53/250, Train Loss: 0.8934, Train Accuracy: 0.6365, Val Loss: 0.7430, Val Accuracy: 0.6853
Epoch 54/250, Train Loss: 0.8776, Train Accuracy: 0.6440, Val Loss: 0.7375, Val Accuracy: 0.6897
Epoch 55/250, Train Loss: 0.8592, Train Accuracy: 0.6440, Val Loss: 0.7319, Val Accuracy: 0.6853
Epoch 56/250, Train Loss: 0.8605, Train Accuracy: 0.6478, Val Loss: 0.7330, Val Accuracy: 0.6940
Epoch 57/250, Train Loss: 0.8863, Train Accuracy: 0.6370, Val Loss: 0.7361, Val Accuracy: 0.7004
Epoch 58/250, Train Loss: 0.8718, Train Accuracy: 0.6375, Val Loss: 0.7334, Val Accuracy: 0.7112
Epoch 59/250, Train Loss: 0.8549, Train Accuracy: 0.6435, Val Loss: 0.7258, Val Accuracy: 0.7047
Epoch 60/250, Train Loss: 0.8617, Train Accuracy: 0.6440, Val Loss: 0.7225, Val Accuracy: 0.7047
Epoch 61/250, Train Loss: 0.8599, Train Accuracy: 0.6467, Val Loss: 0.7289, Val Accuracy: 0.6961
Epoch 62/250, Train Loss: 0.8624, Train Accuracy: 0.6392, Val Loss: 0.7171, Val Accuracy: 0.7155
Epoch 63/250, Train Loss: 0.8507, Train Accuracy: 0.6553, Val Loss: 0.7120, Val Accuracy: 0.7112
Epoch 64/250, Train Loss: 0.8604, Train Accuracy: 0.6483, Val Loss: 0.7145, Val Accuracy: 0.7112
