Epoch 1/250, Train Loss: 1.6168, Train Accuracy: 0.3312, Val Loss: 1.3169, Val Accuracy: 0.4526
Epoch 2/250, Train Loss: 1.2948, Train Accuracy: 0.4579, Val Loss: 1.1084, Val Accuracy: 0.5345
Epoch 3/250, Train Loss: 1.2139, Train Accuracy: 0.4725, Val Loss: 1.0476, Val Accuracy: 0.5453
Epoch 4/250, Train Loss: 1.1723, Train Accuracy: 0.4984, Val Loss: 1.0083, Val Accuracy: 0.5603
Epoch 5/250, Train Loss: 1.1326, Train Accuracy: 0.5334, Val Loss: 0.9709, Val Accuracy: 0.5733
Epoch 6/250, Train Loss: 1.0743, Train Accuracy: 0.5556, Val Loss: 0.9252, Val Accuracy: 0.6121
Epoch 7/250, Train Loss: 1.0725, Train Accuracy: 0.5593, Val Loss: 0.9008, Val Accuracy: 0.6142
Epoch 8/250, Train Loss: 1.0490, Train Accuracy: 0.5734, Val Loss: 0.8809, Val Accuracy: 0.6272
Epoch 9/250, Train Loss: 1.0211, Train Accuracy: 0.5609, Val Loss: 0.8589, Val Accuracy: 0.6401
Epoch 10/250, Train Loss: 0.9815, Train Accuracy: 0.6014, Val Loss: 0.8390, Val Accuracy: 0.6487
Epoch 11/250, Train Loss: 0.9795, Train Accuracy: 0.5879, Val Loss: 0.8222, Val Accuracy: 0.6552
Epoch 12/250, Train Loss: 0.9606, Train Accuracy: 0.6090, Val Loss: 0.8149, Val Accuracy: 0.6724
Epoch 13/250, Train Loss: 0.9512, Train Accuracy: 0.6025, Val Loss: 0.7917, Val Accuracy: 0.6767
Epoch 14/250, Train Loss: 0.9319, Train Accuracy: 0.6214, Val Loss: 0.7947, Val Accuracy: 0.6638
Epoch 15/250, Train Loss: 0.9173, Train Accuracy: 0.6284, Val Loss: 0.7848, Val Accuracy: 0.6552
Epoch 16/250, Train Loss: 0.9098, Train Accuracy: 0.6208, Val Loss: 0.7700, Val Accuracy: 0.6810
Epoch 17/250, Train Loss: 0.8905, Train Accuracy: 0.6446, Val Loss: 0.7649, Val Accuracy: 0.6832
Epoch 18/250, Train Loss: 0.8973, Train Accuracy: 0.6273, Val Loss: 0.7591, Val Accuracy: 0.6853
Epoch 19/250, Train Loss: 0.8859, Train Accuracy: 0.6300, Val Loss: 0.7505, Val Accuracy: 0.6875
Epoch 20/250, Train Loss: 0.8636, Train Accuracy: 0.6526, Val Loss: 0.7350, Val Accuracy: 0.7134
Epoch 21/250, Train Loss: 0.8898, Train Accuracy: 0.6419, Val Loss: 0.7364, Val Accuracy: 0.7134
Epoch 22/250, Train Loss: 0.8524, Train Accuracy: 0.6543, Val Loss: 0.7211, Val Accuracy: 0.7134
Epoch 23/250, Train Loss: 0.8337, Train Accuracy: 0.6667, Val Loss: 0.7118, Val Accuracy: 0.7112
Epoch 24/250, Train Loss: 0.8352, Train Accuracy: 0.6510, Val Loss: 0.7141, Val Accuracy: 0.7112
Epoch 25/250, Train Loss: 0.8190, Train Accuracy: 0.6672, Val Loss: 0.7082, Val Accuracy: 0.7177
Epoch 26/250, Train Loss: 0.8297, Train Accuracy: 0.6613, Val Loss: 0.6977, Val Accuracy: 0.7220
Epoch 27/250, Train Loss: 0.8193, Train Accuracy: 0.6602, Val Loss: 0.6924, Val Accuracy: 0.7306
Epoch 28/250, Train Loss: 0.8006, Train Accuracy: 0.6704, Val Loss: 0.6786, Val Accuracy: 0.7392
