Epoch 1/250, Train Loss: 1.8144, Train Accuracy: 0.1661, Val Loss: 1.8005, Val Accuracy: 0.1142
Epoch 2/250, Train Loss: 1.8117, Train Accuracy: 0.1769, Val Loss: 1.7982, Val Accuracy: 0.1185
Epoch 3/250, Train Loss: 1.8132, Train Accuracy: 0.1580, Val Loss: 1.7960, Val Accuracy: 0.1207
Epoch 4/250, Train Loss: 1.8168, Train Accuracy: 0.1532, Val Loss: 1.7938, Val Accuracy: 0.1207
Epoch 5/250, Train Loss: 1.8053, Train Accuracy: 0.1624, Val Loss: 1.7916, Val Accuracy: 0.1250
Epoch 6/250, Train Loss: 1.8073, Train Accuracy: 0.1645, Val Loss: 1.7894, Val Accuracy: 0.1422
Epoch 7/250, Train Loss: 1.8040, Train Accuracy: 0.1629, Val Loss: 1.7872, Val Accuracy: 0.1487
Epoch 8/250, Train Loss: 1.7979, Train Accuracy: 0.1780, Val Loss: 1.7851, Val Accuracy: 0.1552
Epoch 9/250, Train Loss: 1.7955, Train Accuracy: 0.1629, Val Loss: 1.7831, Val Accuracy: 0.1530
Epoch 10/250, Train Loss: 1.7961, Train Accuracy: 0.1683, Val Loss: 1.7810, Val Accuracy: 0.1595
Epoch 11/250, Train Loss: 1.7982, Train Accuracy: 0.1807, Val Loss: 1.7789, Val Accuracy: 0.1616
Epoch 12/250, Train Loss: 1.7860, Train Accuracy: 0.1996, Val Loss: 1.7767, Val Accuracy: 0.1638
Epoch 13/250, Train Loss: 1.7887, Train Accuracy: 0.1872, Val Loss: 1.7747, Val Accuracy: 0.1724
Epoch 14/250, Train Loss: 1.7823, Train Accuracy: 0.1974, Val Loss: 1.7727, Val Accuracy: 0.1789
Epoch 15/250, Train Loss: 1.7870, Train Accuracy: 0.1985, Val Loss: 1.7706, Val Accuracy: 0.1875
Epoch 16/250, Train Loss: 1.7846, Train Accuracy: 0.2023, Val Loss: 1.7686, Val Accuracy: 0.1940
Epoch 17/250, Train Loss: 1.7829, Train Accuracy: 0.2001, Val Loss: 1.7666, Val Accuracy: 0.2004
Epoch 18/250, Train Loss: 1.7804, Train Accuracy: 0.2077, Val Loss: 1.7646, Val Accuracy: 0.2069
Epoch 19/250, Train Loss: 1.7769, Train Accuracy: 0.2033, Val Loss: 1.7626, Val Accuracy: 0.2112
Epoch 20/250, Train Loss: 1.7755, Train Accuracy: 0.2184, Val Loss: 1.7605, Val Accuracy: 0.2177
Epoch 21/250, Train Loss: 1.7787, Train Accuracy: 0.2087, Val Loss: 1.7585, Val Accuracy: 0.2220
Epoch 22/250, Train Loss: 1.7674, Train Accuracy: 0.2201, Val Loss: 1.7564, Val Accuracy: 0.2241
Epoch 23/250, Train Loss: 1.7709, Train Accuracy: 0.2120, Val Loss: 1.7544, Val Accuracy: 0.2414
Epoch 24/250, Train Loss: 1.7692, Train Accuracy: 0.2260, Val Loss: 1.7523, Val Accuracy: 0.2457
Epoch 25/250, Train Loss: 1.7706, Train Accuracy: 0.2244, Val Loss: 1.7503, Val Accuracy: 0.2608
Epoch 26/250, Train Loss: 1.7579, Train Accuracy: 0.2271, Val Loss: 1.7483, Val Accuracy: 0.2608
Epoch 27/250, Train Loss: 1.7665, Train Accuracy: 0.2249, Val Loss: 1.7463, Val Accuracy: 0.2629
Epoch 28/250, Train Loss: 1.7670, Train Accuracy: 0.2265, Val Loss: 1.7442, Val Accuracy: 0.2672
Epoch 29/250, Train Loss: 1.7616, Train Accuracy: 0.2228, Val Loss: 1.7422, Val Accuracy: 0.2737
Epoch 30/250, Train Loss: 1.7593, Train Accuracy: 0.2179, Val Loss: 1.7402, Val Accuracy: 0.2823
Epoch 31/250, Train Loss: 1.7596, Train Accuracy: 0.2438, Val Loss: 1.7381, Val Accuracy: 0.2888
Epoch 32/250, Train Loss: 1.7562, Train Accuracy: 0.2368, Val Loss: 1.7361, Val Accuracy: 0.3039
Epoch 33/250, Train Loss: 1.7572, Train Accuracy: 0.2373, Val Loss: 1.7340, Val Accuracy: 0.3168
Epoch 34/250, Train Loss: 1.7480, Train Accuracy: 0.2530, Val Loss: 1.7319, Val Accuracy: 0.3254
Epoch 35/250, Train Loss: 1.7468, Train Accuracy: 0.2567, Val Loss: 1.7298, Val Accuracy: 0.3319
Epoch 36/250, Train Loss: 1.7511, Train Accuracy: 0.2470, Val Loss: 1.7278, Val Accuracy: 0.3319
Epoch 37/250, Train Loss: 1.7413, Train Accuracy: 0.2535, Val Loss: 1.7256, Val Accuracy: 0.3362
Epoch 38/250, Train Loss: 1.7417, Train Accuracy: 0.2681, Val Loss: 1.7235, Val Accuracy: 0.3405
Epoch 39/250, Train Loss: 1.7357, Train Accuracy: 0.2708, Val Loss: 1.7213, Val Accuracy: 0.3470
Epoch 40/250, Train Loss: 1.7395, Train Accuracy: 0.2627, Val Loss: 1.7191, Val Accuracy: 0.3491
Epoch 41/250, Train Loss: 1.7366, Train Accuracy: 0.2567, Val Loss: 1.7170, Val Accuracy: 0.3513
Epoch 42/250, Train Loss: 1.7287, Train Accuracy: 0.2643, Val Loss: 1.7147, Val Accuracy: 0.3534
Epoch 43/250, Train Loss: 1.7288, Train Accuracy: 0.2718, Val Loss: 1.7124, Val Accuracy: 0.3578
Epoch 44/250, Train Loss: 1.7298, Train Accuracy: 0.2573, Val Loss: 1.7101, Val Accuracy: 0.3621
Epoch 45/250, Train Loss: 1.7244, Train Accuracy: 0.2724, Val Loss: 1.7078, Val Accuracy: 0.3642
Epoch 46/250, Train Loss: 1.7290, Train Accuracy: 0.2665, Val Loss: 1.7055, Val Accuracy: 0.3642
Epoch 47/250, Train Loss: 1.7237, Train Accuracy: 0.2810, Val Loss: 1.7033, Val Accuracy: 0.3556
Epoch 48/250, Train Loss: 1.7231, Train Accuracy: 0.2762, Val Loss: 1.7010, Val Accuracy: 0.3578
Epoch 49/250, Train Loss: 1.7221, Train Accuracy: 0.2837, Val Loss: 1.6986, Val Accuracy: 0.3599
Epoch 50/250, Train Loss: 1.7200, Train Accuracy: 0.2918, Val Loss: 1.6962, Val Accuracy: 0.3578
Epoch 51/250, Train Loss: 1.7080, Train Accuracy: 0.3020, Val Loss: 1.6938, Val Accuracy: 0.3578
Epoch 52/250, Train Loss: 1.7040, Train Accuracy: 0.3096, Val Loss: 1.6912, Val Accuracy: 0.3578
Epoch 53/250, Train Loss: 1.7109, Train Accuracy: 0.2853, Val Loss: 1.6888, Val Accuracy: 0.3578
Epoch 54/250, Train Loss: 1.7104, Train Accuracy: 0.2886, Val Loss: 1.6863, Val Accuracy: 0.3621
Epoch 55/250, Train Loss: 1.7083, Train Accuracy: 0.3031, Val Loss: 1.6838, Val Accuracy: 0.3642
Epoch 56/250, Train Loss: 1.7070, Train Accuracy: 0.2832, Val Loss: 1.6813, Val Accuracy: 0.3621
Epoch 57/250, Train Loss: 1.7020, Train Accuracy: 0.3004, Val Loss: 1.6788, Val Accuracy: 0.3664
Epoch 58/250, Train Loss: 1.7033, Train Accuracy: 0.2967, Val Loss: 1.6762, Val Accuracy: 0.3685
Epoch 59/250, Train Loss: 1.6917, Train Accuracy: 0.3134, Val Loss: 1.6735, Val Accuracy: 0.3707
Epoch 60/250, Train Loss: 1.6942, Train Accuracy: 0.2983, Val Loss: 1.6708, Val Accuracy: 0.3772
Epoch 61/250, Train Loss: 1.6946, Train Accuracy: 0.3020, Val Loss: 1.6681, Val Accuracy: 0.3793
Epoch 62/250, Train Loss: 1.6842, Train Accuracy: 0.3107, Val Loss: 1.6654, Val Accuracy: 0.3772
Epoch 63/250, Train Loss: 1.6916, Train Accuracy: 0.3053, Val Loss: 1.6628, Val Accuracy: 0.3858
Epoch 64/250, Train Loss: 1.6868, Train Accuracy: 0.3145, Val Loss: 1.6599, Val Accuracy: 0.3858
Epoch 65/250, Train Loss: 1.6808, Train Accuracy: 0.3085, Val Loss: 1.6572, Val Accuracy: 0.3836
