Epoch 1/250, Train Loss: 1.8011, Train Accuracy: 0.1996, Val Loss: 1.7895, Val Accuracy: 0.2328
Epoch 2/250, Train Loss: 1.7893, Train Accuracy: 0.2147, Val Loss: 1.7737, Val Accuracy: 0.2586
Epoch 3/250, Train Loss: 1.7747, Train Accuracy: 0.2346, Val Loss: 1.7583, Val Accuracy: 0.2888
Epoch 4/250, Train Loss: 1.7569, Train Accuracy: 0.2605, Val Loss: 1.7434, Val Accuracy: 0.3341
Epoch 5/250, Train Loss: 1.7451, Train Accuracy: 0.2713, Val Loss: 1.7267, Val Accuracy: 0.4030
Epoch 6/250, Train Loss: 1.7395, Train Accuracy: 0.2810, Val Loss: 1.7104, Val Accuracy: 0.4138
Epoch 7/250, Train Loss: 1.7222, Train Accuracy: 0.3020, Val Loss: 1.6928, Val Accuracy: 0.4332
Epoch 8/250, Train Loss: 1.7012, Train Accuracy: 0.3247, Val Loss: 1.6733, Val Accuracy: 0.4461
Epoch 9/250, Train Loss: 1.6889, Train Accuracy: 0.3366, Val Loss: 1.6533, Val Accuracy: 0.4720
Epoch 10/250, Train Loss: 1.6682, Train Accuracy: 0.3533, Val Loss: 1.6318, Val Accuracy: 0.4871
Epoch 11/250, Train Loss: 1.6480, Train Accuracy: 0.3484, Val Loss: 1.6083, Val Accuracy: 0.5000
Epoch 12/250, Train Loss: 1.6275, Train Accuracy: 0.3894, Val Loss: 1.5818, Val Accuracy: 0.5000
Epoch 13/250, Train Loss: 1.6053, Train Accuracy: 0.3954, Val Loss: 1.5553, Val Accuracy: 0.4978
Epoch 14/250, Train Loss: 1.5905, Train Accuracy: 0.3786, Val Loss: 1.5271, Val Accuracy: 0.5043
Epoch 15/250, Train Loss: 1.5638, Train Accuracy: 0.3964, Val Loss: 1.4986, Val Accuracy: 0.4849
Epoch 16/250, Train Loss: 1.5377, Train Accuracy: 0.4105, Val Loss: 1.4710, Val Accuracy: 0.4741
Epoch 17/250, Train Loss: 1.5162, Train Accuracy: 0.4137, Val Loss: 1.4438, Val Accuracy: 0.4720
Epoch 18/250, Train Loss: 1.4898, Train Accuracy: 0.4137, Val Loss: 1.4171, Val Accuracy: 0.4677
Epoch 19/250, Train Loss: 1.4754, Train Accuracy: 0.4186, Val Loss: 1.3920, Val Accuracy: 0.4698
Epoch 20/250, Train Loss: 1.4554, Train Accuracy: 0.4094, Val Loss: 1.3682, Val Accuracy: 0.4655
Epoch 21/250, Train Loss: 1.4506, Train Accuracy: 0.4078, Val Loss: 1.3469, Val Accuracy: 0.4720
Epoch 22/250, Train Loss: 1.4182, Train Accuracy: 0.4374, Val Loss: 1.3266, Val Accuracy: 0.4763
Epoch 23/250, Train Loss: 1.4072, Train Accuracy: 0.4266, Val Loss: 1.3064, Val Accuracy: 0.4763
Epoch 24/250, Train Loss: 1.3908, Train Accuracy: 0.4439, Val Loss: 1.2882, Val Accuracy: 0.4828
Epoch 25/250, Train Loss: 1.3797, Train Accuracy: 0.4417, Val Loss: 1.2718, Val Accuracy: 0.4849
Epoch 26/250, Train Loss: 1.3537, Train Accuracy: 0.4439, Val Loss: 1.2558, Val Accuracy: 0.4871
Epoch 27/250, Train Loss: 1.3469, Train Accuracy: 0.4455, Val Loss: 1.2408, Val Accuracy: 0.4957
Epoch 28/250, Train Loss: 1.3355, Train Accuracy: 0.4585, Val Loss: 1.2268, Val Accuracy: 0.5043
Epoch 29/250, Train Loss: 1.3219, Train Accuracy: 0.4531, Val Loss: 1.2144, Val Accuracy: 0.5086
Epoch 30/250, Train Loss: 1.3028, Train Accuracy: 0.4552, Val Loss: 1.2020, Val Accuracy: 0.5129
Epoch 31/250, Train Loss: 1.3096, Train Accuracy: 0.4655, Val Loss: 1.1912, Val Accuracy: 0.5216
Epoch 32/250, Train Loss: 1.3152, Train Accuracy: 0.4515, Val Loss: 1.1809, Val Accuracy: 0.5259
Epoch 33/250, Train Loss: 1.3038, Train Accuracy: 0.4622, Val Loss: 1.1717, Val Accuracy: 0.5216
Epoch 34/250, Train Loss: 1.2899, Train Accuracy: 0.4585, Val Loss: 1.1625, Val Accuracy: 0.5345
Epoch 35/250, Train Loss: 1.2777, Train Accuracy: 0.4644, Val Loss: 1.1534, Val Accuracy: 0.5366
Epoch 36/250, Train Loss: 1.2831, Train Accuracy: 0.4622, Val Loss: 1.1451, Val Accuracy: 0.5431
Epoch 37/250, Train Loss: 1.2747, Train Accuracy: 0.4773, Val Loss: 1.1371, Val Accuracy: 0.5517
Epoch 38/250, Train Loss: 1.2634, Train Accuracy: 0.4682, Val Loss: 1.1297, Val Accuracy: 0.5539
Epoch 39/250, Train Loss: 1.2548, Train Accuracy: 0.4676, Val Loss: 1.1229, Val Accuracy: 0.5496
Epoch 40/250, Train Loss: 1.2653, Train Accuracy: 0.4525, Val Loss: 1.1168, Val Accuracy: 0.5517
Epoch 41/250, Train Loss: 1.2525, Train Accuracy: 0.4763, Val Loss: 1.1107, Val Accuracy: 0.5517
Epoch 42/250, Train Loss: 1.2237, Train Accuracy: 0.4784, Val Loss: 1.1044, Val Accuracy: 0.5496
Epoch 43/250, Train Loss: 1.2371, Train Accuracy: 0.4892, Val Loss: 1.0983, Val Accuracy: 0.5517
Epoch 44/250, Train Loss: 1.2439, Train Accuracy: 0.4601, Val Loss: 1.0926, Val Accuracy: 0.5582
Epoch 45/250, Train Loss: 1.2311, Train Accuracy: 0.4881, Val Loss: 1.0872, Val Accuracy: 0.5625
Epoch 46/250, Train Loss: 1.2420, Train Accuracy: 0.4784, Val Loss: 1.0826, Val Accuracy: 0.5690
Epoch 47/250, Train Loss: 1.2155, Train Accuracy: 0.4773, Val Loss: 1.0772, Val Accuracy: 0.5668
Epoch 48/250, Train Loss: 1.2168, Train Accuracy: 0.4865, Val Loss: 1.0725, Val Accuracy: 0.5733
Epoch 49/250, Train Loss: 1.2038, Train Accuracy: 0.4811, Val Loss: 1.0679, Val Accuracy: 0.5819
Epoch 50/250, Train Loss: 1.2259, Train Accuracy: 0.4757, Val Loss: 1.0635, Val Accuracy: 0.5841
