Epoch 1/250, Train Loss: 1.5681, Train Accuracy: 0.3506, Val Loss: 1.2608, Val Accuracy: 0.5022
Epoch 2/250, Train Loss: 1.2428, Train Accuracy: 0.4871, Val Loss: 1.0696, Val Accuracy: 0.5431
Epoch 3/250, Train Loss: 1.1487, Train Accuracy: 0.5151, Val Loss: 1.0052, Val Accuracy: 0.5517
Epoch 4/250, Train Loss: 1.0973, Train Accuracy: 0.5523, Val Loss: 0.9323, Val Accuracy: 0.6185
Epoch 5/250, Train Loss: 1.0500, Train Accuracy: 0.5647, Val Loss: 0.9082, Val Accuracy: 0.5991
Epoch 6/250, Train Loss: 0.9970, Train Accuracy: 0.5976, Val Loss: 0.8645, Val Accuracy: 0.6401
Epoch 7/250, Train Loss: 0.9828, Train Accuracy: 0.5965, Val Loss: 0.8496, Val Accuracy: 0.6530
Epoch 8/250, Train Loss: 0.9514, Train Accuracy: 0.6046, Val Loss: 0.8255, Val Accuracy: 0.6659
Epoch 9/250, Train Loss: 0.9266, Train Accuracy: 0.6192, Val Loss: 0.8186, Val Accuracy: 0.6315
Epoch 10/250, Train Loss: 0.9095, Train Accuracy: 0.6235, Val Loss: 0.7847, Val Accuracy: 0.6875
Epoch 11/250, Train Loss: 0.8909, Train Accuracy: 0.6375, Val Loss: 0.7783, Val Accuracy: 0.6897
Epoch 12/250, Train Loss: 0.8687, Train Accuracy: 0.6305, Val Loss: 0.7527, Val Accuracy: 0.7047
Epoch 13/250, Train Loss: 0.8584, Train Accuracy: 0.6462, Val Loss: 0.7484, Val Accuracy: 0.6961
Epoch 14/250, Train Loss: 0.8397, Train Accuracy: 0.6667, Val Loss: 0.7341, Val Accuracy: 0.6940
Epoch 15/250, Train Loss: 0.8337, Train Accuracy: 0.6607, Val Loss: 0.7343, Val Accuracy: 0.6897
Epoch 16/250, Train Loss: 0.8089, Train Accuracy: 0.6699, Val Loss: 0.7156, Val Accuracy: 0.6961
Epoch 17/250, Train Loss: 0.8044, Train Accuracy: 0.6791, Val Loss: 0.6932, Val Accuracy: 0.7112
Epoch 18/250, Train Loss: 0.7957, Train Accuracy: 0.6807, Val Loss: 0.6850, Val Accuracy: 0.7069
Epoch 19/250, Train Loss: 0.8020, Train Accuracy: 0.6775, Val Loss: 0.6731, Val Accuracy: 0.7263
Epoch 20/250, Train Loss: 0.7800, Train Accuracy: 0.6812, Val Loss: 0.6784, Val Accuracy: 0.7177
Epoch 21/250, Train Loss: 0.7469, Train Accuracy: 0.6909, Val Loss: 0.6550, Val Accuracy: 0.7371
Epoch 22/250, Train Loss: 0.7469, Train Accuracy: 0.7028, Val Loss: 0.6510, Val Accuracy: 0.7371
Epoch 23/250, Train Loss: 0.7226, Train Accuracy: 0.7195, Val Loss: 0.6305, Val Accuracy: 0.7522
Epoch 24/250, Train Loss: 0.7290, Train Accuracy: 0.7104, Val Loss: 0.6294, Val Accuracy: 0.7263
Epoch 25/250, Train Loss: 0.7167, Train Accuracy: 0.7017, Val Loss: 0.6196, Val Accuracy: 0.7435
Epoch 26/250, Train Loss: 0.7178, Train Accuracy: 0.7147, Val Loss: 0.6118, Val Accuracy: 0.7371
Epoch 27/250, Train Loss: 0.7247, Train Accuracy: 0.7157, Val Loss: 0.6092, Val Accuracy: 0.7522
Epoch 28/250, Train Loss: 0.7011, Train Accuracy: 0.7249, Val Loss: 0.5947, Val Accuracy: 0.7586
Epoch 29/250, Train Loss: 0.7042, Train Accuracy: 0.7131, Val Loss: 0.5910, Val Accuracy: 0.7565
Epoch 30/250, Train Loss: 0.6912, Train Accuracy: 0.7174, Val Loss: 0.5895, Val Accuracy: 0.7629
Epoch 31/250, Train Loss: 0.6713, Train Accuracy: 0.7298, Val Loss: 0.5917, Val Accuracy: 0.7457
Epoch 32/250, Train Loss: 0.6698, Train Accuracy: 0.7211, Val Loss: 0.5827, Val Accuracy: 0.7586
Epoch 33/250, Train Loss: 0.6741, Train Accuracy: 0.7260, Val Loss: 0.5802, Val Accuracy: 0.7672
Epoch 34/250, Train Loss: 0.6702, Train Accuracy: 0.7389, Val Loss: 0.5643, Val Accuracy: 0.7629
Epoch 35/250, Train Loss: 0.6570, Train Accuracy: 0.7368, Val Loss: 0.5664, Val Accuracy: 0.7629
Epoch 36/250, Train Loss: 0.6579, Train Accuracy: 0.7546, Val Loss: 0.5660, Val Accuracy: 0.7672
Epoch 37/250, Train Loss: 0.6465, Train Accuracy: 0.7519, Val Loss: 0.5590, Val Accuracy: 0.7522
Epoch 38/250, Train Loss: 0.6302, Train Accuracy: 0.7427, Val Loss: 0.5397, Val Accuracy: 0.7780
Epoch 39/250, Train Loss: 0.6281, Train Accuracy: 0.7530, Val Loss: 0.5419, Val Accuracy: 0.7737
Epoch 40/250, Train Loss: 0.6374, Train Accuracy: 0.7503, Val Loss: 0.5390, Val Accuracy: 0.7931
Epoch 41/250, Train Loss: 0.6306, Train Accuracy: 0.7557, Val Loss: 0.5303, Val Accuracy: 0.7823
Epoch 42/250, Train Loss: 0.6156, Train Accuracy: 0.7643, Val Loss: 0.5202, Val Accuracy: 0.7823
Epoch 43/250, Train Loss: 0.6000, Train Accuracy: 0.7638, Val Loss: 0.5255, Val Accuracy: 0.7866
Epoch 44/250, Train Loss: 0.6165, Train Accuracy: 0.7508, Val Loss: 0.5334, Val Accuracy: 0.7802
Epoch 45/250, Train Loss: 0.6065, Train Accuracy: 0.7535, Val Loss: 0.5257, Val Accuracy: 0.7888
Epoch 46/250, Train Loss: 0.6026, Train Accuracy: 0.7611, Val Loss: 0.5216, Val Accuracy: 0.7780
Epoch 47/250, Train Loss: 0.5860, Train Accuracy: 0.7643, Val Loss: 0.5077, Val Accuracy: 0.8017
Epoch 48/250, Train Loss: 0.5897, Train Accuracy: 0.7627, Val Loss: 0.5050, Val Accuracy: 0.7866
Epoch 49/250, Train Loss: 0.5956, Train Accuracy: 0.7643, Val Loss: 0.5037, Val Accuracy: 0.7996
Epoch 50/250, Train Loss: 0.5656, Train Accuracy: 0.7735, Val Loss: 0.4948, Val Accuracy: 0.7974
Epoch 51/250, Train Loss: 0.5997, Train Accuracy: 0.7530, Val Loss: 0.4962, Val Accuracy: 0.7974
Epoch 52/250, Train Loss: 0.5851, Train Accuracy: 0.7600, Val Loss: 0.4908, Val Accuracy: 0.7909
Epoch 53/250, Train Loss: 0.5876, Train Accuracy: 0.7589, Val Loss: 0.4908, Val Accuracy: 0.8017
Epoch 54/250, Train Loss: 0.5727, Train Accuracy: 0.7670, Val Loss: 0.4933, Val Accuracy: 0.7974
Epoch 55/250, Train Loss: 0.5552, Train Accuracy: 0.7848, Val Loss: 0.4911, Val Accuracy: 0.8039
