Epoch 1/250, Train Loss: 1.8000, Train Accuracy: 0.1748, Val Loss: 1.7913, Val Accuracy: 0.2112
Epoch 2/250, Train Loss: 1.7920, Train Accuracy: 0.1845, Val Loss: 1.7885, Val Accuracy: 0.2198
Epoch 3/250, Train Loss: 1.7902, Train Accuracy: 0.1904, Val Loss: 1.7856, Val Accuracy: 0.2241
Epoch 4/250, Train Loss: 1.7907, Train Accuracy: 0.1861, Val Loss: 1.7829, Val Accuracy: 0.2284
Epoch 5/250, Train Loss: 1.7907, Train Accuracy: 0.1893, Val Loss: 1.7801, Val Accuracy: 0.2349
Epoch 6/250, Train Loss: 1.7891, Train Accuracy: 0.1980, Val Loss: 1.7775, Val Accuracy: 0.2371
Epoch 7/250, Train Loss: 1.7841, Train Accuracy: 0.2066, Val Loss: 1.7749, Val Accuracy: 0.2371
Epoch 8/250, Train Loss: 1.7815, Train Accuracy: 0.1969, Val Loss: 1.7722, Val Accuracy: 0.2457
Epoch 9/250, Train Loss: 1.7799, Train Accuracy: 0.2238, Val Loss: 1.7696, Val Accuracy: 0.2522
Epoch 10/250, Train Loss: 1.7759, Train Accuracy: 0.2249, Val Loss: 1.7670, Val Accuracy: 0.2629
Epoch 11/250, Train Loss: 1.7718, Train Accuracy: 0.2314, Val Loss: 1.7644, Val Accuracy: 0.2716
Epoch 12/250, Train Loss: 1.7723, Train Accuracy: 0.2357, Val Loss: 1.7618, Val Accuracy: 0.2780
Epoch 13/250, Train Loss: 1.7714, Train Accuracy: 0.2233, Val Loss: 1.7591, Val Accuracy: 0.2845
Epoch 14/250, Train Loss: 1.7671, Train Accuracy: 0.2319, Val Loss: 1.7565, Val Accuracy: 0.2909
Epoch 15/250, Train Loss: 1.7613, Train Accuracy: 0.2573, Val Loss: 1.7539, Val Accuracy: 0.2996
Epoch 16/250, Train Loss: 1.7613, Train Accuracy: 0.2524, Val Loss: 1.7513, Val Accuracy: 0.3017
Epoch 17/250, Train Loss: 1.7571, Train Accuracy: 0.2697, Val Loss: 1.7486, Val Accuracy: 0.3147
Epoch 18/250, Train Loss: 1.7581, Train Accuracy: 0.2665, Val Loss: 1.7459, Val Accuracy: 0.3276
Epoch 19/250, Train Loss: 1.7545, Train Accuracy: 0.2621, Val Loss: 1.7432, Val Accuracy: 0.3341
Epoch 20/250, Train Loss: 1.7524, Train Accuracy: 0.2729, Val Loss: 1.7406, Val Accuracy: 0.3341
Epoch 21/250, Train Loss: 1.7495, Train Accuracy: 0.2756, Val Loss: 1.7379, Val Accuracy: 0.3405
Epoch 22/250, Train Loss: 1.7464, Train Accuracy: 0.2896, Val Loss: 1.7352, Val Accuracy: 0.3513
Epoch 23/250, Train Loss: 1.7459, Train Accuracy: 0.2886, Val Loss: 1.7325, Val Accuracy: 0.3599
Epoch 24/250, Train Loss: 1.7426, Train Accuracy: 0.2929, Val Loss: 1.7297, Val Accuracy: 0.3664
Epoch 25/250, Train Loss: 1.7415, Train Accuracy: 0.3112, Val Loss: 1.7268, Val Accuracy: 0.3685
Epoch 26/250, Train Loss: 1.7347, Train Accuracy: 0.3096, Val Loss: 1.7240, Val Accuracy: 0.3815
Epoch 27/250, Train Loss: 1.7347, Train Accuracy: 0.3074, Val Loss: 1.7211, Val Accuracy: 0.3944
Epoch 28/250, Train Loss: 1.7293, Train Accuracy: 0.3182, Val Loss: 1.7182, Val Accuracy: 0.4030
Epoch 29/250, Train Loss: 1.7301, Train Accuracy: 0.3323, Val Loss: 1.7153, Val Accuracy: 0.4138
Epoch 30/250, Train Loss: 1.7221, Train Accuracy: 0.3225, Val Loss: 1.7123, Val Accuracy: 0.4138
Epoch 31/250, Train Loss: 1.7223, Train Accuracy: 0.3376, Val Loss: 1.7092, Val Accuracy: 0.4138
Epoch 32/250, Train Loss: 1.7203, Train Accuracy: 0.3258, Val Loss: 1.7062, Val Accuracy: 0.4246
Epoch 33/250, Train Loss: 1.7156, Train Accuracy: 0.3403, Val Loss: 1.7032, Val Accuracy: 0.4267
Epoch 34/250, Train Loss: 1.7131, Train Accuracy: 0.3511, Val Loss: 1.7000, Val Accuracy: 0.4267
Epoch 35/250, Train Loss: 1.7115, Train Accuracy: 0.3436, Val Loss: 1.6969, Val Accuracy: 0.4289
Epoch 36/250, Train Loss: 1.7077, Train Accuracy: 0.3387, Val Loss: 1.6937, Val Accuracy: 0.4289
Epoch 37/250, Train Loss: 1.7020, Train Accuracy: 0.3549, Val Loss: 1.6904, Val Accuracy: 0.4289
Epoch 38/250, Train Loss: 1.6998, Train Accuracy: 0.3587, Val Loss: 1.6872, Val Accuracy: 0.4289
Epoch 39/250, Train Loss: 1.7031, Train Accuracy: 0.3344, Val Loss: 1.6839, Val Accuracy: 0.4310
Epoch 40/250, Train Loss: 1.6945, Train Accuracy: 0.3625, Val Loss: 1.6806, Val Accuracy: 0.4375
