Epoch 1/250, Train Loss: 1.7960, Train Accuracy: 0.1645, Val Loss: 1.7865, Val Accuracy: 0.2241
Epoch 2/250, Train Loss: 1.7845, Train Accuracy: 0.1866, Val Loss: 1.7793, Val Accuracy: 0.2371
Epoch 3/250, Train Loss: 1.7787, Train Accuracy: 0.1845, Val Loss: 1.7723, Val Accuracy: 0.2328
Epoch 4/250, Train Loss: 1.7708, Train Accuracy: 0.1974, Val Loss: 1.7649, Val Accuracy: 0.2306
Epoch 5/250, Train Loss: 1.7642, Train Accuracy: 0.2174, Val Loss: 1.7570, Val Accuracy: 0.2500
Epoch 6/250, Train Loss: 1.7546, Train Accuracy: 0.2314, Val Loss: 1.7481, Val Accuracy: 0.2716
Epoch 7/250, Train Loss: 1.7523, Train Accuracy: 0.2400, Val Loss: 1.7386, Val Accuracy: 0.2780
Epoch 8/250, Train Loss: 1.7356, Train Accuracy: 0.2551, Val Loss: 1.7271, Val Accuracy: 0.3039
Epoch 9/250, Train Loss: 1.7348, Train Accuracy: 0.2681, Val Loss: 1.7152, Val Accuracy: 0.3125
Epoch 10/250, Train Loss: 1.7230, Train Accuracy: 0.2772, Val Loss: 1.7017, Val Accuracy: 0.3470
Epoch 11/250, Train Loss: 1.7121, Train Accuracy: 0.2994, Val Loss: 1.6868, Val Accuracy: 0.3793
Epoch 12/250, Train Loss: 1.6929, Train Accuracy: 0.3123, Val Loss: 1.6704, Val Accuracy: 0.3944
Epoch 13/250, Train Loss: 1.6751, Train Accuracy: 0.3198, Val Loss: 1.6512, Val Accuracy: 0.4095
Epoch 14/250, Train Loss: 1.6588, Train Accuracy: 0.3398, Val Loss: 1.6300, Val Accuracy: 0.4203
Epoch 15/250, Train Loss: 1.6530, Train Accuracy: 0.3366, Val Loss: 1.6074, Val Accuracy: 0.4375
Epoch 16/250, Train Loss: 1.6299, Train Accuracy: 0.3479, Val Loss: 1.5838, Val Accuracy: 0.4547
Epoch 17/250, Train Loss: 1.6095, Train Accuracy: 0.3598, Val Loss: 1.5592, Val Accuracy: 0.4698
Epoch 18/250, Train Loss: 1.5856, Train Accuracy: 0.3716, Val Loss: 1.5328, Val Accuracy: 0.4935
Epoch 19/250, Train Loss: 1.5668, Train Accuracy: 0.3641, Val Loss: 1.5070, Val Accuracy: 0.4634
Epoch 20/250, Train Loss: 1.5511, Train Accuracy: 0.3749, Val Loss: 1.4818, Val Accuracy: 0.4612
Epoch 21/250, Train Loss: 1.5253, Train Accuracy: 0.3722, Val Loss: 1.4578, Val Accuracy: 0.4483
Epoch 22/250, Train Loss: 1.5008, Train Accuracy: 0.3792, Val Loss: 1.4352, Val Accuracy: 0.4461
Epoch 23/250, Train Loss: 1.4871, Train Accuracy: 0.3959, Val Loss: 1.4148, Val Accuracy: 0.4353
Epoch 24/250, Train Loss: 1.4751, Train Accuracy: 0.3932, Val Loss: 1.3952, Val Accuracy: 0.4353
Epoch 25/250, Train Loss: 1.4621, Train Accuracy: 0.3824, Val Loss: 1.3791, Val Accuracy: 0.4375
Epoch 26/250, Train Loss: 1.4409, Train Accuracy: 0.4040, Val Loss: 1.3636, Val Accuracy: 0.4353
Epoch 27/250, Train Loss: 1.4470, Train Accuracy: 0.3754, Val Loss: 1.3501, Val Accuracy: 0.4310
Epoch 28/250, Train Loss: 1.4270, Train Accuracy: 0.3932, Val Loss: 1.3377, Val Accuracy: 0.4310
Epoch 29/250, Train Loss: 1.4135, Train Accuracy: 0.4029, Val Loss: 1.3257, Val Accuracy: 0.4289
Epoch 30/250, Train Loss: 1.4198, Train Accuracy: 0.3932, Val Loss: 1.3155, Val Accuracy: 0.4289
Epoch 31/250, Train Loss: 1.3965, Train Accuracy: 0.3932, Val Loss: 1.3057, Val Accuracy: 0.4332
Epoch 32/250, Train Loss: 1.3890, Train Accuracy: 0.4072, Val Loss: 1.2961, Val Accuracy: 0.4375
