Epoch 1/250, Train Loss: 1.8087, Train Accuracy: 0.1737, Val Loss: 1.7962, Val Accuracy: 0.1810
Epoch 2/250, Train Loss: 1.8129, Train Accuracy: 0.1521, Val Loss: 1.7947, Val Accuracy: 0.1832
Epoch 3/250, Train Loss: 1.8086, Train Accuracy: 0.1586, Val Loss: 1.7931, Val Accuracy: 0.1853
Epoch 4/250, Train Loss: 1.8044, Train Accuracy: 0.1726, Val Loss: 1.7916, Val Accuracy: 0.1853
Epoch 5/250, Train Loss: 1.8070, Train Accuracy: 0.1640, Val Loss: 1.7902, Val Accuracy: 0.1875
Epoch 6/250, Train Loss: 1.7983, Train Accuracy: 0.1807, Val Loss: 1.7887, Val Accuracy: 0.1875
Epoch 7/250, Train Loss: 1.7986, Train Accuracy: 0.1699, Val Loss: 1.7872, Val Accuracy: 0.1897
Epoch 8/250, Train Loss: 1.7954, Train Accuracy: 0.1710, Val Loss: 1.7857, Val Accuracy: 0.1918
Epoch 9/250, Train Loss: 1.7987, Train Accuracy: 0.1785, Val Loss: 1.7843, Val Accuracy: 0.1918
Epoch 10/250, Train Loss: 1.7943, Train Accuracy: 0.1866, Val Loss: 1.7828, Val Accuracy: 0.1875
Epoch 11/250, Train Loss: 1.7943, Train Accuracy: 0.1866, Val Loss: 1.7814, Val Accuracy: 0.1897
Epoch 12/250, Train Loss: 1.7927, Train Accuracy: 0.1866, Val Loss: 1.7799, Val Accuracy: 0.1918
Epoch 13/250, Train Loss: 1.7949, Train Accuracy: 0.1866, Val Loss: 1.7784, Val Accuracy: 0.1918
Epoch 14/250, Train Loss: 1.7894, Train Accuracy: 0.1677, Val Loss: 1.7770, Val Accuracy: 0.1897
Epoch 15/250, Train Loss: 1.7898, Train Accuracy: 0.1872, Val Loss: 1.7756, Val Accuracy: 0.1961
Epoch 16/250, Train Loss: 1.7951, Train Accuracy: 0.1899, Val Loss: 1.7742, Val Accuracy: 0.1983
Epoch 17/250, Train Loss: 1.7912, Train Accuracy: 0.1942, Val Loss: 1.7728, Val Accuracy: 0.2026
Epoch 18/250, Train Loss: 1.7843, Train Accuracy: 0.1877, Val Loss: 1.7714, Val Accuracy: 0.2026
