Epoch 1/250, Train Loss: 1.5753, Train Accuracy: 0.3716, Val Loss: 1.2491, Val Accuracy: 0.5474
Epoch 2/250, Train Loss: 1.2565, Train Accuracy: 0.4671, Val Loss: 1.0845, Val Accuracy: 0.5603
Epoch 3/250, Train Loss: 1.1749, Train Accuracy: 0.4984, Val Loss: 0.9923, Val Accuracy: 0.5819
Epoch 4/250, Train Loss: 1.0898, Train Accuracy: 0.5674, Val Loss: 0.9330, Val Accuracy: 0.6228
Epoch 5/250, Train Loss: 1.0654, Train Accuracy: 0.5588, Val Loss: 0.9072, Val Accuracy: 0.6509
Epoch 6/250, Train Loss: 0.9997, Train Accuracy: 0.5755, Val Loss: 0.8816, Val Accuracy: 0.6336
Epoch 7/250, Train Loss: 0.9625, Train Accuracy: 0.6100, Val Loss: 0.8421, Val Accuracy: 0.6552
Epoch 8/250, Train Loss: 0.9566, Train Accuracy: 0.6025, Val Loss: 0.8123, Val Accuracy: 0.6746
Epoch 9/250, Train Loss: 0.9260, Train Accuracy: 0.6214, Val Loss: 0.7923, Val Accuracy: 0.6961
Epoch 10/250, Train Loss: 0.9053, Train Accuracy: 0.6305, Val Loss: 0.7704, Val Accuracy: 0.7047
Epoch 11/250, Train Loss: 0.8724, Train Accuracy: 0.6516, Val Loss: 0.7573, Val Accuracy: 0.7026
Epoch 12/250, Train Loss: 0.8599, Train Accuracy: 0.6661, Val Loss: 0.7460, Val Accuracy: 0.7047
Epoch 13/250, Train Loss: 0.8538, Train Accuracy: 0.6564, Val Loss: 0.7346, Val Accuracy: 0.7198
Epoch 14/250, Train Loss: 0.8436, Train Accuracy: 0.6650, Val Loss: 0.7193, Val Accuracy: 0.7134
Epoch 15/250, Train Loss: 0.8187, Train Accuracy: 0.6855, Val Loss: 0.7105, Val Accuracy: 0.7134
Epoch 16/250, Train Loss: 0.7683, Train Accuracy: 0.7044, Val Loss: 0.6891, Val Accuracy: 0.7284
Epoch 17/250, Train Loss: 0.7885, Train Accuracy: 0.6828, Val Loss: 0.6852, Val Accuracy: 0.7220
Epoch 18/250, Train Loss: 0.7787, Train Accuracy: 0.6947, Val Loss: 0.6658, Val Accuracy: 0.7349
Epoch 19/250, Train Loss: 0.7697, Train Accuracy: 0.7039, Val Loss: 0.6633, Val Accuracy: 0.7457
Epoch 20/250, Train Loss: 0.7510, Train Accuracy: 0.6980, Val Loss: 0.6569, Val Accuracy: 0.7435
Epoch 21/250, Train Loss: 0.7391, Train Accuracy: 0.7174, Val Loss: 0.6403, Val Accuracy: 0.7565
Epoch 22/250, Train Loss: 0.7497, Train Accuracy: 0.7087, Val Loss: 0.6297, Val Accuracy: 0.7522
Epoch 23/250, Train Loss: 0.7447, Train Accuracy: 0.7044, Val Loss: 0.6237, Val Accuracy: 0.7565
Epoch 24/250, Train Loss: 0.7244, Train Accuracy: 0.7206, Val Loss: 0.6305, Val Accuracy: 0.7500
Epoch 25/250, Train Loss: 0.6998, Train Accuracy: 0.7271, Val Loss: 0.6128, Val Accuracy: 0.7672
Epoch 26/250, Train Loss: 0.6963, Train Accuracy: 0.7260, Val Loss: 0.6106, Val Accuracy: 0.7586
Epoch 27/250, Train Loss: 0.7017, Train Accuracy: 0.7217, Val Loss: 0.5970, Val Accuracy: 0.7716
Epoch 28/250, Train Loss: 0.6934, Train Accuracy: 0.7217, Val Loss: 0.5964, Val Accuracy: 0.7586
Epoch 29/250, Train Loss: 0.6902, Train Accuracy: 0.7298, Val Loss: 0.5866, Val Accuracy: 0.7651
Epoch 30/250, Train Loss: 0.6747, Train Accuracy: 0.7352, Val Loss: 0.5930, Val Accuracy: 0.7565
Epoch 31/250, Train Loss: 0.6630, Train Accuracy: 0.7319, Val Loss: 0.5723, Val Accuracy: 0.7759
Epoch 32/250, Train Loss: 0.6644, Train Accuracy: 0.7335, Val Loss: 0.5693, Val Accuracy: 0.7759
Epoch 33/250, Train Loss: 0.6458, Train Accuracy: 0.7438, Val Loss: 0.5586, Val Accuracy: 0.7845
Epoch 34/250, Train Loss: 0.6713, Train Accuracy: 0.7368, Val Loss: 0.5712, Val Accuracy: 0.7737
Epoch 35/250, Train Loss: 0.6562, Train Accuracy: 0.7346, Val Loss: 0.5737, Val Accuracy: 0.7651
Epoch 36/250, Train Loss: 0.6390, Train Accuracy: 0.7611, Val Loss: 0.5496, Val Accuracy: 0.7845
Epoch 37/250, Train Loss: 0.6297, Train Accuracy: 0.7524, Val Loss: 0.5406, Val Accuracy: 0.7866
Epoch 38/250, Train Loss: 0.6394, Train Accuracy: 0.7621, Val Loss: 0.5432, Val Accuracy: 0.7931
Epoch 39/250, Train Loss: 0.6367, Train Accuracy: 0.7578, Val Loss: 0.5407, Val Accuracy: 0.7737
Epoch 40/250, Train Loss: 0.6251, Train Accuracy: 0.7476, Val Loss: 0.5306, Val Accuracy: 0.7866
Epoch 41/250, Train Loss: 0.6011, Train Accuracy: 0.7611, Val Loss: 0.5279, Val Accuracy: 0.8017
Epoch 42/250, Train Loss: 0.6054, Train Accuracy: 0.7616, Val Loss: 0.5216, Val Accuracy: 0.7974
Epoch 43/250, Train Loss: 0.5997, Train Accuracy: 0.7600, Val Loss: 0.5275, Val Accuracy: 0.7974
Epoch 44/250, Train Loss: 0.5827, Train Accuracy: 0.7681, Val Loss: 0.5166, Val Accuracy: 0.7974
Epoch 45/250, Train Loss: 0.5962, Train Accuracy: 0.7697, Val Loss: 0.5121, Val Accuracy: 0.8039
Epoch 46/250, Train Loss: 0.5959, Train Accuracy: 0.7654, Val Loss: 0.5204, Val Accuracy: 0.7974
Epoch 47/250, Train Loss: 0.5909, Train Accuracy: 0.7557, Val Loss: 0.5047, Val Accuracy: 0.8082
Epoch 48/250, Train Loss: 0.5701, Train Accuracy: 0.7772, Val Loss: 0.5065, Val Accuracy: 0.8082
Epoch 49/250, Train Loss: 0.5675, Train Accuracy: 0.7756, Val Loss: 0.5122, Val Accuracy: 0.7953
Epoch 50/250, Train Loss: 0.5690, Train Accuracy: 0.7718, Val Loss: 0.4995, Val Accuracy: 0.7996
Epoch 51/250, Train Loss: 0.5703, Train Accuracy: 0.7848, Val Loss: 0.4937, Val Accuracy: 0.8125
Epoch 52/250, Train Loss: 0.5412, Train Accuracy: 0.7821, Val Loss: 0.4956, Val Accuracy: 0.7996
Epoch 53/250, Train Loss: 0.5453, Train Accuracy: 0.7826, Val Loss: 0.4931, Val Accuracy: 0.8060
Epoch 54/250, Train Loss: 0.5648, Train Accuracy: 0.7799, Val Loss: 0.4913, Val Accuracy: 0.7974
Epoch 55/250, Train Loss: 0.5690, Train Accuracy: 0.7675, Val Loss: 0.4868, Val Accuracy: 0.8017
Epoch 56/250, Train Loss: 0.5406, Train Accuracy: 0.7767, Val Loss: 0.4815, Val Accuracy: 0.8060
Epoch 57/250, Train Loss: 0.5700, Train Accuracy: 0.7697, Val Loss: 0.4819, Val Accuracy: 0.8060
Epoch 58/250, Train Loss: 0.5414, Train Accuracy: 0.7740, Val Loss: 0.4878, Val Accuracy: 0.8039
Epoch 59/250, Train Loss: 0.5397, Train Accuracy: 0.7923, Val Loss: 0.4793, Val Accuracy: 0.8103
Epoch 60/250, Train Loss: 0.5486, Train Accuracy: 0.7848, Val Loss: 0.4826, Val Accuracy: 0.8039
Epoch 61/250, Train Loss: 0.5323, Train Accuracy: 0.7891, Val Loss: 0.4825, Val Accuracy: 0.8082
Epoch 62/250, Train Loss: 0.5131, Train Accuracy: 0.7940, Val Loss: 0.4715, Val Accuracy: 0.8103
Epoch 63/250, Train Loss: 0.5186, Train Accuracy: 0.7907, Val Loss: 0.4727, Val Accuracy: 0.8103
Epoch 64/250, Train Loss: 0.5255, Train Accuracy: 0.7843, Val Loss: 0.4676, Val Accuracy: 0.8082
Epoch 65/250, Train Loss: 0.5192, Train Accuracy: 0.7902, Val Loss: 0.4688, Val Accuracy: 0.7996
Epoch 66/250, Train Loss: 0.5259, Train Accuracy: 0.7864, Val Loss: 0.4659, Val Accuracy: 0.8039
Epoch 67/250, Train Loss: 0.4972, Train Accuracy: 0.7940, Val Loss: 0.4601, Val Accuracy: 0.8168
Epoch 68/250, Train Loss: 0.5286, Train Accuracy: 0.7934, Val Loss: 0.4649, Val Accuracy: 0.8060
Epoch 69/250, Train Loss: 0.5407, Train Accuracy: 0.7859, Val Loss: 0.4663, Val Accuracy: 0.8190
Epoch 70/250, Train Loss: 0.5177, Train Accuracy: 0.7853, Val Loss: 0.4685, Val Accuracy: 0.8168
Epoch 71/250, Train Loss: 0.5110, Train Accuracy: 0.7972, Val Loss: 0.4592, Val Accuracy: 0.7974
Epoch 72/250, Train Loss: 0.5032, Train Accuracy: 0.7907, Val Loss: 0.4587, Val Accuracy: 0.8147
Epoch 73/250, Train Loss: 0.4932, Train Accuracy: 0.8015, Val Loss: 0.4485, Val Accuracy: 0.8125
Epoch 74/250, Train Loss: 0.4998, Train Accuracy: 0.8047, Val Loss: 0.4605, Val Accuracy: 0.8082
Epoch 75/250, Train Loss: 0.4856, Train Accuracy: 0.8058, Val Loss: 0.4533, Val Accuracy: 0.8125
Epoch 76/250, Train Loss: 0.4858, Train Accuracy: 0.7972, Val Loss: 0.4450, Val Accuracy: 0.8125
Epoch 77/250, Train Loss: 0.4990, Train Accuracy: 0.8042, Val Loss: 0.4516, Val Accuracy: 0.8125
Epoch 78/250, Train Loss: 0.4962, Train Accuracy: 0.7972, Val Loss: 0.4726, Val Accuracy: 0.7953
Epoch 79/250, Train Loss: 0.4978, Train Accuracy: 0.7967, Val Loss: 0.4573, Val Accuracy: 0.8168
Epoch 80/250, Train Loss: 0.4950, Train Accuracy: 0.7994, Val Loss: 0.4491, Val Accuracy: 0.8017
