Epoch 1/250, Train Loss: 1.7887, Train Accuracy: 0.1704, Val Loss: 1.7554, Val Accuracy: 0.1681
Epoch 2/250, Train Loss: 1.7639, Train Accuracy: 0.1796, Val Loss: 1.7462, Val Accuracy: 0.1875
Epoch 3/250, Train Loss: 1.7435, Train Accuracy: 0.1996, Val Loss: 1.7215, Val Accuracy: 0.2112
Epoch 4/250, Train Loss: 1.7169, Train Accuracy: 0.2098, Val Loss: 1.6984, Val Accuracy: 0.2263
Epoch 5/250, Train Loss: 1.6991, Train Accuracy: 0.2152, Val Loss: 1.6763, Val Accuracy: 0.2284
Epoch 6/250, Train Loss: 1.6771, Train Accuracy: 0.2335, Val Loss: 1.6553, Val Accuracy: 0.2608
Epoch 7/250, Train Loss: 1.6569, Train Accuracy: 0.2562, Val Loss: 1.6296, Val Accuracy: 0.2888
Epoch 8/250, Train Loss: 1.6346, Train Accuracy: 0.2702, Val Loss: 1.6065, Val Accuracy: 0.3190
Epoch 9/250, Train Loss: 1.6143, Train Accuracy: 0.2810, Val Loss: 1.5855, Val Accuracy: 0.3254
Epoch 10/250, Train Loss: 1.5946, Train Accuracy: 0.3074, Val Loss: 1.5706, Val Accuracy: 0.3513
Epoch 11/250, Train Loss: 1.5786, Train Accuracy: 0.3193, Val Loss: 1.5491, Val Accuracy: 0.3836
Epoch 12/250, Train Loss: 1.5588, Train Accuracy: 0.3441, Val Loss: 1.5328, Val Accuracy: 0.3879
Epoch 13/250, Train Loss: 1.5418, Train Accuracy: 0.3657, Val Loss: 1.5115, Val Accuracy: 0.4030
Epoch 14/250, Train Loss: 1.5237, Train Accuracy: 0.3738, Val Loss: 1.4960, Val Accuracy: 0.4138
Epoch 15/250, Train Loss: 1.5124, Train Accuracy: 0.3797, Val Loss: 1.4791, Val Accuracy: 0.4353
Epoch 16/250, Train Loss: 1.4940, Train Accuracy: 0.4029, Val Loss: 1.4656, Val Accuracy: 0.4526
Epoch 17/250, Train Loss: 1.4790, Train Accuracy: 0.4245, Val Loss: 1.4537, Val Accuracy: 0.4612
Epoch 18/250, Train Loss: 1.4653, Train Accuracy: 0.4358, Val Loss: 1.4312, Val Accuracy: 0.4720
Epoch 19/250, Train Loss: 1.4517, Train Accuracy: 0.4644, Val Loss: 1.4225, Val Accuracy: 0.4871
Epoch 20/250, Train Loss: 1.4407, Train Accuracy: 0.4569, Val Loss: 1.4166, Val Accuracy: 0.5000
Epoch 21/250, Train Loss: 1.4273, Train Accuracy: 0.4881, Val Loss: 1.4044, Val Accuracy: 0.5151
