Epoch 1/250, Train Loss: 1.8584, Train Accuracy: 0.1877, Val Loss: 1.8394, Val Accuracy: 0.1767
Epoch 2/250, Train Loss: 1.8327, Train Accuracy: 0.2120, Val Loss: 1.8401, Val Accuracy: 0.1918
Epoch 3/250, Train Loss: 1.8081, Train Accuracy: 0.2238, Val Loss: 1.8192, Val Accuracy: 0.2091
Epoch 4/250, Train Loss: 1.7858, Train Accuracy: 0.2567, Val Loss: 1.7923, Val Accuracy: 0.2414
Epoch 5/250, Train Loss: 1.7603, Train Accuracy: 0.2729, Val Loss: 1.7680, Val Accuracy: 0.2522
Epoch 6/250, Train Loss: 1.7369, Train Accuracy: 0.2972, Val Loss: 1.7461, Val Accuracy: 0.2629
Epoch 7/250, Train Loss: 1.7187, Train Accuracy: 0.2999, Val Loss: 1.7201, Val Accuracy: 0.2996
Epoch 8/250, Train Loss: 1.6987, Train Accuracy: 0.3225, Val Loss: 1.6991, Val Accuracy: 0.3082
Epoch 9/250, Train Loss: 1.6750, Train Accuracy: 0.3376, Val Loss: 1.6792, Val Accuracy: 0.3427
Epoch 10/250, Train Loss: 1.6523, Train Accuracy: 0.3662, Val Loss: 1.6577, Val Accuracy: 0.3513
Epoch 11/250, Train Loss: 1.6346, Train Accuracy: 0.3662, Val Loss: 1.6394, Val Accuracy: 0.3578
Epoch 12/250, Train Loss: 1.6136, Train Accuracy: 0.3927, Val Loss: 1.6203, Val Accuracy: 0.3750
Epoch 13/250, Train Loss: 1.5997, Train Accuracy: 0.4061, Val Loss: 1.5978, Val Accuracy: 0.4116
Epoch 14/250, Train Loss: 1.5836, Train Accuracy: 0.4148, Val Loss: 1.5777, Val Accuracy: 0.4483
Epoch 15/250, Train Loss: 1.5677, Train Accuracy: 0.4358, Val Loss: 1.5613, Val Accuracy: 0.4591
Epoch 16/250, Train Loss: 1.5489, Train Accuracy: 0.4574, Val Loss: 1.5423, Val Accuracy: 0.4698
Epoch 17/250, Train Loss: 1.5411, Train Accuracy: 0.4660, Val Loss: 1.5292, Val Accuracy: 0.4914
Epoch 18/250, Train Loss: 1.5163, Train Accuracy: 0.4795, Val Loss: 1.5154, Val Accuracy: 0.5022
