Epoch 1/250, Train Loss: 1.8678, Train Accuracy: 0.1311, Val Loss: 1.8516, Val Accuracy: 0.1272
Epoch 2/250, Train Loss: 1.8621, Train Accuracy: 0.1235, Val Loss: 1.8713, Val Accuracy: 0.1401
Epoch 3/250, Train Loss: 1.8559, Train Accuracy: 0.1251, Val Loss: 1.8719, Val Accuracy: 0.1466
Epoch 4/250, Train Loss: 1.8528, Train Accuracy: 0.1386, Val Loss: 1.8666, Val Accuracy: 0.1466
Epoch 5/250, Train Loss: 1.8469, Train Accuracy: 0.1467, Val Loss: 1.8636, Val Accuracy: 0.1466
Epoch 6/250, Train Loss: 1.8410, Train Accuracy: 0.1472, Val Loss: 1.8538, Val Accuracy: 0.1487
Epoch 7/250, Train Loss: 1.8408, Train Accuracy: 0.1408, Val Loss: 1.8511, Val Accuracy: 0.1466
Epoch 8/250, Train Loss: 1.8297, Train Accuracy: 0.1494, Val Loss: 1.8412, Val Accuracy: 0.1552
Epoch 9/250, Train Loss: 1.8295, Train Accuracy: 0.1446, Val Loss: 1.8414, Val Accuracy: 0.1509
Epoch 10/250, Train Loss: 1.8253, Train Accuracy: 0.1559, Val Loss: 1.8372, Val Accuracy: 0.1552
Epoch 11/250, Train Loss: 1.8200, Train Accuracy: 0.1613, Val Loss: 1.8333, Val Accuracy: 0.1552
Epoch 12/250, Train Loss: 1.8114, Train Accuracy: 0.1607, Val Loss: 1.8263, Val Accuracy: 0.1616
Epoch 13/250, Train Loss: 1.8093, Train Accuracy: 0.1634, Val Loss: 1.8189, Val Accuracy: 0.1681
Epoch 14/250, Train Loss: 1.8075, Train Accuracy: 0.1629, Val Loss: 1.8132, Val Accuracy: 0.1681
Epoch 15/250, Train Loss: 1.8017, Train Accuracy: 0.1780, Val Loss: 1.8114, Val Accuracy: 0.1746
Epoch 16/250, Train Loss: 1.7970, Train Accuracy: 0.1769, Val Loss: 1.8046, Val Accuracy: 0.1746
Epoch 17/250, Train Loss: 1.7933, Train Accuracy: 0.1855, Val Loss: 1.8022, Val Accuracy: 0.1897
Epoch 18/250, Train Loss: 1.7857, Train Accuracy: 0.1899, Val Loss: 1.7961, Val Accuracy: 0.1918
Epoch 19/250, Train Loss: 1.7834, Train Accuracy: 0.1920, Val Loss: 1.7889, Val Accuracy: 0.1983
Epoch 20/250, Train Loss: 1.7779, Train Accuracy: 0.2066, Val Loss: 1.7909, Val Accuracy: 0.2026
