Epoch 1/250, Train Loss: 1.8402, Train Accuracy: 0.1742, Val Loss: 1.8089, Val Accuracy: 0.1853
Epoch 2/250, Train Loss: 1.7921, Train Accuracy: 0.1969, Val Loss: 1.7603, Val Accuracy: 0.2134
Epoch 3/250, Train Loss: 1.7564, Train Accuracy: 0.2190, Val Loss: 1.7065, Val Accuracy: 0.2651
Epoch 4/250, Train Loss: 1.7119, Train Accuracy: 0.2449, Val Loss: 1.6914, Val Accuracy: 0.3017
Epoch 5/250, Train Loss: 1.6821, Train Accuracy: 0.2713, Val Loss: 1.6433, Val Accuracy: 0.3297
Epoch 6/250, Train Loss: 1.6462, Train Accuracy: 0.3004, Val Loss: 1.6329, Val Accuracy: 0.3578
Epoch 7/250, Train Loss: 1.6183, Train Accuracy: 0.3317, Val Loss: 1.5901, Val Accuracy: 0.3987
Epoch 8/250, Train Loss: 1.5854, Train Accuracy: 0.3684, Val Loss: 1.5619, Val Accuracy: 0.4159
Epoch 9/250, Train Loss: 1.5610, Train Accuracy: 0.4013, Val Loss: 1.5386, Val Accuracy: 0.4397
Epoch 10/250, Train Loss: 1.5341, Train Accuracy: 0.4148, Val Loss: 1.5140, Val Accuracy: 0.4526
Epoch 11/250, Train Loss: 1.5057, Train Accuracy: 0.4380, Val Loss: 1.4843, Val Accuracy: 0.4591
Epoch 12/250, Train Loss: 1.4850, Train Accuracy: 0.4466, Val Loss: 1.4772, Val Accuracy: 0.4569
Epoch 13/250, Train Loss: 1.4664, Train Accuracy: 0.4698, Val Loss: 1.4486, Val Accuracy: 0.4935
Epoch 14/250, Train Loss: 1.4462, Train Accuracy: 0.4757, Val Loss: 1.4287, Val Accuracy: 0.5086
Epoch 15/250, Train Loss: 1.4234, Train Accuracy: 0.4914, Val Loss: 1.4142, Val Accuracy: 0.5151
Epoch 16/250, Train Loss: 1.4061, Train Accuracy: 0.4849, Val Loss: 1.3887, Val Accuracy: 0.5172
Epoch 17/250, Train Loss: 1.3931, Train Accuracy: 0.4973, Val Loss: 1.3755, Val Accuracy: 0.5280
Epoch 18/250, Train Loss: 1.3790, Train Accuracy: 0.5162, Val Loss: 1.3599, Val Accuracy: 0.5388
Epoch 19/250, Train Loss: 1.3589, Train Accuracy: 0.5065, Val Loss: 1.3502, Val Accuracy: 0.5560
Epoch 20/250, Train Loss: 1.3477, Train Accuracy: 0.5129, Val Loss: 1.3422, Val Accuracy: 0.5496
Epoch 21/250, Train Loss: 1.3378, Train Accuracy: 0.5140, Val Loss: 1.3241, Val Accuracy: 0.5690
Epoch 22/250, Train Loss: 1.3209, Train Accuracy: 0.5361, Val Loss: 1.3119, Val Accuracy: 0.5496
Epoch 23/250, Train Loss: 1.3058, Train Accuracy: 0.5437, Val Loss: 1.3022, Val Accuracy: 0.5582
Epoch 24/250, Train Loss: 1.2998, Train Accuracy: 0.5405, Val Loss: 1.2867, Val Accuracy: 0.5711
Epoch 25/250, Train Loss: 1.2880, Train Accuracy: 0.5464, Val Loss: 1.2777, Val Accuracy: 0.5668
Epoch 26/250, Train Loss: 1.2715, Train Accuracy: 0.5550, Val Loss: 1.2723, Val Accuracy: 0.5754
Epoch 27/250, Train Loss: 1.2650, Train Accuracy: 0.5620, Val Loss: 1.2553, Val Accuracy: 0.5905
Epoch 28/250, Train Loss: 1.2641, Train Accuracy: 0.5626, Val Loss: 1.2430, Val Accuracy: 0.6056
Epoch 29/250, Train Loss: 1.2464, Train Accuracy: 0.5761, Val Loss: 1.2381, Val Accuracy: 0.5927
Epoch 30/250, Train Loss: 1.2406, Train Accuracy: 0.5712, Val Loss: 1.2258, Val Accuracy: 0.6056
Epoch 31/250, Train Loss: 1.2285, Train Accuracy: 0.5787, Val Loss: 1.2223, Val Accuracy: 0.6121
Epoch 32/250, Train Loss: 1.2236, Train Accuracy: 0.5750, Val Loss: 1.2119, Val Accuracy: 0.6056
Epoch 33/250, Train Loss: 1.2133, Train Accuracy: 0.5831, Val Loss: 1.2043, Val Accuracy: 0.5884
Epoch 34/250, Train Loss: 1.2020, Train Accuracy: 0.5793, Val Loss: 1.1886, Val Accuracy: 0.5991
Epoch 35/250, Train Loss: 1.1985, Train Accuracy: 0.5863, Val Loss: 1.1841, Val Accuracy: 0.6056
Epoch 36/250, Train Loss: 1.1875, Train Accuracy: 0.5928, Val Loss: 1.1887, Val Accuracy: 0.5884
Epoch 37/250, Train Loss: 1.1712, Train Accuracy: 0.5955, Val Loss: 1.1730, Val Accuracy: 0.5970
