Epoch 1/250, Train Loss: 1.8964, Train Accuracy: 0.1149, Val Loss: 1.9024, Val Accuracy: 0.0991
Epoch 2/250, Train Loss: 1.8679, Train Accuracy: 0.1451, Val Loss: 1.8920, Val Accuracy: 0.1013
Epoch 3/250, Train Loss: 1.8396, Train Accuracy: 0.1586, Val Loss: 1.8618, Val Accuracy: 0.1422
Epoch 4/250, Train Loss: 1.8242, Train Accuracy: 0.1650, Val Loss: 1.8503, Val Accuracy: 0.1530
Epoch 5/250, Train Loss: 1.7983, Train Accuracy: 0.2055, Val Loss: 1.8181, Val Accuracy: 0.1789
Epoch 6/250, Train Loss: 1.7794, Train Accuracy: 0.2136, Val Loss: 1.8028, Val Accuracy: 0.1961
Epoch 7/250, Train Loss: 1.7583, Train Accuracy: 0.2362, Val Loss: 1.7806, Val Accuracy: 0.2091
Epoch 8/250, Train Loss: 1.7414, Train Accuracy: 0.2476, Val Loss: 1.7649, Val Accuracy: 0.2241
Epoch 9/250, Train Loss: 1.7169, Train Accuracy: 0.2697, Val Loss: 1.7420, Val Accuracy: 0.2263
Epoch 10/250, Train Loss: 1.7036, Train Accuracy: 0.2934, Val Loss: 1.7117, Val Accuracy: 0.2435
Epoch 11/250, Train Loss: 1.6843, Train Accuracy: 0.3069, Val Loss: 1.6906, Val Accuracy: 0.2759
Epoch 12/250, Train Loss: 1.6696, Train Accuracy: 0.3209, Val Loss: 1.6852, Val Accuracy: 0.2866
Epoch 13/250, Train Loss: 1.6489, Train Accuracy: 0.3339, Val Loss: 1.6620, Val Accuracy: 0.2931
Epoch 14/250, Train Loss: 1.6314, Train Accuracy: 0.3463, Val Loss: 1.6437, Val Accuracy: 0.3276
Epoch 15/250, Train Loss: 1.6191, Train Accuracy: 0.3706, Val Loss: 1.6460, Val Accuracy: 0.3276
Epoch 16/250, Train Loss: 1.6042, Train Accuracy: 0.3749, Val Loss: 1.6195, Val Accuracy: 0.3297
Epoch 17/250, Train Loss: 1.5855, Train Accuracy: 0.4029, Val Loss: 1.5778, Val Accuracy: 0.3836
Epoch 18/250, Train Loss: 1.5678, Train Accuracy: 0.4040, Val Loss: 1.5879, Val Accuracy: 0.3793
Epoch 19/250, Train Loss: 1.5527, Train Accuracy: 0.4245, Val Loss: 1.5617, Val Accuracy: 0.4224
Epoch 20/250, Train Loss: 1.5459, Train Accuracy: 0.4331, Val Loss: 1.5618, Val Accuracy: 0.4138
Epoch 21/250, Train Loss: 1.5223, Train Accuracy: 0.4525, Val Loss: 1.5495, Val Accuracy: 0.4267
Epoch 22/250, Train Loss: 1.5100, Train Accuracy: 0.4482, Val Loss: 1.5310, Val Accuracy: 0.4418
Epoch 23/250, Train Loss: 1.5065, Train Accuracy: 0.4482, Val Loss: 1.5002, Val Accuracy: 0.4591
Epoch 24/250, Train Loss: 1.4949, Train Accuracy: 0.4504, Val Loss: 1.4923, Val Accuracy: 0.4828
Epoch 25/250, Train Loss: 1.4817, Train Accuracy: 0.4622, Val Loss: 1.4794, Val Accuracy: 0.4591
Epoch 26/250, Train Loss: 1.4696, Train Accuracy: 0.4612, Val Loss: 1.4672, Val Accuracy: 0.4741
Epoch 27/250, Train Loss: 1.4546, Train Accuracy: 0.4730, Val Loss: 1.4668, Val Accuracy: 0.4935
Epoch 28/250, Train Loss: 1.4398, Train Accuracy: 0.4817, Val Loss: 1.4480, Val Accuracy: 0.4935
