Epoch 1/250, Train Loss: 1.4965, Train Accuracy: 0.4353, Val Loss: 1.3147, Val Accuracy: 0.5409
Epoch 2/250, Train Loss: 1.1819, Train Accuracy: 0.5690, Val Loss: 1.0796, Val Accuracy: 0.5884
Epoch 3/250, Train Loss: 1.0459, Train Accuracy: 0.6246, Val Loss: 0.9657, Val Accuracy: 0.6379
Epoch 4/250, Train Loss: 0.9488, Train Accuracy: 0.6597, Val Loss: 0.8811, Val Accuracy: 0.6853
Epoch 5/250, Train Loss: 0.8644, Train Accuracy: 0.6882, Val Loss: 0.8174, Val Accuracy: 0.6983
Epoch 6/250, Train Loss: 0.8067, Train Accuracy: 0.7136, Val Loss: 0.7649, Val Accuracy: 0.7177
Epoch 7/250, Train Loss: 0.7473, Train Accuracy: 0.7271, Val Loss: 0.7135, Val Accuracy: 0.7414
Epoch 8/250, Train Loss: 0.6984, Train Accuracy: 0.7551, Val Loss: 0.6855, Val Accuracy: 0.7586
Epoch 9/250, Train Loss: 0.6745, Train Accuracy: 0.7632, Val Loss: 0.6534, Val Accuracy: 0.7608
Epoch 10/250, Train Loss: 0.6258, Train Accuracy: 0.7832, Val Loss: 0.6242, Val Accuracy: 0.7694
Epoch 11/250, Train Loss: 0.6098, Train Accuracy: 0.7848, Val Loss: 0.5986, Val Accuracy: 0.7845
Epoch 12/250, Train Loss: 0.5629, Train Accuracy: 0.7988, Val Loss: 0.5934, Val Accuracy: 0.7694
Epoch 13/250, Train Loss: 0.5480, Train Accuracy: 0.7977, Val Loss: 0.5657, Val Accuracy: 0.8017
Epoch 14/250, Train Loss: 0.5182, Train Accuracy: 0.8182, Val Loss: 0.5563, Val Accuracy: 0.7823
Epoch 15/250, Train Loss: 0.5001, Train Accuracy: 0.8247, Val Loss: 0.5336, Val Accuracy: 0.8190
Epoch 16/250, Train Loss: 0.5000, Train Accuracy: 0.8220, Val Loss: 0.5349, Val Accuracy: 0.8017
Epoch 17/250, Train Loss: 0.4656, Train Accuracy: 0.8420, Val Loss: 0.5173, Val Accuracy: 0.8190
Epoch 18/250, Train Loss: 0.4445, Train Accuracy: 0.8387, Val Loss: 0.5162, Val Accuracy: 0.8147
Epoch 19/250, Train Loss: 0.4525, Train Accuracy: 0.8393, Val Loss: 0.4892, Val Accuracy: 0.8276
Epoch 20/250, Train Loss: 0.4393, Train Accuracy: 0.8457, Val Loss: 0.5089, Val Accuracy: 0.8082
Epoch 21/250, Train Loss: 0.4269, Train Accuracy: 0.8587, Val Loss: 0.4801, Val Accuracy: 0.8233
Epoch 22/250, Train Loss: 0.4001, Train Accuracy: 0.8706, Val Loss: 0.4692, Val Accuracy: 0.8276
Epoch 23/250, Train Loss: 0.3955, Train Accuracy: 0.8641, Val Loss: 0.4790, Val Accuracy: 0.8405
Epoch 24/250, Train Loss: 0.3882, Train Accuracy: 0.8646, Val Loss: 0.4642, Val Accuracy: 0.8405
Epoch 25/250, Train Loss: 0.3694, Train Accuracy: 0.8673, Val Loss: 0.4542, Val Accuracy: 0.8341
Epoch 26/250, Train Loss: 0.3812, Train Accuracy: 0.8684, Val Loss: 0.4759, Val Accuracy: 0.8211
Epoch 27/250, Train Loss: 0.3454, Train Accuracy: 0.8835, Val Loss: 0.4600, Val Accuracy: 0.8362
Epoch 28/250, Train Loss: 0.3725, Train Accuracy: 0.8679, Val Loss: 0.4600, Val Accuracy: 0.8427
Epoch 29/250, Train Loss: 0.3487, Train Accuracy: 0.8727, Val Loss: 0.4457, Val Accuracy: 0.8297
Epoch 30/250, Train Loss: 0.3284, Train Accuracy: 0.8997, Val Loss: 0.4436, Val Accuracy: 0.8384
Epoch 31/250, Train Loss: 0.3303, Train Accuracy: 0.8857, Val Loss: 0.4441, Val Accuracy: 0.8319
Epoch 32/250, Train Loss: 0.3364, Train Accuracy: 0.8862, Val Loss: 0.4651, Val Accuracy: 0.8211
Epoch 33/250, Train Loss: 0.3142, Train Accuracy: 0.8981, Val Loss: 0.4442, Val Accuracy: 0.8513
Epoch 34/250, Train Loss: 0.3145, Train Accuracy: 0.8932, Val Loss: 0.4397, Val Accuracy: 0.8276
Epoch 35/250, Train Loss: 0.3010, Train Accuracy: 0.8970, Val Loss: 0.4364, Val Accuracy: 0.8254
Epoch 36/250, Train Loss: 0.2943, Train Accuracy: 0.9040, Val Loss: 0.4436, Val Accuracy: 0.8405
Epoch 37/250, Train Loss: 0.2844, Train Accuracy: 0.9105, Val Loss: 0.4394, Val Accuracy: 0.8427
Epoch 38/250, Train Loss: 0.2752, Train Accuracy: 0.9137, Val Loss: 0.4476, Val Accuracy: 0.8233
Epoch 39/250, Train Loss: 0.2876, Train Accuracy: 0.8975, Val Loss: 0.4118, Val Accuracy: 0.8772
Epoch 40/250, Train Loss: 0.2944, Train Accuracy: 0.8997, Val Loss: 0.4269, Val Accuracy: 0.8556
Epoch 41/250, Train Loss: 0.2796, Train Accuracy: 0.9035, Val Loss: 0.4247, Val Accuracy: 0.8470
Epoch 42/250, Train Loss: 0.2602, Train Accuracy: 0.9105, Val Loss: 0.4190, Val Accuracy: 0.8707
Epoch 43/250, Train Loss: 0.2589, Train Accuracy: 0.9115, Val Loss: 0.4107, Val Accuracy: 0.8642
Epoch 44/250, Train Loss: 0.2634, Train Accuracy: 0.9121, Val Loss: 0.4203, Val Accuracy: 0.8513
Epoch 45/250, Train Loss: 0.2495, Train Accuracy: 0.9229, Val Loss: 0.4293, Val Accuracy: 0.8362
Epoch 46/250, Train Loss: 0.2541, Train Accuracy: 0.9099, Val Loss: 0.4203, Val Accuracy: 0.8513
Epoch 47/250, Train Loss: 0.2355, Train Accuracy: 0.9283, Val Loss: 0.4319, Val Accuracy: 0.8470
Epoch 48/250, Train Loss: 0.2324, Train Accuracy: 0.9256, Val Loss: 0.4275, Val Accuracy: 0.8491
Epoch 49/250, Train Loss: 0.2483, Train Accuracy: 0.9202, Val Loss: 0.4210, Val Accuracy: 0.8513
Epoch 50/250, Train Loss: 0.2295, Train Accuracy: 0.9239, Val Loss: 0.4300, Val Accuracy: 0.8319
Epoch 51/250, Train Loss: 0.2298, Train Accuracy: 0.9223, Val Loss: 0.4223, Val Accuracy: 0.8427
Epoch 52/250, Train Loss: 0.2334, Train Accuracy: 0.9223, Val Loss: 0.4361, Val Accuracy: 0.8319
Epoch 53/250, Train Loss: 0.2361, Train Accuracy: 0.9213, Val Loss: 0.4167, Val Accuracy: 0.8470
Epoch 54/250, Train Loss: 0.2193, Train Accuracy: 0.9320, Val Loss: 0.4157, Val Accuracy: 0.8470
Epoch 55/250, Train Loss: 0.2152, Train Accuracy: 0.9310, Val Loss: 0.3910, Val Accuracy: 0.8578
Epoch 56/250, Train Loss: 0.2134, Train Accuracy: 0.9266, Val Loss: 0.4174, Val Accuracy: 0.8491
Epoch 57/250, Train Loss: 0.1936, Train Accuracy: 0.9326, Val Loss: 0.4139, Val Accuracy: 0.8578
Epoch 58/250, Train Loss: 0.2044, Train Accuracy: 0.9310, Val Loss: 0.4222, Val Accuracy: 0.8513
Epoch 59/250, Train Loss: 0.2005, Train Accuracy: 0.9369, Val Loss: 0.4105, Val Accuracy: 0.8599
Epoch 60/250, Train Loss: 0.2000, Train Accuracy: 0.9374, Val Loss: 0.4198, Val Accuracy: 0.8599
Epoch 61/250, Train Loss: 0.1852, Train Accuracy: 0.9364, Val Loss: 0.4316, Val Accuracy: 0.8470
Epoch 62/250, Train Loss: 0.1994, Train Accuracy: 0.9293, Val Loss: 0.4130, Val Accuracy: 0.8642
Epoch 63/250, Train Loss: 0.2025, Train Accuracy: 0.9299, Val Loss: 0.3927, Val Accuracy: 0.8664
Epoch 64/250, Train Loss: 0.2134, Train Accuracy: 0.9299, Val Loss: 0.4368, Val Accuracy: 0.8427
Epoch 65/250, Train Loss: 0.2112, Train Accuracy: 0.9234, Val Loss: 0.4108, Val Accuracy: 0.8599
Epoch 66/250, Train Loss: 0.1750, Train Accuracy: 0.9417, Val Loss: 0.4206, Val Accuracy: 0.8470
Epoch 67/250, Train Loss: 0.1967, Train Accuracy: 0.9331, Val Loss: 0.4067, Val Accuracy: 0.8491
