Epoch 1/250, Train Loss: 1.8592, Train Accuracy: 0.1796, Val Loss: 1.8729, Val Accuracy: 0.2069
Epoch 2/250, Train Loss: 1.8154, Train Accuracy: 0.2039, Val Loss: 1.8310, Val Accuracy: 0.2263
Epoch 3/250, Train Loss: 1.7795, Train Accuracy: 0.2357, Val Loss: 1.7856, Val Accuracy: 0.2608
Epoch 4/250, Train Loss: 1.7417, Train Accuracy: 0.2697, Val Loss: 1.7489, Val Accuracy: 0.2974
Epoch 5/250, Train Loss: 1.7038, Train Accuracy: 0.3047, Val Loss: 1.7153, Val Accuracy: 0.3513
Epoch 6/250, Train Loss: 1.6698, Train Accuracy: 0.3355, Val Loss: 1.6848, Val Accuracy: 0.3534
Epoch 7/250, Train Loss: 1.6396, Train Accuracy: 0.3646, Val Loss: 1.6514, Val Accuracy: 0.3901
Epoch 8/250, Train Loss: 1.6129, Train Accuracy: 0.3792, Val Loss: 1.6216, Val Accuracy: 0.3901
Epoch 9/250, Train Loss: 1.5845, Train Accuracy: 0.3851, Val Loss: 1.5882, Val Accuracy: 0.3966
Epoch 10/250, Train Loss: 1.5614, Train Accuracy: 0.3954, Val Loss: 1.5662, Val Accuracy: 0.4116
Epoch 11/250, Train Loss: 1.5343, Train Accuracy: 0.3997, Val Loss: 1.5412, Val Accuracy: 0.4116
Epoch 12/250, Train Loss: 1.5119, Train Accuracy: 0.4115, Val Loss: 1.5223, Val Accuracy: 0.4138
Epoch 13/250, Train Loss: 1.4914, Train Accuracy: 0.4245, Val Loss: 1.4961, Val Accuracy: 0.4224
Epoch 14/250, Train Loss: 1.4646, Train Accuracy: 0.4428, Val Loss: 1.4738, Val Accuracy: 0.4526
Epoch 15/250, Train Loss: 1.4498, Train Accuracy: 0.4417, Val Loss: 1.4699, Val Accuracy: 0.4418
Epoch 16/250, Train Loss: 1.4324, Train Accuracy: 0.4563, Val Loss: 1.4405, Val Accuracy: 0.4763
Epoch 17/250, Train Loss: 1.4143, Train Accuracy: 0.4585, Val Loss: 1.4150, Val Accuracy: 0.4741
Epoch 18/250, Train Loss: 1.3939, Train Accuracy: 0.4709, Val Loss: 1.4002, Val Accuracy: 0.4849
Epoch 19/250, Train Loss: 1.3881, Train Accuracy: 0.4795, Val Loss: 1.3818, Val Accuracy: 0.4935
Epoch 20/250, Train Loss: 1.3667, Train Accuracy: 0.4908, Val Loss: 1.3646, Val Accuracy: 0.4935
Epoch 21/250, Train Loss: 1.3507, Train Accuracy: 0.5086, Val Loss: 1.3545, Val Accuracy: 0.5216
Epoch 22/250, Train Loss: 1.3390, Train Accuracy: 0.5049, Val Loss: 1.3407, Val Accuracy: 0.5280
Epoch 23/250, Train Loss: 1.3236, Train Accuracy: 0.5264, Val Loss: 1.3228, Val Accuracy: 0.5259
Epoch 24/250, Train Loss: 1.3190, Train Accuracy: 0.5243, Val Loss: 1.3136, Val Accuracy: 0.5388
Epoch 25/250, Train Loss: 1.3077, Train Accuracy: 0.5264, Val Loss: 1.3084, Val Accuracy: 0.5409
Epoch 26/250, Train Loss: 1.2949, Train Accuracy: 0.5437, Val Loss: 1.2751, Val Accuracy: 0.5539
Epoch 27/250, Train Loss: 1.2798, Train Accuracy: 0.5448, Val Loss: 1.2868, Val Accuracy: 0.5582
Epoch 28/250, Train Loss: 1.2723, Train Accuracy: 0.5599, Val Loss: 1.2693, Val Accuracy: 0.5690
Epoch 29/250, Train Loss: 1.2542, Train Accuracy: 0.5550, Val Loss: 1.2627, Val Accuracy: 0.5582
Epoch 30/250, Train Loss: 1.2519, Train Accuracy: 0.5696, Val Loss: 1.2416, Val Accuracy: 0.5841
Epoch 31/250, Train Loss: 1.2502, Train Accuracy: 0.5593, Val Loss: 1.2412, Val Accuracy: 0.5819
Epoch 32/250, Train Loss: 1.2379, Train Accuracy: 0.5604, Val Loss: 1.2266, Val Accuracy: 0.5862
Epoch 33/250, Train Loss: 1.2286, Train Accuracy: 0.5701, Val Loss: 1.2326, Val Accuracy: 0.5797
Epoch 34/250, Train Loss: 1.2260, Train Accuracy: 0.5696, Val Loss: 1.2120, Val Accuracy: 0.5927
Epoch 35/250, Train Loss: 1.2083, Train Accuracy: 0.5858, Val Loss: 1.1975, Val Accuracy: 0.5862
Epoch 36/250, Train Loss: 1.2015, Train Accuracy: 0.5971, Val Loss: 1.1935, Val Accuracy: 0.5905
Epoch 37/250, Train Loss: 1.1955, Train Accuracy: 0.5841, Val Loss: 1.1896, Val Accuracy: 0.5927
Epoch 38/250, Train Loss: 1.1893, Train Accuracy: 0.5879, Val Loss: 1.1736, Val Accuracy: 0.5991
Epoch 39/250, Train Loss: 1.1799, Train Accuracy: 0.5890, Val Loss: 1.1620, Val Accuracy: 0.6034
Epoch 40/250, Train Loss: 1.1783, Train Accuracy: 0.5836, Val Loss: 1.1654, Val Accuracy: 0.5991
Epoch 41/250, Train Loss: 1.1683, Train Accuracy: 0.5960, Val Loss: 1.1567, Val Accuracy: 0.6056
Epoch 42/250, Train Loss: 1.1624, Train Accuracy: 0.5912, Val Loss: 1.1539, Val Accuracy: 0.5991
Epoch 43/250, Train Loss: 1.1541, Train Accuracy: 0.6036, Val Loss: 1.1434, Val Accuracy: 0.5991
Epoch 44/250, Train Loss: 1.1491, Train Accuracy: 0.5890, Val Loss: 1.1357, Val Accuracy: 0.6142
Epoch 45/250, Train Loss: 1.1457, Train Accuracy: 0.6014, Val Loss: 1.1258, Val Accuracy: 0.6142
Epoch 46/250, Train Loss: 1.1382, Train Accuracy: 0.6084, Val Loss: 1.1168, Val Accuracy: 0.6164
Epoch 47/250, Train Loss: 1.1342, Train Accuracy: 0.6117, Val Loss: 1.1208, Val Accuracy: 0.6078
Epoch 48/250, Train Loss: 1.1310, Train Accuracy: 0.6149, Val Loss: 1.1107, Val Accuracy: 0.6142
Epoch 49/250, Train Loss: 1.1101, Train Accuracy: 0.6170, Val Loss: 1.0896, Val Accuracy: 0.6164
Epoch 50/250, Train Loss: 1.1195, Train Accuracy: 0.6224, Val Loss: 1.1026, Val Accuracy: 0.6207
Epoch 51/250, Train Loss: 1.1144, Train Accuracy: 0.6176, Val Loss: 1.0884, Val Accuracy: 0.6142
Epoch 52/250, Train Loss: 1.1029, Train Accuracy: 0.6284, Val Loss: 1.0795, Val Accuracy: 0.6228
Epoch 53/250, Train Loss: 1.1060, Train Accuracy: 0.6224, Val Loss: 1.0897, Val Accuracy: 0.6142
Epoch 54/250, Train Loss: 1.0950, Train Accuracy: 0.6192, Val Loss: 1.0824, Val Accuracy: 0.6293
Epoch 55/250, Train Loss: 1.0870, Train Accuracy: 0.6311, Val Loss: 1.0707, Val Accuracy: 0.6272
Epoch 56/250, Train Loss: 1.0938, Train Accuracy: 0.6219, Val Loss: 1.0628, Val Accuracy: 0.6207
Epoch 57/250, Train Loss: 1.0747, Train Accuracy: 0.6316, Val Loss: 1.0657, Val Accuracy: 0.6336
Epoch 58/250, Train Loss: 1.0719, Train Accuracy: 0.6365, Val Loss: 1.0462, Val Accuracy: 0.6336
Epoch 59/250, Train Loss: 1.0638, Train Accuracy: 0.6343, Val Loss: 1.0450, Val Accuracy: 0.6315
Epoch 60/250, Train Loss: 1.0668, Train Accuracy: 0.6370, Val Loss: 1.0491, Val Accuracy: 0.6228
Epoch 61/250, Train Loss: 1.0586, Train Accuracy: 0.6402, Val Loss: 1.0427, Val Accuracy: 0.6358
Epoch 62/250, Train Loss: 1.0545, Train Accuracy: 0.6348, Val Loss: 1.0332, Val Accuracy: 0.6422
Epoch 63/250, Train Loss: 1.0499, Train Accuracy: 0.6424, Val Loss: 1.0237, Val Accuracy: 0.6358
