Epoch 1/250, Train Loss: 1.8337, Train Accuracy: 0.1742, Val Loss: 1.8039, Val Accuracy: 0.1875
Epoch 2/250, Train Loss: 1.8207, Train Accuracy: 0.1802, Val Loss: 1.8077, Val Accuracy: 0.2069
Epoch 3/250, Train Loss: 1.8144, Train Accuracy: 0.1866, Val Loss: 1.8006, Val Accuracy: 0.2198
Epoch 4/250, Train Loss: 1.7989, Train Accuracy: 0.1969, Val Loss: 1.7859, Val Accuracy: 0.2112
Epoch 5/250, Train Loss: 1.7929, Train Accuracy: 0.1834, Val Loss: 1.7724, Val Accuracy: 0.2198
Epoch 6/250, Train Loss: 1.7848, Train Accuracy: 0.2017, Val Loss: 1.7634, Val Accuracy: 0.2177
Epoch 7/250, Train Loss: 1.7717, Train Accuracy: 0.2120, Val Loss: 1.7559, Val Accuracy: 0.2241
Epoch 8/250, Train Loss: 1.7663, Train Accuracy: 0.2211, Val Loss: 1.7511, Val Accuracy: 0.2371
Epoch 9/250, Train Loss: 1.7526, Train Accuracy: 0.2211, Val Loss: 1.7360, Val Accuracy: 0.2371
Epoch 10/250, Train Loss: 1.7398, Train Accuracy: 0.2373, Val Loss: 1.7301, Val Accuracy: 0.2478
Epoch 11/250, Train Loss: 1.7382, Train Accuracy: 0.2341, Val Loss: 1.7197, Val Accuracy: 0.2500
Epoch 12/250, Train Loss: 1.7266, Train Accuracy: 0.2443, Val Loss: 1.7094, Val Accuracy: 0.2759
Epoch 13/250, Train Loss: 1.7155, Train Accuracy: 0.2584, Val Loss: 1.7000, Val Accuracy: 0.2845
Epoch 14/250, Train Loss: 1.7065, Train Accuracy: 0.2648, Val Loss: 1.6916, Val Accuracy: 0.2845
Epoch 15/250, Train Loss: 1.6996, Train Accuracy: 0.2708, Val Loss: 1.6816, Val Accuracy: 0.3103
Epoch 16/250, Train Loss: 1.6934, Train Accuracy: 0.2810, Val Loss: 1.6684, Val Accuracy: 0.3190
Epoch 17/250, Train Loss: 1.6837, Train Accuracy: 0.2913, Val Loss: 1.6639, Val Accuracy: 0.3211
Epoch 18/250, Train Loss: 1.6780, Train Accuracy: 0.3074, Val Loss: 1.6553, Val Accuracy: 0.3233
Epoch 19/250, Train Loss: 1.6700, Train Accuracy: 0.3020, Val Loss: 1.6471, Val Accuracy: 0.3362
Epoch 20/250, Train Loss: 1.6614, Train Accuracy: 0.3204, Val Loss: 1.6423, Val Accuracy: 0.3405
