Epoch 1/250, Train Loss: 1.6579, Train Accuracy: 0.3414, Val Loss: 1.4223, Val Accuracy: 0.4591
Epoch 2/250, Train Loss: 1.3281, Train Accuracy: 0.5264, Val Loss: 1.2325, Val Accuracy: 0.5776
Epoch 3/250, Train Loss: 1.2062, Train Accuracy: 0.5674, Val Loss: 1.1201, Val Accuracy: 0.6379
Epoch 4/250, Train Loss: 1.1241, Train Accuracy: 0.5917, Val Loss: 1.0669, Val Accuracy: 0.6638
Epoch 5/250, Train Loss: 1.0729, Train Accuracy: 0.6214, Val Loss: 1.0003, Val Accuracy: 0.6724
Epoch 6/250, Train Loss: 1.0144, Train Accuracy: 0.6397, Val Loss: 0.9709, Val Accuracy: 0.6746
Epoch 7/250, Train Loss: 0.9779, Train Accuracy: 0.6505, Val Loss: 0.9129, Val Accuracy: 0.6918
Epoch 8/250, Train Loss: 0.9435, Train Accuracy: 0.6591, Val Loss: 0.8984, Val Accuracy: 0.6832
Epoch 9/250, Train Loss: 0.9205, Train Accuracy: 0.6742, Val Loss: 0.8678, Val Accuracy: 0.7112
Epoch 10/250, Train Loss: 0.8979, Train Accuracy: 0.6764, Val Loss: 0.8431, Val Accuracy: 0.6961
Epoch 11/250, Train Loss: 0.8715, Train Accuracy: 0.6845, Val Loss: 0.8071, Val Accuracy: 0.7241
Epoch 12/250, Train Loss: 0.8432, Train Accuracy: 0.7055, Val Loss: 0.7984, Val Accuracy: 0.7069
Epoch 13/250, Train Loss: 0.8337, Train Accuracy: 0.7039, Val Loss: 0.7728, Val Accuracy: 0.7284
Epoch 14/250, Train Loss: 0.8003, Train Accuracy: 0.7217, Val Loss: 0.7573, Val Accuracy: 0.7220
Epoch 15/250, Train Loss: 0.7794, Train Accuracy: 0.7184, Val Loss: 0.7470, Val Accuracy: 0.7198
Epoch 16/250, Train Loss: 0.7631, Train Accuracy: 0.7373, Val Loss: 0.7289, Val Accuracy: 0.7306
Epoch 17/250, Train Loss: 0.7745, Train Accuracy: 0.7249, Val Loss: 0.7120, Val Accuracy: 0.7414
Epoch 18/250, Train Loss: 0.7387, Train Accuracy: 0.7460, Val Loss: 0.6985, Val Accuracy: 0.7328
Epoch 19/250, Train Loss: 0.7205, Train Accuracy: 0.7487, Val Loss: 0.6830, Val Accuracy: 0.7651
Epoch 20/250, Train Loss: 0.7038, Train Accuracy: 0.7665, Val Loss: 0.6792, Val Accuracy: 0.7500
Epoch 21/250, Train Loss: 0.7023, Train Accuracy: 0.7519, Val Loss: 0.6434, Val Accuracy: 0.7716
Epoch 22/250, Train Loss: 0.6910, Train Accuracy: 0.7546, Val Loss: 0.6458, Val Accuracy: 0.7651
Epoch 23/250, Train Loss: 0.6806, Train Accuracy: 0.7708, Val Loss: 0.6469, Val Accuracy: 0.7565
Epoch 24/250, Train Loss: 0.6573, Train Accuracy: 0.7724, Val Loss: 0.6314, Val Accuracy: 0.7716
Epoch 25/250, Train Loss: 0.6553, Train Accuracy: 0.7713, Val Loss: 0.6292, Val Accuracy: 0.7651
Epoch 26/250, Train Loss: 0.6515, Train Accuracy: 0.7638, Val Loss: 0.6148, Val Accuracy: 0.7651
Epoch 27/250, Train Loss: 0.6290, Train Accuracy: 0.7810, Val Loss: 0.6211, Val Accuracy: 0.7737
Epoch 28/250, Train Loss: 0.6286, Train Accuracy: 0.7762, Val Loss: 0.6059, Val Accuracy: 0.7608
Epoch 29/250, Train Loss: 0.6360, Train Accuracy: 0.7745, Val Loss: 0.5838, Val Accuracy: 0.7802
Epoch 30/250, Train Loss: 0.6199, Train Accuracy: 0.7810, Val Loss: 0.5916, Val Accuracy: 0.7716
Epoch 31/250, Train Loss: 0.6076, Train Accuracy: 0.7859, Val Loss: 0.5681, Val Accuracy: 0.7974
