Epoch 1/250, Train Loss: 1.8249, Train Accuracy: 0.1920, Val Loss: 1.7813, Val Accuracy: 0.2069
Epoch 2/250, Train Loss: 1.7249, Train Accuracy: 0.2562, Val Loss: 1.6782, Val Accuracy: 0.3103
Epoch 3/250, Train Loss: 1.6390, Train Accuracy: 0.3549, Val Loss: 1.6085, Val Accuracy: 0.3987
Epoch 4/250, Train Loss: 1.5630, Train Accuracy: 0.4067, Val Loss: 1.5302, Val Accuracy: 0.4483
Epoch 5/250, Train Loss: 1.4989, Train Accuracy: 0.4385, Val Loss: 1.4666, Val Accuracy: 0.4655
Epoch 6/250, Train Loss: 1.4569, Train Accuracy: 0.4525, Val Loss: 1.4069, Val Accuracy: 0.4914
Epoch 7/250, Train Loss: 1.3972, Train Accuracy: 0.4978, Val Loss: 1.3768, Val Accuracy: 0.5302
Epoch 8/250, Train Loss: 1.3622, Train Accuracy: 0.5043, Val Loss: 1.3287, Val Accuracy: 0.5345
Epoch 9/250, Train Loss: 1.3163, Train Accuracy: 0.5275, Val Loss: 1.2788, Val Accuracy: 0.5388
Epoch 10/250, Train Loss: 1.2801, Train Accuracy: 0.5297, Val Loss: 1.2576, Val Accuracy: 0.5582
Epoch 11/250, Train Loss: 1.2539, Train Accuracy: 0.5399, Val Loss: 1.2268, Val Accuracy: 0.5474
Epoch 12/250, Train Loss: 1.2257, Train Accuracy: 0.5539, Val Loss: 1.2143, Val Accuracy: 0.5819
Epoch 13/250, Train Loss: 1.2048, Train Accuracy: 0.5518, Val Loss: 1.1802, Val Accuracy: 0.5819
Epoch 14/250, Train Loss: 1.1899, Train Accuracy: 0.5663, Val Loss: 1.1420, Val Accuracy: 0.5905
Epoch 15/250, Train Loss: 1.1652, Train Accuracy: 0.5680, Val Loss: 1.1282, Val Accuracy: 0.5948
Epoch 16/250, Train Loss: 1.1281, Train Accuracy: 0.5858, Val Loss: 1.1097, Val Accuracy: 0.6121
Epoch 17/250, Train Loss: 1.1241, Train Accuracy: 0.6052, Val Loss: 1.0876, Val Accuracy: 0.6164
Epoch 18/250, Train Loss: 1.1052, Train Accuracy: 0.6046, Val Loss: 1.0783, Val Accuracy: 0.6207
Epoch 19/250, Train Loss: 1.0911, Train Accuracy: 0.5939, Val Loss: 1.0557, Val Accuracy: 0.6250
Epoch 20/250, Train Loss: 1.0806, Train Accuracy: 0.6063, Val Loss: 1.0440, Val Accuracy: 0.6293
Epoch 21/250, Train Loss: 1.0533, Train Accuracy: 0.6208, Val Loss: 1.0346, Val Accuracy: 0.6422
Epoch 22/250, Train Loss: 1.0349, Train Accuracy: 0.6160, Val Loss: 1.0315, Val Accuracy: 0.6509
Epoch 23/250, Train Loss: 1.0342, Train Accuracy: 0.6208, Val Loss: 1.0040, Val Accuracy: 0.6379
Epoch 24/250, Train Loss: 1.0206, Train Accuracy: 0.6273, Val Loss: 0.9790, Val Accuracy: 0.6466
Epoch 25/250, Train Loss: 1.0177, Train Accuracy: 0.6235, Val Loss: 0.9766, Val Accuracy: 0.6401
Epoch 26/250, Train Loss: 0.9998, Train Accuracy: 0.6397, Val Loss: 0.9757, Val Accuracy: 0.6401
Epoch 27/250, Train Loss: 0.9990, Train Accuracy: 0.6321, Val Loss: 0.9532, Val Accuracy: 0.6573
Epoch 28/250, Train Loss: 0.9828, Train Accuracy: 0.6429, Val Loss: 0.9495, Val Accuracy: 0.6444
Epoch 29/250, Train Loss: 0.9683, Train Accuracy: 0.6381, Val Loss: 0.9331, Val Accuracy: 0.6595
Epoch 30/250, Train Loss: 0.9526, Train Accuracy: 0.6354, Val Loss: 0.9215, Val Accuracy: 0.6616
Epoch 31/250, Train Loss: 0.9539, Train Accuracy: 0.6446, Val Loss: 0.9218, Val Accuracy: 0.6487
Epoch 32/250, Train Loss: 0.9520, Train Accuracy: 0.6516, Val Loss: 0.9101, Val Accuracy: 0.6638
Epoch 33/250, Train Loss: 0.9363, Train Accuracy: 0.6602, Val Loss: 0.9055, Val Accuracy: 0.6573
Epoch 34/250, Train Loss: 0.9198, Train Accuracy: 0.6688, Val Loss: 0.9077, Val Accuracy: 0.6659
Epoch 35/250, Train Loss: 0.9231, Train Accuracy: 0.6526, Val Loss: 0.8859, Val Accuracy: 0.6724
Epoch 36/250, Train Loss: 0.9200, Train Accuracy: 0.6564, Val Loss: 0.8815, Val Accuracy: 0.6853
Epoch 37/250, Train Loss: 0.9102, Train Accuracy: 0.6591, Val Loss: 0.8879, Val Accuracy: 0.6746
Epoch 38/250, Train Loss: 0.8982, Train Accuracy: 0.6683, Val Loss: 0.8759, Val Accuracy: 0.6724
